Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
BYU,Kansas State,0,2,Big 12,Big 12,9,d1
Winthrop,Presbyterian,1,0,Big South,Big South,9,d1
East Carolina,Memphis,1,0,AAC,AAC,9,d1
American,Navy,0,1,Patriot,Patriot,9,d1
Boston University,Holy Cross,0,1,Patriot,Patriot,9,d1
Canisius,Siena College,1,1,MAAC,MAAC,9,d1
Georgia Southern,Georgia State,2,1,Sun Belt,Sun Belt,9,d1
Grambling State,South Carolina State,0,5,SWAC,Indep.,9,d1
Iona University,Rider,1,1,MAAC,MAAC,9,d1
Lafayette,Army,2,0,Patriot,Patriot,9,d1
Lehigh,Colgate,1,0,Patriot,Patriot,9,d1
Loyola (MD),Bucknell,0,1,Patriot,Patriot,9,d1
Manhattan,Fairfield,1,0,MAAC,MAAC,9,d1
Niagara,Saint Peter's,6,0,MAAC,MAAC,9,d1
Quinnipiac,Marist,6,1,MAAC,MAAC,9,d1
Florida State,Notre Dame,4,1,ACC,ACC,9,d1
Purdue,Penn State,0,0,Big Ten,Big Ten,9,d1
Oklahoma State,BYU,0,3,Big 12,Big 12,9,d1
UCF,Texas Tech,1,1,Big 12,Big 12,9,d1
Arkansas,Florida,0,3,SEC,SEC,9,d1
Saint Louis,Massachusetts,6,0,A10,A10,9,d1
Indiana,Michigan State,1,1,Big Ten,Big Ten,9,d1
Illinois,Wisconsin,0,1,Big Ten,Big Ten,9,d1
Nebraska,Maryland,3,0,Big Ten,Big Ten,9,d1
Rutgers,Michigan,0,2,Big Ten,Big Ten,9,d1
Georgetown,Villanova,0,2,Big East,Big East,9,d1
TCU,Houston,2,2,Big 12,Big 12,9,d1
Akron,Ball State,1,2,MAC,MAC,9,d1
Albany,UMBC,4,0,Am East,Am East,9,d1
Arkansas Pine Bluff,South Carolina State,0,5,SWAC,Indep.,9,d1
Austin Peay,Kennesaw State,0,0,Atlantic Sun,Atlantic Sun,9,d1
Baylor,Cincinnati,2,2,Big 12,Big 12,9,d1
Bellarmine,FGCU,1,0,Atlantic Sun,Atlantic Sun,9,d1
Boise State,San Jose State,1,0,Mountain West,Mountain West,9,d1
Bowling Green,Kent State,0,2,MAC,MAC,9,d1
Cal Poly,CSU Bakersfield,0,2,Big West,Big West,9,d1
California Baptist,Stephen F. Austin,4,1,WAC,WAC,9,d1
Charlotte,Tulsa,0,3,AAC,AAC,9,d1
Cleveland State,Robert Morris,1,2,Horizon,Horizon,9,d1
College of Charleston,Monmouth,0,2,CAA,CAA,9,d1
Colorado State,Colorado College,3,0,Mountain West,Mountain West,9,d1
Creighton,Seton Hall,2,0,Big East,Big East,9,d1
Dayton,George Mason,0,3,A10,A10,9,d1
DePaul,Connecticut,5,0,Big East,Big East,9,d1
Delaware State,Wagner,1,0,Northeast,Northeast,9,d1
Denver,UMKC,0,1,Summit,Summit,9,d1
Duquesne,George Washington,3,0,A10,A10,9,d1
East Tennessee State,UNC Greensboro,0,1,Southern,Southern,9,d1
Eastern Kentucky,Stetson,1,0,Atlantic Sun,Atlantic Sun,9,d1
Fairleigh Dickinson,Howard,1,2,Northeast,Northeast,9,d1
Florida Atlantic,SMU,2,0,AAC,AAC,9,d1
Grand Canyon,UTRGV,0,5,WAC,WAC,9,d1
Hofstra,Elon,0,2,CAA,CAA,9,d1
IUPUI,Oakland,1,2,Horizon,Horizon,9,d1
Illinois State,Drake,3,0,MVC,MVC,9,d1
Indiana State,Missouri State,1,0,MVC,MVC,9,d1
Iowa,Northwestern,2,1,Big Ten,Big Ten,9,d1
Iowa State,Kansas,0,1,Big 12,Big 12,9,d1
Jacksonville,Central Arkansas,1,1,Atlantic Sun,Atlantic Sun,9,d1
Kansas State,West Virginia,1,0,Big 12,Big 12,9,d1
LIU,St. Francis (Pa.),0,0,Northeast,Northeast,9,d1
La Salle,Fordham,2,1,A10,A10,9,d1
Liberty,Jacksonville State,1,2,C-USA,C-USA,9,d1
Lipscomb,Queens (N.C.),0,3,Atlantic Sun,Atlantic Sun,9,d1
Loyola-Chicago,Richmond,1,0,A10,A10,9,d1
Massachusetts-Lowell,Maine,2,0,Am East,Am East,9,d1
Mercer,Samford,1,2,Southern,Southern,9,d1
Merrimack,Central Connecticut,3,0,Northeast,Northeast,9,d1
Middle Tennessee,UTEP,1,1,C-USA,C-USA,9,d1
Minnesota,Ohio State,0,2,Big Ten,Big Ten,9,d1
NJIT,Bryant,0,1,Am East,Am East,9,d1
Nevada,New Mexico,1,0,Mountain West,Mountain West,9,d1
New Mexico State,Florida International,1,1,C-USA,C-USA,9,d1
North Florida,North Alabama,0,1,Atlantic Sun,Atlantic Sun,9,d1
Northern Arizona,Montana,1,2,Big Sky,Big Sky,9,d1
Northern Illinois,Buffalo,0,2,MAC,MAC,9,d1
Northern Iowa,Evansville,3,2,MVC,MVC,9,d1
Ohio University,Central Michigan,1,1,MAC,MAC,9,d1
Oklahoma,Texas,2,0,Big 12,Big 12,9,d1
Providence,Marquette,0,1,Big East,Big East,9,d1
Sacred Heart,Stonehill,0,4,Northeast,Northeast,9,d1
South Florida,North Texas,0,1,AAC,AAC,9,d1
Southern Illinois,Valparaiso,2,1,MVC,MVC,9,d1
Southern Indiana,SIUE,0,0,OVC,OVC,9,d1
Southern Utah,Abilene Christian,2,3,WAC,WAC,9,d1
St. Bonaventure,Rhode Island,1,2,A10,A10,9,d1
St. John's,Butler,1,3,Big East,Big East,9,d1
Stony Brook,Drexel,1,3,CAA,CAA,9,d1
Temple,Rice,0,1,AAC,AAC,9,d1
Tennessee Tech,UT Martin,2,3,OVC,OVC,9,d1
The Citadel,Western Carolina,0,3,Southern,Southern,9,d1
Toledo,Eastern Michigan,3,0,MAC,MAC,9,d1
UAB,UTSA,1,1,AAC,AAC,9,d1
UC Irvine,UC San Diego,0,0,Big West,Big West,9,d1
UC Riverside,UC Davis,2,1,Big West,Big West,9,d1
UC Santa Barbara,CSUN,0,1,Big West,Big West,9,d1
UIC,Belmont,0,0,MVC,MVC,9,d1
UNC Wilmington,William & Mary,0,2,CAA,CAA,9,d1
UNLV,San Diego State,2,0,Mountain West,Mountain West,9,d1
UT Chattanooga,Wofford,0,2,Southern,Southern,9,d1
Utah State,Fresno State,2,0,Mountain West,Mountain West,9,d1
Utah Tech,Tarleton State,1,3,WAC,WAC,9,d1
VMI,Furman,1,3,Southern,Southern,9,d1
Vermont,New Hampshire,1,1,Am East,Am East,9,d1
Western Illinois,Eastern Illinois,0,0,OVC,OVC,9,d1
Western Kentucky,Louisiana Tech,0,1,C-USA,C-USA,9,d1
Western Michigan,Miami (OH),0,1,MAC,MAC,9,d1
Wisconsin-Green Bay,Purdue Fort Wayne,1,1,Horizon,Horizon,9,d1
Wright State,Detroit Mercy,1,0,Horizon,Horizon,9,d1
Wyoming,Air Force,1,1,Mountain West,Mountain West,9,d1
Youngstown State,Wisconsin-Milwaukee,1,1,Horizon,Horizon,9,d1
UCLA,Utah,4,0,Pac-12,Pac-12,9,d1
Wake Forest,North Carolina,1,1,ACC,ACC,9,d1
Duke,Clemson,0,1,ACC,ACC,9,d1
South Carolina,Mississippi,0,0,SEC,SEC,9,d1
Alabama,LSU,1,4,SEC,SEC,9,d1
Alcorn State,Alabama State,3,1,SWAC,SWAC,9,d1
Auburn,Texas A&M,0,0,SEC,SEC,9,d1
California,Washington State,1,1,Pac-12,Pac-12,9,d1
Idaho State,Portland State,3,2,Big Sky,Big Sky,9,d1
