Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Furman,North Greenville,0,4,Southern,Conference Carolinas,2
Montana,Montana State-Billings,0,4,Big Sky,Great Northwest,2
North Dakota,Minnesota State- Moorhead,0,2,Summit,Northern Sun,2
The Citadel,Francis Marion,0,5,Southern,Peach Belt,2
Gardner-Webb,Allen University,0,8,Big South,Independent,2
Hawaii Pacific,Sacramento State,1,0,Pacific West,Big Sky,2
Texas Southern,St. Mary's Texas,2,3,SWAC,Heartland,2
Western Oregon,St. Thomas (Minn.),0,0,Great Northwest,Summit,2
