Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
Western Illinois,Southeast Missouri State,0,0,OVC,OVC
Western Michigan,Northern Illinois,3,0,MAC,MAC
William & Mary,Campbell,2,2,CAA,CAA
Wisconsin,Iowa,1,0,Big Ten,Big Ten
Wisconsin-Milwaukee,Robert Morris,0,3,Horizon,Horizon
Wright State,Youngstown State,2,3,Horizon,Horizon
Wyoming,UNLV,2,1,Mountain West,Mountain West
Colorado,UCLA,1,3,Pac-12,Pac-12
Washington State,Stanford,1,0,Pac-12,Pac-12
Utah,USC,0,2,Pac-12,Pac-12
Princeton,Cornell,2,4,Ivy,Ivy
Arizona,Oregon,0,3,Pac-12,Pac-12
Arizona State,Oregon State,2,0,Pac-12,Pac-12
Jackson State,Alcorn State,1,2,SWAC,SWAC
Lamar,Houston Christian,1,4,Southland,Southland
McNeese State,Texas A&M-Corpus Christi,1,1,Southland,Southland
Northwestern State,Incarnate Word,0,1,Southland,Southland
Portland State,Northern Colorado,1,2,Big Sky,Big Sky
Prairie View A&M,Arkansas Pine Bluff,2,3,SWAC,SWAC
Sacramento State,Northern Arizona,0,1,Big Sky,Big Sky
Southern University,Mississippi Valley,1,0,SWAC,SWAC
Texas Southern,Grambling State,3,0,SWAC,SWAC
Utah Tech,Southern Utah,1,1,WAC,WAC
Washington,California,1,0,Pac-12,Pac-12
Army,Bucknell,3,1,Patriot,Patriot
Colgate,Navy,2,0,Patriot,Patriot
Columbia,Penn,1,0,Ivy,Ivy
Denver,Oral Roberts,1,0,Summit,Summit
Fairfield,Rider,1,2,MAAC,MAAC
Harvard,Brown,0,2,Ivy,Ivy
High Point,Winthrop,2,3,Big South,Big South
Loyola (MD),Lafayette,1,2,Patriot,Patriot
Loyola Marymount,San Diego,1,2,WCC,WCC
Manhattan,Mount St. Mary's,0,1,MAAC,MAAC
Niagara,Marist,0,0,MAAC,MAAC
Portland,Cal Poly,0,2,WCC,Big West
Quinnipiac,Canisius,2,0,MAAC,MAAC
Radford,Presbyterian,3,1,Big South,Big South
USC Upstate,UNC Asheville,2,1,Big South,Big South
Yale,Dartmouth,0,1,Ivy,Ivy
North Carolina,Florida State,3,3,ACC,ACC
Penn State,Nebraska,1,0,Big Ten,Big Ten
Duke,NC State,0,0,ACC,ACC
South Carolina,Tennessee,1,1,SEC,SEC
Alabama,Vanderbilt,1,0,SEC,SEC
Pittsburgh,Notre Dame,1,1,ACC,ACC
Texas A&M,Arkansas,0,1,SEC,SEC
Saint Louis,Dayton,1,1,A10,A10
Wake Forest,Virginia,0,2,ACC,ACC
Boston College,Clemson,0,2,ACC,ACC
Santa Clara,Pacific,6,0,WCC,WCC
Creighton,Georgetown,1,0,Big East,Big East
Illinois,Michigan,1,2,Big Ten,Big Ten
DePaul,Xavier,3,0,Big East,Big East
Missouri,Georgia,1,2,SEC,SEC
Air Force,Boise State,1,1,Mountain West,Mountain West
Alabama A&M,Chicago State,2,3,SWAC,Indep.
Albany,Maine,3,0,Am East,Am East
American,Holy Cross,0,0,Patriot,Patriot
Appalachian State,James Madison,1,1,Sun Belt,Sun Belt
Baylor,Texas Tech,0,2,Big 12,Big 12
Binghamton,UMBC,3,1,Am East,Am East
Bowling Green,Western Michigan,0,0,MAC,MAC
Bryant,New Hampshire,2,0,Am East,Am East
Buffalo,Ohio University,1,0,MAC,MAC
CSU Bakersfield,UC Davis,2,2,Big West,Big West
Cal State Fullerton,CSUN,1,1,Big West,Big West
California Baptist,Seattle,1,0,WAC,WAC
Central Arkansas,Stetson,0,0,Atlantic Sun,Atlantic Sun
Cincinnati,Iowa State,0,1,Big 12,Big 12
Cleveland State,Oakland,0,1,Horizon,Horizon
College of Charleston,Campbell,1,0,CAA,CAA
Colorado College,Utah State,1,2,Mountain West,Mountain West
Colorado State,UNLV,1,1,Mountain West,Mountain West
Connecticut,St. John's,1,2,Big East,Big East
Davidson,Massachusetts,5,0,A10,A10
Detroit Mercy,Wisconsin-Green Bay,0,1,Horizon,Horizon
East Tennessee State,VMI,2,0,Southern,Southern
Eastern Michigan,Ball State,1,1,MAC,MAC
Fairleigh Dickinson,Central Connecticut,2,1,Northeast,Northeast
Florida,Kentucky,1,1,SEC,SEC
Florida International,Florida Atlantic,2,0,C-USA,AAC
Fresno State,New Mexico,0,0,Mountain West,Mountain West
Georgia Southern,Old Dominion,2,1,Sun Belt,Sun Belt
Georgia State,Coastal Carolina,3,0,Sun Belt,Sun Belt
Grand Canyon,Utah Valley,4,0,WAC,WAC
Houston,Oklahoma,2,1,Big 12,Big 12
Howard,Wagner,4,0,Northeast,Northeast
Idaho State,Idaho,0,4,Big Sky,Big Sky
Indiana,Northwestern,0,1,Big Ten,Big Ten
Indiana State,Valparaiso,2,0,MVC,MVC
Iowa,Minnesota,0,0,Big Ten,Big Ten
Jackson State,Mississippi Valley,0,1,SWAC,SWAC
Jacksonville,Lipscomb,0,5,Atlantic Sun,Atlantic Sun
Jacksonville State,Western Kentucky,1,1,C-USA,C-USA
