Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Central Baptist,Arkansas Pine Bluff,0,0,Midlands Collegiate,SWAC,3
Northern Iowa,Saint Ambrose,0,3,MVC,Midwest Collegiate,3
South Dakota,Morningside,0,7,Summit,Great Plains Athletic,3
Cal State San Marcos,Masters College,0,2,CCAA,Golden State Athletic,3
Eastern Washington,University of Providence,1,16,Big Sky,Frontier,3
Talladega College,Alabama State,4,0,Gulf Coast Athletic,SWAC,3
Lyon College,Arkansas Pine Bluff,10,0,American Midwest,SWAC,3
