Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Jackson State,USC Upstate,2,1,SWAC,Big South,6
Boston University,Colgate,0,2,Patriot,Patriot,6
Bryant,Marist,2,0,Am East,MAAC,6
Bucknell,American,0,1,Patriot,Patriot,6
Coastal Carolina,Appalachian State,1,1,Sun Belt,Sun Belt,6
Holy Cross,Army,0,0,Patriot,Patriot,6
Idaho,Weber State,1,1,Big Sky,Big Sky,6
Lafayette,Lehigh,1,0,Patriot,Patriot,6
Loyola (MD),Navy,0,1,Patriot,Patriot,6
Vermont,Siena College,1,2,Am East,MAAC,6
Syracuse,Florida State,2,3,ACC,ACC,6
Rutgers,Penn State,1,2,Big Ten,Big Ten,6
Virginia,North Carolina,1,0,ACC,ACC,6
Baylor,BYU,0,4,Big 12,Big 12,6
Duke,Notre Dame,1,2,ACC,ACC,6
Kentucky,South Carolina,0,0,SEC,SEC,6
UTSA,Memphis,1,0,AAC,AAC,6
Arkansas,Alabama,5,0,SEC,SEC,6
Louisville,Pittsburgh,3,2,ACC,ACC,6
Miami (FL),Clemson,5,0,ACC,ACC,6
Texas,Texas Tech,1,2,Big 12,Big 12,6
San Francisco,Santa Clara,0,3,WCC,WCC,6
St. John's,Georgetown,3,1,Big East,Big East,6
Northwestern,Michigan,2,0,Big Ten,Big Ten,6
Xavier,Butler,1,1,Big East,Big East,6
Georgia,LSU,2,3,SEC,SEC,6
Air Force,Utah State,0,1,Mountain West,Mountain West,6
Akron,Buffalo,0,2,MAC,MAC,6
Arkansas State,Texas State,0,0,Sun Belt,Sun Belt,6
Auburn,Missouri,3,2,SEC,SEC,6
Ball State,Miami (OH),3,1,MAC,MAC,6
Belmont,Murray State,0,0,MVC,MVC,6
Boise State,Colorado College,2,1,Mountain West,Mountain West,6
Boston College,Virginia Tech,1,2,ACC,ACC,6
CSUN,UC Davis,0,0,Big West,Big West,6
Cal State Fullerton,Hawaii,1,1,Big West,Big West,6
California Baptist,Utah Valley,1,1,WAC,WAC,6
Central Arkansas,FGCU,2,1,Atlantic Sun,Atlantic Sun,6
Central Connecticut,LIU,0,1,Northeast,Northeast,6
Central Michigan,Eastern Michigan,0,1,MAC,MAC,6
Cincinnati,TCU,0,1,Big 12,Big 12,6
College of Charleston,Hofstra,0,0,CAA,CAA,6
Colorado State,Nevada,2,1,Mountain West,Mountain West,6
Connecticut,Creighton,0,2,Big East,Big East,6
Dayton,Davidson,0,3,A10,A10,6
Delaware,Monmouth,0,1,CAA,CAA,6
Drake,Southern Illinois,1,2,MVC,MVC,6
Eastern Illinois,SIUE,1,2,OVC,OVC,6
Elon,UNC Wilmington,1,1,CAA,CAA,6
Evansville,Valparaiso,1,1,MVC,MVC,6
Florida Atlantic,Temple,2,0,AAC,AAC,6
Fordham,St. Bonaventure,1,3,A10,A10,6
Fresno State,San Diego State,5,1,Mountain West,Mountain West,6
Furman,East Tennessee State,0,0,Southern,Southern,6
George Washington,La Salle,0,3,A10,A10,6
Grand Canyon,Seattle,3,0,WAC,WAC,6
Houston,UCF,1,0,Big 12,Big 12,6
Howard,Alabama A&M,3,1,Northeast,SWAC,6
IUPUI,Detroit Mercy,3,1,Horizon,Horizon,6
Idaho State,Eastern Washington,3,2,Big Sky,Big Sky,6
Illinois,Indiana,1,2,Big Ten,Big Ten,6
Jacksonville,Austin Peay,2,3,Atlantic Sun,Atlantic Sun,6
James Madison,Marshall,0,4,Sun Belt,Sun Belt,6
Kennesaw State,Bellarmine,0,0,Atlantic Sun,Atlantic Sun,6
Le Moyne,Stonehill,0,1,Northeast,Northeast,6
Lindenwood,Tennessee Tech,3,0,OVC,OVC,6
Little Rock,Southern Indiana,0,0,OVC,OVC,6
Louisiana Tech,Jacksonville State,3,3,C-USA,C-USA,6
Louisiana-Monroe,Georgia State,1,0,Sun Belt,Sun Belt,6
Loyola-Chicago,Saint Joseph's,0,0,A10,A10,6
Marquette,DePaul,2,1,Big East,Big East,6
