Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Oklahoma,BYU,0,2,Big 12,Big 12,10
Boston University,Yale,1,1,Patriot,Ivy,10
Cornell,Albany,4,0,Ivy,Am East,10
Holy Cross,Chicago State,0,3,Patriot,Indep.,10
Navy,Delaware State,0,5,Patriot,Northeast,10
Princeton,Bucknell,0,1,Ivy,Patriot,10
Santa Clara,San Francisco,1,0,WCC,WCC,10
Fairfield,Siena College,1,2,MAAC,MAAC,10
Gardner-Webb,High Point,1,1,Big South,Big South,10
Iona University,Marist,1,1,MAAC,MAAC,10
Longwood,Radford,3,1,Big South,Big South,10
Loyola Marymount,Pepperdine,3,0,WCC,WCC,10
Mount St. Mary's,Quinnipiac,0,1,MAAC,MAAC,10
Pacific,Gonzaga,2,5,WCC,WCC,10
Presbyterian,Charleston Southern,1,1,Big South,Big South,10
Rider,Canisius,0,1,MAAC,MAAC,10
Saint Peter's,Manhattan,1,2,MAAC,MAAC,10
San Diego,St. Mary's (CA),4,2,WCC,WCC,10
UNC Asheville,Winthrop,0,4,Big South,Big South,10
USC Upstate,South Carolina State,0,10,Big South,Indep.,10
Florida State,Pittsburgh,3,2,ACC,ACC,10
Arizona,UCLA,4,1,Pac-12,Pac-12,10
Memphis,UAB,4,0,AAC,AAC,10
Stanford,Oregon State,1,3,Pac-12,Pac-12,10
Arizona State,USC,1,0,Pac-12,Pac-12,10
North Carolina,Notre Dame,1,1,ACC,ACC,10
Penn State,Indiana,2,0,Big Ten,Big Ten,10
Clemson,Louisville,0,3,ACC,ACC,10
LSU,Arkansas,1,1,SEC,SEC,10
Saint Louis,Duquesne,0,4,A10,A10,10
Nebraska,Purdue,0,2,Big Ten,Big Ten,10
Washington State,Colorado,1,0,Pac-12,Pac-12,10
Michigan State,Illinois,2,1,Big Ten,Big Ten,10
Texas A&M,South Carolina,0,1,SEC,SEC,10
Providence,Xavier,0,0,Big East,Big East,10
Maryland,Wisconsin,0,3,Big Ten,Big Ten,10
Coastal Carolina,South Alabama,0,1,Sun Belt,Sun Belt,10
Abilene Christian,Grand Canyon,1,1,WAC,WAC,10
Air Force,Fresno State,2,4,Mountain West,Mountain West,10
Appalachian State,Southern Mississippi,1,0,Sun Belt,Sun Belt,10
Boise State,Nevada,1,2,Mountain West,Mountain West,10
Bowling Green,Central Michigan,1,5,MAC,MAC,10
Bryant,Chicago State,2,5,Am East,Indep.,10
Buffalo,Toledo,3,0,MAC,MAC,10
Butler,Seton Hall,2,2,Big East,Big East,10
CSU Bakersfield,UC Irvine,5,1,Big West,Big West,10
California,Oregon,1,8,Pac-12,Pac-12,10
Campbell,Elon,1,1,CAA,CAA,10
Connecticut,Villanova,0,4,Big East,Big East,10
DePaul,Creighton,1,1,Big East,Big East,10
Delaware,Hampton University,1,9,CAA,CAA,10
Drexel,UNC Wilmington,2,0,CAA,CAA,10
Eastern Michigan,Akron,2,1,MAC,MAC,10
Evansville,Indiana State,2,2,MVC,MVC,10
Florida,Auburn,1,0,SEC,SEC,10
George Mason,St. Bonaventure,3,1,A10,A10,10
George Washington,Davidson,2,3,A10,A10,10
Georgia,Kentucky,1,0,SEC,SEC,10
Georgia Southern,Marshall,4,1,Sun Belt,Sun Belt,10
Georgia State,James Madison,0,0,Sun Belt,Sun Belt,10
Illinois State,UIC,1,4,MVC,MVC,10
Kent State,Western Michigan,2,0,MAC,MAC,10
La Salle,Loyola-Chicago,0,0,A10,A10,10
Lindenwood,Eastern Illinois,2,0,OVC,OVC,10
Little Rock,Western Illinois,1,0,OVC,OVC,10
Louisiana,Arkansas State,1,3,Sun Belt,Sun Belt,10
Louisiana-Monroe,Troy,3,0,Sun Belt,Sun Belt,10
Marquette,Georgetown,5,0,Big East,Big East,10
Massachusetts,Saint Joseph's,0,2,A10,A10,10
Miami (OH),Ohio University,0,1,MAC,MAC,10
Michigan,Iowa,1,1,Big Ten,Big Ten,10
