Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
BYU,UCF,3,2,Big 12,Big 12,11,d1
Iowa State,Texas Tech,0,1,Big 12,Big 12,11,d1
Houston,Baylor,2,3,Big 12,Big 12,11,d1
Kansas,Kansas State,2,1,Big 12,Big 12,11,d1
Oklahoma State,Oklahoma,1,0,Big 12,Big 12,11,d1
Texas,TCU,4,2,Big 12,Big 12,11,d1
Utah Valley,Southern Utah,3,0,WAC,WAC,11,d1
West Virginia,Cincinnati,1,1,Big 12,Big 12,11,d1
Mercer,The Citadel,1,0,Southern,Southern,11,d1
South Dakota State,Omaha,1,1,Summit,Summit,11,d1
Wofford,VMI,2,1,Southern,Southern,11,d1
American,Loyola (MD),1,2,Patriot,Patriot,11,d1
Army,Boston University,2,1,Patriot,Patriot,11,d1
Canisius,Niagara,2,1,MAAC,MAAC,11,d1
Charleston Southern,USC Upstate,2,1,Big South,Big South,11,d1
Colgate,Holy Cross,3,0,Patriot,Patriot,11,d1
Detroit Mercy,Oakland,2,1,Horizon,Horizon,11,d1
Fairfield,Saint Peter's,4,0,MAAC,MAAC,11,d1
Georgia Southern,Troy,3,2,Sun Belt,Sun Belt,11,d1
IUPUI,Purdue Fort Wayne,2,0,Horizon,Horizon,11,d1
Lehigh,Bucknell,1,2,Patriot,Patriot,11,d1
Manhattan,Quinnipiac,2,2,MAAC,MAAC,11,d1
Navy,Lafayette,1,0,Patriot,Patriot,11,d1
Presbyterian,Longwood,1,1,Big South,Big South,11,d1
Rider,Mount St. Mary's,0,1,MAAC,MAAC,11,d1
Siena College,Iona University,2,1,MAAC,MAAC,11,d1
UNC Asheville,High Point,0,2,Big South,Big South,11,d1
Winthrop,Gardner-Webb,2,1,Big South,Big South,11,d1
Wisconsin-Milwaukee,Wisconsin-Green Bay,4,0,Horizon,Horizon,11,d1
Wright State,Northern Kentucky,0,0,Horizon,Horizon,11,d1
Youngstown State,Robert Morris,1,2,Horizon,Horizon,11,d1
Florida State,NC State,5,0,ACC,ACC,11,d1
UCLA,California,2,0,Pac-12,Pac-12,11,d1
Tulsa,Memphis,0,2,AAC,AAC,11,d1
USC,Stanford,0,0,Pac-12,Pac-12,11,d1
Notre Dame,Clemson,2,0,ACC,ACC,11,d1
Boston College,North Carolina,1,1,ACC,ACC,11,d1
Pittsburgh,Virginia Tech,2,1,ACC,ACC,11,d1
Arkansas,Mississippi State,1,0,SEC,SEC,11,d1
Utah,Arizona State,2,0,Pac-12,Pac-12,11,d1
Florida,South Carolina,0,0,SEC,SEC,11,d1
South Alabama,Arkansas State,3,1,Sun Belt,Sun Belt,11,d1
Xavier,Marquette,3,0,Big East,Big East,11,d1
Albany,Vermont,0,3,Am East,Am East,11,d1
Ball State,Central Michigan,2,0,MAC,MAC,11,d1
Boise State,Utah State,0,1,Mountain West,Mountain West,11,d1
Bowling Green,Northern Illinois,1,0,MAC,MAC,11,d1
Bryant,Massachusetts-Lowell,0,0,Am East,Am East,11,d1
Buffalo,Kent State,1,2,MAC,MAC,11,d1
Butler,Creighton,3,1,Big East,Big East,11,d1
CSU Bakersfield,Cal State Fullerton,0,4,Big West,Big West,11,d1
CSUN,UC Riverside,0,0,Big West,Big West,11,d1
Cal Poly,UC San Diego,0,1,Big West,Big West,11,d1
Central Connecticut,Wagner,2,1,Northeast,Northeast,11,d1
Colorado,Arizona,2,0,Pac-12,Pac-12,11,d1
Colorado College,Air Force,0,0,Mountain West,Mountain West,11,d1
East Carolina,Charlotte,1,3,AAC,AAC,11,d1
Eastern Kentucky,Queens (N.C.),0,0,Atlantic Sun,Atlantic Sun,11,d1
Eastern Michigan,Miami (OH),0,4,MAC,MAC,11,d1
Evansville,Murray State,0,1,MVC,MVC,11,d1
