Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Syracuse,Providence,2,0,ACC,Big East,1,d1
Notre Dame,Indiana,1,1,ACC,Big Ten,1,d1
Washington,South Florida,2,0,Pac-12,AAC,1,d1
Clemson,UCF,1,2,ACC,Sun Belt,1,d1
Kentucky,FGCU,3,0,Sun Belt,Atlantic Sun,1,d1
Pittsburgh,Penn State,1,1,ACC,Big Ten,1,d1
Stanford,Creighton,3,1,Pac-12,Big East,1,d1
Marshall,Oakland,4,0,Sun Belt,Horizon,1,d1
UNC Greensboro,California,1,1,Southern,Pac-12,1,d1
Maryland,Missouri State,0,1,Big Ten,MVC,1,d1
Santa Clara,Georgetown,2,3,WCC,Big East,1,d1
Vermont,Western Michigan,2,0,Am East,MVC,1,d1
Wake Forest,Grand Canyon,3,1,ACC,WAC,1,d1
SMU,UTRGV,2,1,AAC,WAC,1,d1
Denver,San Diego State,0,0,Summit,Pac-12,1,d1
Louisville,Tulsa,1,0,ACC,AAC,1,d1
Saint Louis,Butler,2,1,A10,Big East,1,d1
Akron,Niagara,6,0,Big East,MAAC,1,d1
Oregon State,Florida International,1,2,Pac-12,AAC,1,d1
Army,Air Force,3,2,Patriot,WAC,1,d1
Belmont,Georgia State,1,0,MVC,Sun Belt,1,d1
Boston College,Merrimack,1,0,ACC,Northeast,1,d1
Boston University,Albany,2,1,Patriot,Am East,1,d1
Bowling Green,Cleveland State,3,2,MVC,Horizon,1,d1
Bradley,Chicago State,2,1,MVC,OVC,1,d1
Bryant,Central Connecticut,1,0,Am East,Northeast,1,d1
CSU Bakersfield,San Jose State,1,1,Big West,WAC,1,d1
Cal State Fullerton,Mercer,6,1,Big West,Southern,1,d1
Campbell,South Carolina,1,1,CAA,Sun Belt,1,d1
Central Arkansas,SIUE,1,2,Atlantic Sun,OVC,1,d1
Coastal Carolina,Winthrop,0,2,Sun Belt,Big South,1,d1
Colgate,Siena College,2,0,Patriot,MAAC,1,d1
DePaul,Lindenwood,1,0,Big East,OVC,1,d1
Delaware,Rutgers,3,2,CAA,Big Ten,1,d1
East Tennessee State,Georgia Southern,1,0,Southern,Sun Belt,1,d1
Evansville,Bellarmine,1,1,MVC,Atlantic Sun,1,d1
Fairfield,Fairleigh Dickinson,1,3,MAAC,Northeast,1,d1
Fordham,Sacred Heart,3,0,A10,Northeast,1,d1
Gardner-Webb,Wofford,1,0,Big South,Southern,1,d1
George Mason,UMBC,3,4,A10,Am East,1,d1
Hofstra,Marist,1,0,CAA,MAAC,1,d1
Holy Cross,Manhattan,1,1,Patriot,MAAC,1,d1
Houston Christian,St. Bonaventure,0,2,OVC,A10,1,d1
IUPUI,Southern Indiana,3,1,Horizon,OVC,1,d1
Incarnate Word,Omaha,2,1,OVC,Summit,1,d1
James Madison,Duquesne,3,1,Sun Belt,A10,1,d1
Lehigh,St. John's,1,2,Patriot,Big East,1,d1
Liberty,Saint Peter's,3,2,OVC,MAAC,1,d1
Lipscomb,Florida Atlantic,4,6,Atlantic Sun,AAC,1,d1
Marquette,Drake,3,2,Big East,MVC,1,d1
Massachusetts,Northeastern,2,2,A10,CAA,1,d1
Michigan,Loyola Marymount,1,1,Big Ten,WCC,1,d1
Monmouth,Temple,0,0,CAA,AAC,1,d1
Mount St. Mary's,Bucknell,1,2,MAAC,Patriot,1,d1
North Carolina,Loyola (MD),1,1,ACC,Patriot,1,d1
Northern Illinois,Western Illinois,1,0,MVC,Summit,1,d1
Northern Kentucky,UAB,1,1,Horizon,AAC,1,d1
Northwestern,St. Thomas (Minn.),2,1,Big Ten,Summit,1,d1
Ohio State,CSUN,1,1,Big Ten,Big West,1,d1
Old Dominion,George Washington,2,2,Sun Belt,A10,1,d1
Presbyterian,Southern Wesleyan,8,1,Big South,Southern States,1,d1
Quinnipiac,Rhode Island,0,0,MAAC,A10,1,d1
Robert Morris,Virginia Military Institute,5,0,Horizon,Southern,1,d1
Saint Joseph's,Drexel,0,2,A10,CAA,1,d1
San Francisco,Utah Tech,1,0,WCC,WAC,1,d1
Seattle,San Diego,1,2,WAC,WCC,1,d1
Seton Hall,Rider,1,0,Big East,MAAC,1,d1
St. Francis (Pa.),Canisius,2,1,Northeast,MAAC,1,d1
St. Mary's (CA),Detroit Mercy,5,1,WCC,Horizon,1,d1
Stetson,College of Charleston,2,2,Atlantic Sun,CAA,1,d1
