Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
BYU,Kansas State,0,2,Big 12,Big 12,9
Winthrop,Presbyterian,1,0,Big South,Big South,9
East Carolina,Memphis,1,0,AAC,AAC,9
American,Navy,0,1,Patriot,Patriot,9
Boston University,Holy Cross,0,1,Patriot,Patriot,9
Canisius,Siena College,1,1,MAAC,MAAC,9
Georgia Southern,Georgia State,2,1,Sun Belt,Sun Belt,9
Grambling State,South Carolina State,0,5,SWAC,Indep.,9
Iona University,Rider,1,1,MAAC,MAAC,9
Lafayette,Army,2,0,Patriot,Patriot,9
Lehigh,Colgate,1,0,Patriot,Patriot,9
Loyola (MD),Bucknell,0,1,Patriot,Patriot,9
Manhattan,Fairfield,1,0,MAAC,MAAC,9
Niagara,Saint Peter's,6,0,MAAC,MAAC,9
Quinnipiac,Marist,6,1,MAAC,MAAC,9
Florida State,Notre Dame,4,1,ACC,ACC,9
Purdue,Penn State,0,0,Big Ten,Big Ten,9
Oklahoma State,BYU,0,3,Big 12,Big 12,9
UCF,Texas Tech,1,1,Big 12,Big 12,9
Arkansas,Florida,0,3,SEC,SEC,9
Saint Louis,Massachusetts,6,0,A10,A10,9
Indiana,Michigan State,1,1,Big Ten,Big Ten,9
Illinois,Wisconsin,0,1,Big Ten,Big Ten,9
Nebraska,Maryland,3,0,Big Ten,Big Ten,9
Rutgers,Michigan,0,2,Big Ten,Big Ten,9
Georgetown,Villanova,0,2,Big East,Big East,9
TCU,Houston,2,2,Big 12,Big 12,9
Akron,Ball State,1,2,MAC,MAC,9
Albany,UMBC,4,0,Am East,Am East,9
Arkansas Pine Bluff,South Carolina State,0,5,SWAC,Indep.,9
Austin Peay,Kennesaw State,0,0,Atlantic Sun,Atlantic Sun,9
Baylor,Cincinnati,2,2,Big 12,Big 12,9
Bellarmine,FGCU,1,0,Atlantic Sun,Atlantic Sun,9
Boise State,San Jose State,1,0,Mountain West,Mountain West,9
Bowling Green,Kent State,0,2,MAC,MAC,9
Cal Poly,CSU Bakersfield,0,2,Big West,Big West,9
California Baptist,Stephen F. Austin,4,1,WAC,WAC,9
Charlotte,Tulsa,0,3,AAC,AAC,9
Cleveland State,Robert Morris,1,2,Horizon,Horizon,9
College of Charleston,Monmouth,0,2,CAA,CAA,9
Colorado State,Colorado College,3,0,Mountain West,Mountain West,9
Creighton,Seton Hall,2,0,Big East,Big East,9
Dayton,George Mason,0,3,A10,A10,9
DePaul,Connecticut,5,0,Big East,Big East,9
Delaware State,Wagner,1,0,Northeast,Northeast,9
