Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Denver,UMKC,0,1,Summit,Summit,9
Duquesne,George Washington,3,0,A10,A10,9
East Tennessee State,UNC Greensboro,0,1,Southern,Southern,9
Eastern Kentucky,Stetson,1,0,Atlantic Sun,Atlantic Sun,9
Fairleigh Dickinson,Howard,1,2,Northeast,Northeast,9
Florida Atlantic,SMU,2,0,AAC,AAC,9
Grand Canyon,UTRGV,0,5,WAC,WAC,9
Hofstra,Elon,0,2,CAA,CAA,9
IUPUI,Oakland,1,2,Horizon,Horizon,9
Illinois State,Drake,3,0,MVC,MVC,9
Indiana State,Missouri State,1,0,MVC,MVC,9
Iowa,Northwestern,2,1,Big Ten,Big Ten,9
Iowa State,Kansas,0,1,Big 12,Big 12,9
Jacksonville,Central Arkansas,1,1,Atlantic Sun,Atlantic Sun,9
Kansas State,West Virginia,1,0,Big 12,Big 12,9
LIU,St. Francis (Pa.),0,0,Northeast,Northeast,9
La Salle,Fordham,2,1,A10,A10,9
Liberty,Jacksonville State,1,2,C-USA,C-USA,9
Lipscomb,Queens (N.C.),0,3,Atlantic Sun,Atlantic Sun,9
Loyola-Chicago,Richmond,1,0,A10,A10,9
Massachusetts-Lowell,Maine,2,0,Am East,Am East,9
Mercer,Samford,1,2,Southern,Southern,9
Merrimack,Central Connecticut,3,0,Northeast,Northeast,9
Middle Tennessee,UTEP,1,1,C-USA,C-USA,9
Minnesota,Ohio State,0,2,Big Ten,Big Ten,9
NJIT,Bryant,0,1,Am East,Am East,9
Nevada,New Mexico,1,0,Mountain West,Mountain West,9
New Mexico State,Florida International,1,1,C-USA,C-USA,9
North Florida,North Alabama,0,1,Atlantic Sun,Atlantic Sun,9
Northern Arizona,Montana,1,2,Big Sky,Big Sky,9
Northern Illinois,Buffalo,0,2,MAC,MAC,9
Northern Iowa,Evansville,3,2,MVC,MVC,9
Ohio University,Central Michigan,1,1,MAC,MAC,9
Oklahoma,Texas,2,0,Big 12,Big 12,9
Providence,Marquette,0,1,Big East,Big East,9
Sacred Heart,Stonehill,0,4,Northeast,Northeast,9
South Florida,North Texas,0,1,AAC,AAC,9
Southern Illinois,Valparaiso,2,1,MVC,MVC,9
Southern Indiana,SIUE,0,0,OVC,OVC,9
Southern Utah,Abilene Christian,2,3,WAC,WAC,9
St. Bonaventure,Rhode Island,1,2,A10,A10,9
St. John's,Butler,1,3,Big East,Big East,9
Stony Brook,Drexel,1,3,CAA,CAA,9
Temple,Rice,0,1,AAC,AAC,9
Tennessee Tech,UT Martin,2,3,OVC,OVC,9
The Citadel,Western Carolina,0,3,Southern,Southern,9
Toledo,Eastern Michigan,3,0,MAC,MAC,9
UAB,UTSA,1,1,AAC,AAC,9
UC Irvine,UC San Diego,0,0,Big West,Big West,9
UC Riverside,UC Davis,2,1,Big West,Big West,9
UC Santa Barbara,CSUN,0,1,Big West,Big West,9
UIC,Belmont,0,0,MVC,MVC,9
UNC Wilmington,William & Mary,0,2,CAA,CAA,9
UNLV,San Diego State,2,0,Mountain West,Mountain West,9
UT Chattanooga,Wofford,0,2,Southern,Southern,9
Utah State,Fresno State,2,0,Mountain West,Mountain West,9
Utah Tech,Tarleton State,1,3,WAC,WAC,9
VMI,Furman,1,3,Southern,Southern,9
Vermont,New Hampshire,1,1,Am East,Am East,9
Western Illinois,Eastern Illinois,0,0,OVC,OVC,9
Western Kentucky,Louisiana Tech,0,1,C-USA,C-USA,9
Western Michigan,Miami (OH),0,1,MAC,MAC,9
Wisconsin-Green Bay,Purdue Fort Wayne,1,1,Horizon,Horizon,9
Wright State,Detroit Mercy,1,0,Horizon,Horizon,9
Wyoming,Air Force,1,1,Mountain West,Mountain West,9
Youngstown State,Wisconsin-Milwaukee,1,1,Horizon,Horizon,9
UCLA,Utah,4,0,Pac-12,Pac-12,9
Wake Forest,North Carolina,1,1,ACC,ACC,9
Duke,Clemson,0,1,ACC,ACC,9
South Carolina,Mississippi,0,0,SEC,SEC,9
Alabama,LSU,1,4,SEC,SEC,9
Alcorn State,Alabama State,3,1,SWAC,SWAC,9
Auburn,Texas A&M,0,0,SEC,SEC,9
California,Washington State,1,1,Pac-12,Pac-12,9
Idaho State,Portland State,3,2,Big Sky,Big Sky,9
Jackson State,Prairie View A&M,0,2,SWAC,SWAC,9
James Madison,Texas State,0,0,Sun Belt,Sun Belt,9
Lamar,Incarnate Word,0,1,Southland,Southland,9
McNeese State,Northwestern State,0,2,Southland,Southland,9
Mississippi Valley,Alabama A&M,3,2,SWAC,SWAC,9
North Dakota,Oral Roberts,3,2,Summit,Summit,9
Old Dominion,Appalachian State,0,1,Sun Belt,Sun Belt,9
Oregon,Arizona State,0,2,Pac-12,Pac-12,9
Oregon State,Arizona,0,0,Pac-12,Pac-12,9
Southeastern Louisiana,Houston Christian,1,2,Southland,Southland,9
Southern University,Texas Southern,1,1,SWAC,SWAC,9
Tennessee,Georgia,2,1,SEC,SEC,9
Texas A&M-Commerce,Texas A&M-Corpus Christi,1,2,Southland,Southland,9
Vanderbilt,Missouri,1,0,SEC,SEC,9
Weber State,Sacramento State,0,0,Big Sky,Big Sky,9
Stanford,Washington,1,1,Pac-12,Pac-12,9
USC,Colorado,1,1,Pac-12,Pac-12,9
Syracuse,Pittsburgh,0,6,ACC,ACC,9
Columbia,Brown,1,0,Ivy,Ivy,9
Pacific,Santa Clara,1,5,WCC,WCC,9
Boston College,Louisville,1,1,ACC,ACC,9
Bucknell,Boston University,3,3,Patriot,Patriot,9
Canisius,Mount St. Mary's,0,1,MAAC,MAAC,9
Gardner-Webb,UNC Asheville,1,0,Big South,Big South,9
Harvard,Princeton,1,1,Ivy,Ivy,9
High Point,Charleston Southern,1,3,Big South,Big South,9
Lafayette,Colgate,1,0,Patriot,Patriot,9
Longwood,USC Upstate,2,0,Big South,Big South,9
Loyola (MD),Holy Cross,0,3,Patriot,Patriot,9
Manhattan,Niagara,2,1,MAAC,MAAC,9
Marist,Fairfield,0,0,MAAC,MAAC,9
Marshall,Georgia State,4,1,Sun Belt,Sun Belt,9
Miami (FL),NC State,0,0,ACC,ACC,9
Navy,Army,1,2,Patriot,Patriot,9
Penn,Dartmouth,1,1,Ivy,Ivy,9
Portland,San Diego,0,4,WCC,WCC,9
Radford,Winthrop,2,0,Big South,Big South,9
Saint Peter's,Iona University,2,3,MAAC,MAAC,9
San Francisco,Loyola Marymount,1,1,WCC,WCC,9
Siena College,Quinnipiac,2,3,MAAC,MAAC,9
St. Mary's (CA),Gonzaga,0,1,WCC,WCC,9
Troy,Coastal Carolina,2,2,Sun Belt,Sun Belt,9
Utah Valley,Seattle,0,0,WAC,WAC,9
Yale,Cornell,1,1,Ivy,Ivy,9
Northwestern,Penn State,2,2,Big Ten,Big Ten,9
Charlotte,Memphis,0,1,AAC,AAC,9
Texas Tech,Oklahoma State,1,0,Big 12,Big 12,9
Rhode Island,Saint Louis,5,0,A10,A10,9
Rutgers,Michigan State,0,2,Big Ten,Big Ten,9
Wisconsin,Ohio State,0,1,Big Ten,Big Ten,9
Minnesota,Nebraska,2,0,Big Ten,Big Ten,9
Indiana,Michigan,0,1,Big Ten,Big Ten,9
Georgetown,Providence,1,1,Big East,Big East,9
TCU,Baylor,1,0,Big 12,Big 12,9
Kentucky,Mississippi State,0,2,SEC,SEC,9
Alcorn State,Alabama A&M,2,1,SWAC,SWAC,9
American,Lehigh,1,4,Patriot,Patriot,9
Arkansas State,Louisiana-Monroe,2,2,Sun Belt,Sun Belt,9
Austin Peay,Queens (N.C.),1,1,Atlantic Sun,Atlantic Sun,9
Ball State,Ohio University,2,2,MAC,MAC,9
Bellarmine,Stetson,3,2,Atlantic Sun,Atlantic Sun,9
Binghamton,Vermont,0,2,Am East,Am East,9
Boise State,Fresno State,2,1,Mountain West,Mountain West,9
Buffalo,Bowling Green,0,0,MAC,MAC,9
Butler,Connecticut,0,0,Big East,Big East,9
Cal Poly,CSUN,0,4,Big West,Big West,9
Cal State Fullerton,UC Davis,1,0,Big West,Big West,9
California Baptist,UTRGV,0,4,WAC,WAC,9
Central Connecticut,Le Moyne,2,2,Northeast,Northeast,9
Central Michigan,Akron,0,0,MAC,MAC,9
Cincinnati,UCF,0,1,Big 12,Big 12,9
College of Charleston,William & Mary,1,1,CAA,CAA,9
Colorado State,Air Force,1,0,Mountain West,Mountain West,9
Dayton,Loyola-Chicago,0,2,A10,A10,9
Detroit Mercy,Cleveland State,1,3,Horizon,Horizon,9
Drake,Evansville,0,1,MVC,MVC,9
Duquesne,La Salle,4,1,A10,A10,9
East Carolina,Tulsa,2,2,AAC,AAC,9
Eastern Illinois,Little Rock,2,4,OVC,OVC,9
Eastern Kentucky,FGCU,1,1,Atlantic Sun,Atlantic Sun,9
Eastern Michigan,Western Michigan,3,0,MAC,MAC,9
Eastern Washington,Idaho,1,2,Big Sky,Big Sky,9
Florida Atlantic,North Texas,1,1,AAC,AAC,9
Florida International,Jacksonville State,3,2,C-USA,C-USA,9
Fordham,Saint Joseph's,1,2,A10,A10,9
Furman,Mercer,2,1,Southern,Southern,9
George Mason,George Washington,2,1,A10,A10,9
Grand Canyon,Stephen F. Austin,8,0,WAC,WAC,9
Hampton University,Campbell,6,0,CAA,CAA,9
Hofstra,Delaware,1,0,CAA,CAA,9
Houston,Texas,6,1,Big 12,Big 12,9
Howard,LIU,3,1,Northeast,Northeast,9
Idaho State,Sacramento State,1,1,Big Sky,Big Sky,9
Illinois,Purdue,1,2,Big Ten,Big Ten,9
Indiana State,Illinois State,2,0,MVC,MVC,9
Iowa,Maryland,5,0,Big Ten,Big Ten,9
Jackson State,Texas Southern,1,2,SWAC,SWAC,9
Jacksonville,North Alabama,0,1,Atlantic Sun,Atlantic Sun,9
Kansas,West Virginia,1,0,Big 12,Big 12,9
Kansas State,Iowa State,2,1,Big 12,Big 12,9
Kent State,Northern Illinois,2,1,MAC,MAC,9
Lamar,Texas A&M-Commerce,2,2,Southland,Southland,9
Lipscomb,Kennesaw State,0,1,Atlantic Sun,Atlantic Sun,9
Long Beach State,UC San Diego,1,2,Big West,Big West,9
Louisiana Tech,Middle Tennessee,2,0,C-USA,C-USA,9
Maine,Bryant,0,2,Am East,Am East,9
McNeese State,Southeastern Louisiana,1,1,Southland,Southland,9
Miami (OH),Toledo,1,2,MAC,MAC,9
Mississippi Valley,Alabama State,3,4,SWAC,SWAC,9
Missouri State,Northern Iowa,0,1,MVC,MVC,9
Morehead State,Lindenwood,0,2,OVC,OVC,9
Murray State,Southern Illinois,1,2,MVC,MVC,9
Nevada,San Diego State,3,2,Mountain West,Mountain West,9
New Hampshire,NJIT,0,1,Am East,Am East,9
Nicholls,Houston Christian,0,2,Southland,Southland,9
North Florida,Central Arkansas,1,2,Atlantic Sun,Atlantic Sun,9
Northeastern,Towson,0,1,CAA,CAA,9
Northern Colorado,Montana,3,0,Big Sky,Big Sky,9
Northwestern State,Texas A&M-Corpus Christi,0,2,Southland,Southland,9
Oakland,Wisconsin-Green Bay,0,0,Horizon,Horizon,9
Omaha,UMKC,3,2,Summit,Summit,9
Purdue Fort Wayne,Wright State,1,1,Horizon,Horizon,9
Richmond,Davidson,0,0,A10,A10,9
Robert Morris,Northern Kentucky,0,1,Horizon,Horizon,9
SIUE,Western Illinois,4,2,OVC,OVC,9
Sam Houston State,Western Kentucky,0,1,C-USA,C-USA,9
Samford,East Tennessee State,1,1,Southern,Southern,9
Seton Hall,DePaul,0,0,Big East,Big East,9
South Alabama,Louisiana,0,5,Sun Belt,Sun Belt,9
South Dakota,North Dakota State,2,1,Summit,Summit,9
South Dakota State,St. Thomas (Minn.),0,3,Summit,Summit,9
South Florida,SMU,0,1,AAC,AAC,9
Southeast Missouri State,Tennessee Tech,1,0,OVC,OVC,9
Southern Mississippi,Georgia Southern,1,2,Sun Belt,Sun Belt,9
Southern University,Prairie View A&M,2,1,SWAC,SWAC,9
Southern Utah,Tarleton State,0,1,WAC,WAC,9
St. Bonaventure,VCU,0,1,A10,A10,9
St. Francis (Pa.),Merrimack,1,1,Northeast,Northeast,9
Stonehill,Delaware State,2,0,Northeast,Northeast,9
Stony Brook,Elon,2,4,CAA,CAA,9
Temple,UTSA,0,2,AAC,AAC,9
UAB,Rice,1,2,AAC,AAC,9
UC Irvine,UC Riverside,0,2,Big West,Big West,9
UC Santa Barbara,CSU Bakersfield,0,1,Big West,Big West,9
UMBC,Massachusetts-Lowell,3,3,Am East,Am East,9
UNC Greensboro,UT Chattanooga,2,1,Southern,Southern,9
UNC Wilmington,Monmouth,1,3,CAA,CAA,9
UNLV,New Mexico,3,3,Mountain West,Mountain West,9
UT Martin,Southern Indiana,1,1,OVC,OVC,9
UTEP,Liberty,2,1,C-USA,C-USA,9
Utah State,San Jose State,3,0,Mountain West,Mountain West,9
Utah Tech,Abilene Christian,3,1,WAC,WAC,9
Valparaiso,Belmont,0,2,MVC,MVC,9
Villanova,Marquette,1,1,Big East,Big East,9
Virginia,Virginia Tech,3,0,ACC,ACC,9
Wagner,Sacred Heart,0,1,Northeast,Northeast,9
Weber State,Portland State,0,0,Big Sky,Big Sky,9
Western Carolina,VMI,4,0,Southern,Southern,9
Wisconsin-Milwaukee,IUPUI,2,2,Horizon,Horizon,9
Wofford,The Citadel,2,2,Southern,Southern,9
Wyoming,Colorado College,5,0,Mountain West,Mountain West,9
Xavier,St. John's,0,3,Big East,Big East,9
