Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
Iowa State,BYU,0,7,Big 12,Big 12
Yale,Brown,1,4,Ivy,Ivy
Cornell,Columbia,1,1,Ivy,Ivy
Harvard,Dartmouth,0,3,Ivy,Ivy
High Point,USC Upstate,0,1,Big South,Big South
Iona University,Manhattan,1,2,MAAC,MAAC
LIU,Chicago State,1,3,Northeast,Indep.
Louisiana Tech,Grambling State,2,1,C-USA,SWAC
Mount St. Mary's,Niagara,2,0,MAAC,MAAC
NJIT,George Washington,2,0,Am East,A10
Penn,Princeton,1,0,Ivy,Ivy
Pepperdine,Pacific,2,1,WCC,WCC
Portland,Gonzaga,1,2,WCC,WCC
Presbyterian,Gardner-Webb,0,2,Big South,Big South
Quinnipiac,Fairfield,3,1,MAAC,MAAC
Radford,UNC Asheville,4,1,Big South,Big South
Saint Joseph's,George Mason,0,2,A10,A10
Saint Peter's,Rider,1,3,MAAC,MAAC
San Diego,Loyola Marymount,1,1,WCC,WCC
Siena College,Marist,0,4,MAAC,MAAC
St. Mary's (CA),Santa Clara,0,4,WCC,WCC
Winthrop,Charleston Southern,1,1,Big South,Big South
Louisville,Florida State,2,0,ACC,ACC
North Carolina,Miami (FL),0,1,ACC,ACC
UCLA,Oregon State,0,6,Pac-12,Pac-12
Colorado,Stanford,1,3,Pac-12,Pac-12
Arkansas,Georgia,2,1,SEC,SEC
Rice,Memphis,2,0,AAC,AAC
Clemson,Virginia,1,1,ACC,ACC
USC,Oregon,0,3,Pac-12,Pac-12
BYU,Texas Tech,2,2,Big 12,Big 12
Notre Dame,Boston College,3,1,ACC,ACC
South Carolina,LSU,0,1,SEC,SEC
Pittsburgh,Duke,2,1,ACC,ACC
Xavier,Georgetown,0,0,Big East,Big East
Alabama,Auburn,2,1,SEC,SEC
Wisconsin,Northwestern,2,1,Big Ten,Big Ten
Tennessee,Kentucky,1,1,SEC,SEC
TCU,Kansas,1,0,Big 12,Big 12
Syracuse,Wake Forest,2,2,ACC,ACC
Abilene Christian,Seattle,2,1,WAC,WAC
Air Force,UNLV,0,1,Mountain West,Mountain West
Akron,Western Michigan,2,0,MAC,MAC
Arizona,Washington State,1,2,Pac-12,Pac-12
Arizona State,Washington,2,1,Pac-12,Pac-12
Arkansas State,Troy,2,1,Sun Belt,Sun Belt
Ball State,Kent State,1,3,MAC,MAC
CSU Bakersfield,Hawaii,2,0,Big West,Big West
Cal State Fullerton,UC Irvine,2,0,Big West,Big West
Campbell,Drexel,3,2,CAA,CAA
Central Arkansas,Bellarmine,0,2,Atlantic Sun,Atlantic Sun
Central Connecticut,Sacred Heart,1,1,Northeast,Northeast
Central Michigan,Buffalo,2,2,MAC,MAC
Charlotte,Florida Atlantic,0,1,AAC,AAC
Cincinnati,Oklahoma State,0,1,Big 12,Big 12
Cleveland State,Youngstown State,0,0,Horizon,Horizon
Colorado College,Nevada,1,2,Mountain West,Mountain West
Creighton,St. John's,3,2,Big East,Big East
DePaul,Providence,1,1,Big East,Big East
Denver,South Dakota State,4,2,Summit,Summit
