Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Iowa State,BYU,0,7,Big 12,Big 12,8,d1
Yale,Brown,1,4,Ivy,Ivy,8,d1
Cornell,Columbia,1,1,Ivy,Ivy,8,d1
Harvard,Dartmouth,0,3,Ivy,Ivy,8,d1
High Point,USC Upstate,0,1,Big South,Big South,8,d1
Iona University,Manhattan,1,2,MAAC,MAAC,8,d1
LIU,Chicago State,1,3,Northeast,Indep.,8,d1
Louisiana Tech,Grambling State,2,1,C-USA,SWAC,8,d1
Mount St. Mary's,Niagara,2,0,MAAC,MAAC,8,d1
NJIT,George Washington,2,0,Am East,A10,8,d1
Penn,Princeton,1,0,Ivy,Ivy,8,d1
Pepperdine,Pacific,2,1,WCC,WCC,8,d1
Portland,Gonzaga,1,2,WCC,WCC,8,d1
Presbyterian,Gardner-Webb,0,2,Big South,Big South,8,d1
Quinnipiac,Fairfield,3,1,MAAC,MAAC,8,d1
Radford,UNC Asheville,4,1,Big South,Big South,8,d1
Saint Joseph's,George Mason,0,2,A10,A10,8,d1
Saint Peter's,Rider,1,3,MAAC,MAAC,8,d1
San Diego,Loyola Marymount,1,1,WCC,WCC,8,d1
Siena College,Marist,0,4,MAAC,MAAC,8,d1
St. Mary's (CA),Santa Clara,0,4,WCC,WCC,8,d1
Winthrop,Charleston Southern,1,1,Big South,Big South,8,d1
Louisville,Florida State,2,0,ACC,ACC,8,d1
North Carolina,Miami (FL),0,1,ACC,ACC,8,d1
UCLA,Oregon State,0,6,Pac-12,Pac-12,8,d1
Colorado,Stanford,1,3,Pac-12,Pac-12,8,d1
Arkansas,Georgia,2,1,SEC,SEC,8,d1
Rice,Memphis,2,0,AAC,AAC,8,d1
Clemson,Virginia,1,1,ACC,ACC,8,d1
USC,Oregon,0,3,Pac-12,Pac-12,8,d1
BYU,Texas Tech,2,2,Big 12,Big 12,8,d1
Notre Dame,Boston College,3,1,ACC,ACC,8,d1
South Carolina,LSU,0,1,SEC,SEC,8,d1
Pittsburgh,Duke,2,1,ACC,ACC,8,d1
Xavier,Georgetown,0,0,Big East,Big East,8,d1
Alabama,Auburn,2,1,SEC,SEC,8,d1
Wisconsin,Northwestern,2,1,Big Ten,Big Ten,8,d1
Tennessee,Kentucky,1,1,SEC,SEC,8,d1
TCU,Kansas,1,0,Big 12,Big 12,8,d1
Syracuse,Wake Forest,2,2,ACC,ACC,8,d1
Abilene Christian,Seattle,2,1,WAC,WAC,8,d1
Air Force,UNLV,0,1,Mountain West,Mountain West,8,d1
Akron,Western Michigan,2,0,MAC,MAC,8,d1
Arizona,Washington State,1,2,Pac-12,Pac-12,8,d1
Arizona State,Washington,2,1,Pac-12,Pac-12,8,d1
Arkansas State,Troy,2,1,Sun Belt,Sun Belt,8,d1
Ball State,Kent State,1,3,MAC,MAC,8,d1
CSU Bakersfield,Hawaii,2,0,Big West,Big West,8,d1
Cal State Fullerton,UC Irvine,2,0,Big West,Big West,8,d1
Campbell,Drexel,3,2,CAA,CAA,8,d1
Central Arkansas,Bellarmine,0,2,Atlantic Sun,Atlantic Sun,8,d1
Central Connecticut,Sacred Heart,1,1,Northeast,Northeast,8,d1
Central Michigan,Buffalo,2,2,MAC,MAC,8,d1
Charlotte,Florida Atlantic,0,1,AAC,AAC,8,d1
Cincinnati,Oklahoma State,0,1,Big 12,Big 12,8,d1
Cleveland State,Youngstown State,0,0,Horizon,Horizon,8,d1
Colorado College,Nevada,1,2,Mountain West,Mountain West,8,d1
Creighton,St. John's,3,2,Big East,Big East,8,d1
DePaul,Providence,1,1,Big East,Big East,8,d1
Denver,South Dakota State,4,2,Summit,Summit,8,d1
East Carolina,Temple,4,0,AAC,AAC,8,d1
Eastern Michigan,Northern Illinois,2,0,MAC,MAC,8,d1
Elon,Delaware,1,0,CAA,CAA,8,d1
FGCU,Austin Peay,0,2,Atlantic Sun,Atlantic Sun,8,d1
Florida,Mississippi State,1,0,SEC,SEC,8,d1
Fresno State,Colorado State,0,1,Mountain West,Mountain West,8,d1
Furman,Samford,1,1,Southern,Southern,8,d1
Georgia Southern,Louisiana,3,1,Sun Belt,Sun Belt,8,d1
Hampton University,Hofstra,4,1,CAA,CAA,8,d1
Indiana State,UIC,0,0,MVC,MVC,8,d1
Iowa State,Baylor,2,4,Big 12,Big 12,8,d1
James Madison,Louisiana-Monroe,1,1,Sun Belt,Sun Belt,8,d1
Kansas State,Houston,1,0,Big 12,Big 12,8,d1
Kennesaw State,Jacksonville,1,0,Atlantic Sun,Atlantic Sun,8,d1
