Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
BYU,UCF,3,2,Big 12,Big 12
Iowa State,Texas Tech,0,1,Big 12,Big 12
Houston,Baylor,3,2,Big 12,Big 12
Kansas,Kansas State,1,2,Big 12,Big 12
Oklahoma State,Oklahoma,0,1,Big 12,Big 12
Texas,TCU,2,4,Big 12,Big 12
Utah Valley,Southern Utah,3,0,WAC,WAC
West Virginia,Cincinnati,1,1,Big 12,Big 12
Mercer,The Citadel,0,1,Southern,Southern
South Dakota State,Omaha,1,1,Summit,Summit
Wofford,VMI,2,1,Southern,Southern
American,Loyola (MD),2,1,Patriot,Patriot
Army,Boston University,2,1,Patriot,Patriot
Canisius,Niagara,1,2,MAAC,MAAC
Charleston Southern,USC Upstate,2,1,Big South,Big South
Colgate,Holy Cross,3,0,Patriot,Patriot
Detroit Mercy,Oakland,1,2,Horizon,Horizon
Fairfield,Saint Peter's,0,4,MAAC,MAAC
Georgia Southern,Troy,3,2,Sun Belt,Sun Belt
IUPUI,Purdue Fort Wayne,2,0,Horizon,Horizon
Lehigh,Bucknell,2,1,Patriot,Patriot
Manhattan,Quinnipiac,2,2,MAAC,MAAC
Navy,Lafayette,0,1,Patriot,Patriot
Presbyterian,Longwood,1,1,Big South,Big South
Rider,Mount St. Mary's,0,1,MAAC,MAAC
Siena College,Iona University,1,2,MAAC,MAAC
UNC Asheville,High Point,0,2,Big South,Big South
Winthrop,Gardner-Webb,1,2,Big South,Big South
Wisconsin-Milwaukee,Wisconsin-Green Bay,4,0,Horizon,Horizon
Wright State,Northern Kentucky,0,0,Horizon,Horizon
Youngstown State,Robert Morris,1,2,Horizon,Horizon
Florida State,NC State,5,0,ACC,ACC
UCLA,California,2,0,Pac-12,Pac-12
Tulsa,Memphis,0,2,AAC,AAC
USC,Stanford,0,0,Pac-12,Pac-12
Notre Dame,Clemson,2,0,ACC,ACC
Boston College,North Carolina,1,1,ACC,ACC
Pittsburgh,Virginia Tech,2,1,ACC,ACC
Arkansas,Mississippi State,1,0,SEC,SEC
Utah,Arizona State,0,2,Pac-12,Pac-12
Florida,South Carolina,0,0,SEC,SEC
South Alabama,Arkansas State,1,3,Sun Belt,Sun Belt
Xavier,Marquette,0,3,Big East,Big East
Albany,Vermont,0,3,Am East,Am East
Ball State,Central Michigan,2,0,MAC,MAC
Boise State,Utah State,1,0,Mountain West,Mountain West
Bowling Green,Northern Illinois,1,0,MAC,MAC
Bryant,Massachusetts-Lowell,0,0,Am East,Am East
Buffalo,Kent State,2,1,MAC,MAC
Butler,Creighton,1,3,Big East,Big East
CSU Bakersfield,Cal State Fullerton,4,0,Big West,Big West
CSUN,UC Riverside,0,0,Big West,Big West
Cal Poly,UC San Diego,0,1,Big West,Big West
Central Connecticut,Wagner,2,1,Northeast,Northeast
Colorado,Arizona,0,2,Pac-12,Pac-12
Colorado College,Air Force,0,0,Mountain West,Mountain West
East Carolina,Charlotte,3,1,AAC,AAC
Eastern Kentucky,Queens (N.C.),0,0,Atlantic Sun,Atlantic Sun
Eastern Michigan,Miami (OH),0,4,MAC,MAC
Evansville,Murray State,0,1,MVC,MVC
Fairleigh Dickinson,Delaware State,0,3,Northeast,Northeast
Fresno State,San Jose State,0,3,Mountain West,Mountain West
Georgia,Auburn,0,0,SEC,SEC
Georgia State,Appalachian State,0,1,Sun Belt,Sun Belt
Howard,St. Francis (Pa.),3,0,Northeast,Northeast
James Madison,Coastal Carolina,1,0,Sun Belt,Sun Belt
Kennesaw State,Austin Peay,1,1,Atlantic Sun,Atlantic Sun
LIU,Merrimack,2,4,Northeast,Northeast
LSU,Texas A&M,0,0,SEC,SEC
Long Beach State,Hawaii,2,4,Big West,Big West
Louisiana,Marshall,1,0,Sun Belt,Sun Belt
Louisiana-Monroe,Old Dominion,1,1,Sun Belt,Sun Belt
Louisville,Duke,1,0,ACC,ACC
Miami (FL),Wake Forest,2,0,ACC,ACC
Mississippi,Kentucky,1,0,SEC,SEC
Missouri,Alabama,1,2,SEC,SEC
NJIT,Binghamton,2,0,Am East,Am East
Nevada,UNLV,1,0,Mountain West,Mountain West
North Texas,SMU,3,1,AAC,AAC
Northeastern,William & Mary,1,1,CAA,CAA
Ohio University,Akron,3,0,MAC,MAC
Oregon,Washington,1,0,Pac-12,Pac-12
Oregon State,Washington State,2,2,Pac-12,Pac-12
Rice,UTSA,0,2,AAC,AAC
Sacred Heart,Le Moyne,0,2,Northeast,Northeast
San Diego State,New Mexico,0,2,Mountain West,Mountain West
Seton Hall,Connecticut,2,0,Big East,Big East
South Florida,Florida Atlantic,1,2,AAC,AAC
St. John's,DePaul,1,0,Big East,Big East
Stony Brook,Monmouth,0,3,CAA,CAA
Syracuse,Virginia,4,0,ACC,ACC
Texas State,Southern Mississippi,3,3,Sun Belt,Sun Belt
UAB,Temple,4,0,AAC,AAC
UC Irvine,UC Davis,1,0,Big West,Big West
Valparaiso,Belmont,0,1,MVC,MVC
Vanderbilt,Tennessee,0,1,SEC,SEC
Villanova,Providence,0,1,Big East,Big East
Western Michigan,Toledo,1,3,MAC,MAC
Wyoming,Colorado State,0,1,Mountain West,Mountain West
Saint Louis,VCU,0,2,A10,A10
Alabama A&M,Alabama State,0,1,SWAC,SWAC
Dayton,Saint Joseph's,0,1,A10,A10
East Tennessee State,Mercer,1,0,Southern,Southern
Eastern Illinois,Southeast Missouri State,0,1,OVC,OVC
Grambling State,Arkansas Pine Bluff,0,3,SWAC,SWAC
Houston Christian,Incarnate Word,0,2,Southland,Southland
Jackson State,Southern University,0,1,SWAC,SWAC
La Salle,Rhode Island,0,2,A10,A10
Lamar,Southeastern Louisiana,4,1,Southland,Southland
Maine,New Hampshire,0,0,Am East,Am East
Massachusetts,Duquesne,1,2,A10,A10
McNeese State,Texas A&M-Commerce,0,1,Southland,Southland
Middle Tennessee,Florida International,2,0,C-USA,C-USA
Mississippi Valley,Alcorn State,0,0,SWAC,SWAC
Nicholls,Northwestern State,2,2,Southland,Southland
Oral Roberts,UMKC,1,2,Summit,Summit
Prairie View A&M,Texas Southern,0,1,SWAC,SWAC
Samford,UT Chattanooga,2,3,Southern,Southern
San Diego,Pepperdine,7,0,WCC,WCC
South Dakota,Omaha,0,2,Summit,Summit
UNC Greensboro,Furman,2,2,Southern,Southern
UT Martin,Little Rock,0,1,OVC,OVC
Western Carolina,Wofford,0,5,Southern,Southern
Western Kentucky,New Mexico State,0,1,C-USA,C-USA
Brown,Dartmouth,2,0,Ivy,Ivy
Yale,Harvard,2,5,Ivy,Ivy
Cincinnati,Baylor,2,3,Big 12,Big 12
Loyola Marymount,Pacific,2,1,WCC,WCC
Oklahoma State,Oklahoma,0,1,Big 12,Big 12
Penn,Cornell,2,1,Ivy,Ivy
Portland,San Francisco,4,1,WCC,WCC
Princeton,Columbia,0,1,Ivy,Ivy
Sam Houston State,UTEP,0,0,C-USA,C-USA
South Carolina State,South Carolina-Aiken,2,2,Indep.,Peach Belt
UCLA,Stanford,1,1,Pac-12,Pac-12
Clemson,Wake Forest,1,0,ACC,ACC
North Carolina,Pittsburgh,1,2,ACC,ACC
Penn State,Indiana,3,0,Big Ten,Big Ten
USC,California,2,0,Pac-12,Pac-12
Nebraska,Ohio State,2,3,Big Ten,Big Ten
Michigan State,Iowa,1,2,Big Ten,Big Ten
Wisconsin,Rutgers,0,0,Big Ten,Big Ten
Colorado,Arizona State,0,4,Pac-12,Pac-12
Gonzaga,Santa Clara,1,0,WCC,WCC
Auburn,Tennessee,1,2,SEC,SEC
Ball State,Ohio University,0,2,MAC,MAC
Boise State,Nevada,0,2,Mountain West,Mountain West
Boston University,Lehigh,2,2,Patriot,Patriot
Cal Poly,Hawaii,2,1,Big West,Big West
Canisius,Rider,1,0,MAAC,MAAC
Connecticut,Butler,2,3,Big East,Big East
Denver,Omaha,2,2,Summit,Summit
East Tennessee State,Samford,0,2,Southern,Southern
FGCU,Austin Peay,2,3,Atlantic Sun,Atlantic Sun
Fairleigh Dickinson,Wagner,3,0,Northeast,Northeast
Fresno State,Colorado State,0,2,Mountain West,Mountain West
Hofstra,Monmouth,1,2,CAA,CAA
Howard,Sacred Heart,1,0,Northeast,Northeast
Kentucky,LSU,0,0,SEC,SEC
Long Beach State,UC Irvine,0,0,Big West,Big West
Louisiana Tech,Liberty,4,1,C-USA,C-USA
Loyola (MD),Colgate,0,2,Patriot,Patriot
Mount St. Mary's,Niagara,0,0,MAAC,MAAC
North Alabama,Queens (N.C.),1,0,Atlantic Sun,Atlantic Sun
Northern Illinois,Kent State,0,3,MAC,MAC
Northern Iowa,Valparaiso,1,0,MVC,MVC
Northern Kentucky,Detroit Mercy,1,0,Horizon,Horizon
Oregon,Washington State,2,2,Pac-12,Pac-12
Oregon State,Washington,0,0,Pac-12,Pac-12
Providence,St. John's,3,1,Big East,Big East
Robert Morris,Wright State,4,1,Horizon,Horizon
SIUE,Southeast Missouri State,1,1,OVC,OVC
South Dakota State,Oral Roberts,5,2,Summit,Summit
Southern Indiana,Little Rock,3,1,OVC,OVC
Southern Utah,Seattle,1,2,WAC,WAC
Towson,William & Mary,0,1,CAA,CAA
UIC,Murray State,0,0,MVC,MVC
Utah,Arizona,0,1,Pac-12,Pac-12
Utah Tech,Grand Canyon,0,3,WAC,WAC
Western Carolina,Furman,0,1,Southern,Southern
