Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
UCLA,Georgia,0,2,Pac-12,SEC
Penn State,North Carolina,0,0,Big Ten,ACC
Texas A&M,Florida State,2,1,SEC,ACC
San Diego,Stanford,4,0,WCC,Pac-12
Virginia,Nevada,0,5,ACC,Mountain West
Notre Dame,Wisconsin-Milwaukee,2,2,ACC,Horizon
Duke,West Virginia,0,2,ACC,Big 12
Alabama,DePaul,2,0,SEC,Big East
Arkansas,Arkansas State,0,6,SEC,Sun Belt
Clemson,South Carolina,0,0,ACC,SEC
BYU,Saint Louis,3,2,Big 12,A10
Long Beach State,Texas,4,3,Big West,Big 12
TCU,SMU,1,0,Big 12,AAC
Buffalo,Pittsburgh,2,1,MAC,ACC
Marquette,Northwestern,0,4,Big East,Big Ten
Michigan State,Cincinnati,1,0,Big Ten,Big 12
Pepperdine,Georgetown,1,1,WCC,Big East
Santa Clara,San Jose State,2,1,WCC,Mountain West
Memphis,Southern University,0,6,AAC,SWAC
USC,Michigan,0,1,Pac-12,Big Ten
Albany,Hofstra,1,2,Am East,CAA
American,Maryland,0,0,Patriot,Big Ten
Arizona State,Wright State,4,0,Pac-12,Horizon
Auburn,Samford,0,0,SEC,Southern
Austin Peay,UT Martin,2,1,Atlantic Sun,OVC
Ball State,Mercyhurst,1,5,MAC,PSAC
Belmont,North Alabama,0,1,MVC,Atlantic Sun
Boston University,Vermont,0,1,Patriot,Am East
Bucknell,Saint Joseph's,4,0,Patriot,A10
Butler,Virginia Tech,3,0,Big East,ACC
CSUN,Portland,1,0,Big West,WCC
Cal State Fullerton,Boston College,0,0,Big West,ACC
Canisius,Colgate,0,4,MAAC,Patriot
Chicago State,Purdue Fort Wayne,1,0,Indep.,Horizon
Coastal Carolina,UNC Wilmington,0,1,Sun Belt,CAA
College of Charleston,USC Upstate,2,2,CAA,Big South
Colorado,Northern Colorado,0,3,Pac-12,Big Sky
Colorado College,Louisiana Tech,1,3,Mountain West,C-USA
Creighton,Nebraska,2,2,Big East,Big Ten
