Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
CSU Bakersfield,Westmont,0,1,Big West,Golden State Athletic,4
Jacksonville,Warner,0,3,Atlantic Sun,The Sun,4
Detroit Mercy,Concordia (Mich.),0,6,Horizon,Wolverine-Hoosier,4
