Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Iowa State,BYU,0,7,Big 12,Big 12,8
Yale,Brown,1,4,Ivy,Ivy,8
Cornell,Columbia,1,1,Ivy,Ivy,8
Harvard,Dartmouth,0,3,Ivy,Ivy,8
High Point,USC Upstate,0,1,Big South,Big South,8
Iona University,Manhattan,1,2,MAAC,MAAC,8
LIU,Chicago State,1,3,Northeast,Indep.,8
Louisiana Tech,Grambling State,2,1,C-USA,SWAC,8
Mount St. Mary's,Niagara,2,0,MAAC,MAAC,8
NJIT,George Washington,2,0,Am East,A10,8
Penn,Princeton,1,0,Ivy,Ivy,8
Pepperdine,Pacific,2,1,WCC,WCC,8
Portland,Gonzaga,1,2,WCC,WCC,8
Presbyterian,Gardner-Webb,0,2,Big South,Big South,8
Quinnipiac,Fairfield,3,1,MAAC,MAAC,8
Radford,UNC Asheville,4,1,Big South,Big South,8
Saint Joseph's,George Mason,0,2,A10,A10,8
Saint Peter's,Rider,1,3,MAAC,MAAC,8
San Diego,Loyola Marymount,1,1,WCC,WCC,8
Siena College,Marist,0,4,MAAC,MAAC,8
St. Mary's (CA),Santa Clara,0,4,WCC,WCC,8
Winthrop,Charleston Southern,1,1,Big South,Big South,8
Louisville,Florida State,2,0,ACC,ACC,8
North Carolina,Miami (FL),0,1,ACC,ACC,8
UCLA,Oregon State,0,6,Pac-12,Pac-12,8
Colorado,Stanford,1,3,Pac-12,Pac-12,8
Arkansas,Georgia,2,1,SEC,SEC,8
Rice,Memphis,2,0,AAC,AAC,8
Clemson,Virginia,1,1,ACC,ACC,8
USC,Oregon,0,3,Pac-12,Pac-12,8
BYU,Texas Tech,2,2,Big 12,Big 12,8
Notre Dame,Boston College,3,1,ACC,ACC,8
South Carolina,LSU,0,1,SEC,SEC,8
Pittsburgh,Duke,2,1,ACC,ACC,8
Xavier,Georgetown,0,0,Big East,Big East,8
Alabama,Auburn,2,1,SEC,SEC,8
Wisconsin,Northwestern,2,1,Big Ten,Big Ten,8
Tennessee,Kentucky,1,1,SEC,SEC,8
TCU,Kansas,1,0,Big 12,Big 12,8
Syracuse,Wake Forest,2,2,ACC,ACC,8
Abilene Christian,Seattle,2,1,WAC,WAC,8
Air Force,UNLV,0,1,Mountain West,Mountain West,8
Akron,Western Michigan,2,0,MAC,MAC,8
Arizona,Washington State,1,2,Pac-12,Pac-12,8
Arizona State,Washington,2,1,Pac-12,Pac-12,8
Arkansas State,Troy,2,1,Sun Belt,Sun Belt,8
Ball State,Kent State,1,3,MAC,MAC,8
CSU Bakersfield,Hawaii,2,0,Big West,Big West,8
Cal State Fullerton,UC Irvine,2,0,Big West,Big West,8
Campbell,Drexel,3,2,CAA,CAA,8
Central Arkansas,Bellarmine,0,2,Atlantic Sun,Atlantic Sun,8
Central Connecticut,Sacred Heart,1,1,Northeast,Northeast,8
Central Michigan,Buffalo,2,2,MAC,MAC,8
Charlotte,Florida Atlantic,0,1,AAC,AAC,8
Cincinnati,Oklahoma State,0,1,Big 12,Big 12,8
Cleveland State,Youngstown State,0,0,Horizon,Horizon,8
Colorado College,Nevada,1,2,Mountain West,Mountain West,8
Creighton,St. John's,3,2,Big East,Big East,8
DePaul,Providence,1,1,Big East,Big East,8
Denver,South Dakota State,4,2,Summit,Summit,8
East Carolina,Temple,4,0,AAC,AAC,8
Eastern Michigan,Northern Illinois,2,0,MAC,MAC,8
Elon,Delaware,1,0,CAA,CAA,8
FGCU,Austin Peay,0,2,Atlantic Sun,Atlantic Sun,8
Florida,Mississippi State,1,0,SEC,SEC,8
Fresno State,Colorado State,0,1,Mountain West,Mountain West,8
Furman,Samford,1,1,Southern,Southern,8
Georgia Southern,Louisiana,3,1,Sun Belt,Sun Belt,8
Hampton University,Hofstra,4,1,CAA,CAA,8
Indiana State,UIC,0,0,MVC,MVC,8
Iowa State,Baylor,2,4,Big 12,Big 12,8
James Madison,Louisiana-Monroe,1,1,Sun Belt,Sun Belt,8
Kansas State,Houston,1,0,Big 12,Big 12,8
Kennesaw State,Jacksonville,1,0,Atlantic Sun,Atlantic Sun,8
Le Moyne,Merrimack,2,6,Northeast,Northeast,8
Lindenwood,UT Martin,3,0,OVC,OVC,8
Long Beach State,Cal Poly,0,0,Big West,Big West,8
Marquette,Seton Hall,1,0,Big East,Big East,8
Marshall,Old Dominion,2,1,Sun Belt,Sun Belt,8
Miami (OH),Bowling Green,3,2,MAC,MAC,8
Mississippi,Missouri,2,1,SEC,SEC,8
Missouri State,Drake,0,0,MVC,MVC,8
Monmouth,Towson,0,0,CAA,CAA,8
Montana,Weber State,2,1,Big Sky,Big Sky,8
Murray State,Northern Iowa,1,4,MVC,MVC,8
New Mexico,Utah State,0,2,Mountain West,Mountain West,8
North Alabama,Eastern Kentucky,0,0,Atlantic Sun,Atlantic Sun,8
North Texas,Tulsa,2,2,AAC,AAC,8
Northeastern,College of Charleston,0,2,CAA,CAA,8
Oakland,Robert Morris,1,1,Horizon,Horizon,8
Ohio University,Toledo,0,1,MAC,MAC,8
Omaha,South Dakota,0,0,Summit,Summit,8
Oral Roberts,North Dakota State,0,1,Summit,Summit,8
Purdue Fort Wayne,Wisconsin-Milwaukee,5,0,Horizon,Horizon,8
Queens (N.C.),North Florida,0,0,Atlantic Sun,Atlantic Sun,8
SIUE,Tennessee Tech,0,0,OVC,OVC,8
SMU,UTSA,0,1,AAC,AAC,8
San Diego State,Boise State,0,1,Mountain West,Mountain West,8
San Jose State,Wyoming,1,0,Mountain West,Mountain West,8
South Alabama,Appalachian State,1,3,Sun Belt,Sun Belt,8
Southeast Missouri State,Little Rock,1,1,OVC,OVC,8
Southern Illinois,Belmont,1,0,MVC,MVC,8
Southern Mississippi,Georgia State,2,1,Sun Belt,Sun Belt,8
Stephen F. Austin,Utah Tech,0,3,WAC,WAC,8
Stetson,Lipscomb,0,1,Atlantic Sun,Atlantic Sun,8
Tarleton State,Utah Valley,3,0,WAC,WAC,8
Texas State,Coastal Carolina,4,0,Sun Belt,Sun Belt,8
The Citadel,East Tennessee State,1,0,Southern,Southern,8
UAB,South Florida,1,0,AAC,AAC,8
UC San Diego,UC Santa Barbara,2,1,Big West,Big West,8
UCF,Texas,1,3,Big 12,Big 12,8
UMKC,St. Thomas (Minn.),1,2,Summit,Summit,8
UNC Wilmington,Stony Brook,1,0,CAA,CAA,8
UTRGV,Southern Utah,2,1,WAC,WAC,8
Utah,California,1,1,Pac-12,Pac-12,8
VMI,Mercer,0,2,Southern,Southern,8
Valparaiso,Illinois State,1,1,MVC,MVC,8
Vanderbilt,Texas A&M,6,0,SEC,SEC,8
Villanova,Butler,1,1,Big East,Big East,8
Virginia Tech,NC State,4,1,ACC,ACC,8
Wagner,St. Francis (Pa.),1,3,Northeast,Northeast,8
West Virginia,Oklahoma,0,4,Big 12,Big 12,8
Western Carolina,UT Chattanooga,2,0,Southern,Southern,8
Western Illinois,Southern Indiana,0,1,OVC,OVC,8
Wisconsin-Green Bay,Northern Kentucky,1,4,Horizon,Horizon,8
Wofford,UNC Greensboro,2,1,Southern,Southern,8
Wright State,IUPUI,0,0,Horizon,Horizon,8
Alabama A&M,Southern University,1,2,SWAC,SWAC,8
Alabama State,Jackson State,3,2,SWAC,SWAC,8
Alcorn State,Arkansas Pine Bluff,0,1,SWAC,SWAC,8
