Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
East Texas Baptist,Grambling State,1,0,American Southwest,SWAC,2,d1
Northern Iowa,Southern Utah,3,2,MVC,WAC,2,d1
Campbell,Radford,2,1,CAA,Big South,2,d1
Central Arkansas,Missouri State,3,0,Atlantic Sun,MVC,2,d1
UNC Greensboro,High Point,1,0,Southern,Big South,2,d1
Western Carolina,Winthrop,5,1,Southern,Big South,2,d1
UCLA,Cal Poly,1,2,Pac-12,Big West,2,d1
North Carolina,Wisconsin,0,0,ACC,Big Ten,2,d1
Stanford,San Francisco,0,4,Pac-12,WCC,2,d1
West Virginia,Penn State,1,2,Big 12,Big Ten,2,d1
Virginia,Michigan,0,0,ACC,Big Ten,2,d1
Duke,USC,1,3,ACC,Pac-12,2,d1
Lipscomb,Alabama,1,3,Atlantic Sun,SEC,2,d1
Arkansas,Oregon,4,0,SEC,Pac-12,2,d1
Notre Dame,Butler,1,4,ACC,Big East,2,d1
BYU,Long Beach State,2,0,Big 12,Big West,2,d1
Texas,LSU,1,3,Big 12,SEC,2,d1
Boston College,South Carolina,2,3,ACC,SEC,2,d1
Kent State,Pittsburgh,1,0,MAC,ACC,2,d1
Northern Colorado,Michigan State,0,7,Big Sky,Big Ten,2,d1
Saint Louis,Creighton,1,4,A10,Big East,2,d1
Washington,Santa Clara,1,5,Pac-12,WCC,2,d1
Georgetown,Bucknell,0,1,Big East,Patriot,2,d1
Northwestern,Oakland,7,0,Big Ten,Horizon,2,d1
Memphis,Ohio State,1,6,AAC,Big Ten,2,d1
Georgia,UCF,2,1,SEC,Big 12,2,d1
Akron,Robert Morris,0,3,MAC,Horizon,2,d1
Alabama State,UAB,4,1,SWAC,AAC,2,d1
Arizona,Grand Canyon,1,1,Pac-12,WAC,2,d1
Bellarmine,IUPUI,3,0,Atlantic Sun,Horizon,2,d1
Boston University,Rhode Island,0,0,Patriot,A10,2,d1
California Baptist,NJIT,3,1,WAC,Am East,2,d1
Canisius,Detroit Mercy,0,0,MAAC,Horizon,2,d1
Cincinnati,Bowling Green,0,1,Big 12,MAC,2,d1
Coastal Carolina,Charlotte,3,0,Sun Belt,AAC,2,d1
Colgate,Buffalo,1,0,Patriot,MAC,2,d1
Colorado,Colorado College,0,2,Pac-12,Mountain West,2,d1
Davidson,UNC Asheville,1,0,A10,Big South,2,d1
Dayton,Louisville,1,2,A10,ACC,2,d1
Delaware State,VMI,1,0,Northeast,Southern,2,d1
Drake,South Dakota State,1,2,MVC,Summit,2,d1
Drexel,UMBC,2,0,CAA,Am East,2,d1
Duquesne,Youngstown State,1,2,A10,Horizon,2,d1
East Carolina,George Mason,4,0,AAC,A10,2,d1
Eastern Kentucky,Belmont,1,1,Atlantic Sun,MVC,2,d1
Eastern Washington,Nebraska,6,0,Big Sky,Big Ten,2,d1
FGCU,Texas A&M-Corpus Christi,0,4,Atlantic Sun,Southland,2,d1
Fairleigh Dickinson,Vermont,1,0,Northeast,Am East,2,d1
Florida International,Jacksonville,4,0,C-USA,Atlantic Sun,2,d1
Fordham,Stonehill,0,2,A10,Northeast,2,d1
Fresno State,UC Santa Barbara,0,0,Mountain West,Big West,2,d1
Furman,North Greenville,0,4,Southern,Conference Carolinas,2,d1
Georgia Southern,North Florida,4,1,Sun Belt,Atlantic Sun,2,d1
Georgia State,Mercer,1,1,Sun Belt,Southern,2,d1
Gonzaga,Weber State,9,2,WCC,Big Sky,2,d1
Grambling State,Louisiana,0,3,SWAC,Sun Belt,2,d1
Hawaii,Sacramento State,3,1,Big West,Big Sky,2,d1
Howard,Hampton University,0,7,Northeast,CAA,2,d1
Incarnate Word,UTRGV,0,2,Southland,WAC,2,d1
Indiana,Morehead State,3,0,Big Ten,OVC,2,d1
Indiana State,Marshall,1,1,MVC,Sun Belt,2,d1
Iona University,Le Moyne,0,1,MAAC,Northeast,2,d1
Iowa,Iowa State,2,1,Big Ten,Big 12,2,d1
Kansas,Vanderbilt,1,1,Big 12,SEC,2,d1
Kansas State,UTSA,2,0,Big 12,AAC,2,d1
Kennesaw State,Troy,0,3,Atlantic Sun,Sun Belt,2,d1
La Salle,Delaware,1,2,A10,CAA,2,d1
Lehigh,Saint Joseph's,1,1,Patriot,A10,2,d1
Lindenwood,Chicago State,2,4,OVC,Indep.,2,d1
Longwood,Elon,0,0,Big South,CAA,2,d1
Louisiana Tech,Louisiana-Monroe,3,3,C-USA,Sun Belt,2,d1
Loyola (MD),Middle Tennessee,0,3,Patriot,C-USA,2,d1
