Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
Charleston Southern,Jacksonville,2,2,Big South,Atlantic Sun
Rutgers,Fairleigh Dickinson,7,0,Big Ten,Northeast
American,Longwood,0,0,Patriot,Big South
Central Baptist,Arkansas Pine Bluff,0,0,Midlands Collegiate,SWAC
Northern Iowa,Saint Ambrose,3,0,MVC,Midwest Collegiate
South Dakota,Morningside,7,0,Summit,Great Plains Athletic
Providence,Brown,1,0,Big East,Ivy
Marist,Cornell,0,2,MAAC,Ivy
Morehead State,Wright State,0,0,OVC,Horizon
Utah,Utah Valley,5,0,Pac-12,WAC
Winthrop,Southern Wesleyan,9,0,Big South,Conference Carolinas
BYU,UCLA,3,1,Big 12,Pac-12
Penn State,UCF,1,0,Big Ten,Big 12
North Carolina,Gardner-Webb,5,0,ACC,Big South
Alabama,Miami (FL),0,0,SEC,ACC
Virginia,West Virginia,2,1,ACC,Big 12
Arkansas,Wisconsin-Milwaukee,5,2,SEC,Horizon
South Carolina,Elon,2,0,SEC,CAA
Pittsburgh,Duquesne,6,1,ACC,A10
Saint Louis,Xavier,0,1,A10,Big East
TCU,UAB,0,0,Big 12,AAC
Santa Clara,Columbia,1,0,WCC,Ivy
USC,Purdue,4,0,Pac-12,Big Ten
Iowa State,Memphis,1,4,Big 12,AAC
Texas,UTRGV,5,0,Big 12,WAC
Northwestern,Boston University,3,0,Big Ten,Patriot
Michigan State,Eastern Michigan,6,0,Big Ten,MAC
Georgia,Minnesota,0,0,SEC,Big Ten
Air Force,Hawaii,3,1,Mountain West,Big West
Akron,Dayton,2,5,MAC,A10
Arizona,Kent State,5,0,Pac-12,MAC
Arizona State,Boise State,0,0,Pac-12,Mountain West
Auburn,Wake Forest,0,2,SEC,ACC
Baylor,Louisiana Tech,3,0,Big 12,C-USA
Binghamton,Le Moyne,3,0,Am East,Northeast
Bryant,Fairfield,1,0,Am East,MAAC
Bucknell,Villanova,1,1,Patriot,Big East
Butler,IUPUI,3,0,Big East,Horizon
Cal State Fullerton,Southern Utah,1,1,Big West,WAC
California,San Francisco,5,1,Pac-12,WCC
California Baptist,UTEP,6,0,WAC,C-USA
Canisius,Buffalo,0,0,MAAC,MAC
Central Connecticut,Holy Cross,1,1,Northeast,Patriot
Charlotte,UNC Greensboro,0,0,AAC,Southern
Cincinnati,Central Michigan,1,1,Big 12,MAC
Clemson,Furman,4,1,ACC,Southern
Coastal Carolina,North Dakota State,0,1,Sun Belt,Summit
College of Charleston,Mercer,1,2,CAA,Southern
