Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
UCLA,Georgia,2,0,Pac-12,SEC
Penn State,North Carolina,0,0,Big Ten,ACC
Texas A&M,Florida State,1,2,SEC,ACC
San Diego,Stanford,0,4,WCC,Pac-12
Virginia,Nevada,5,0,ACC,Mountain West
Notre Dame,Wisconsin-Milwaukee,2,2,ACC,Horizon
Duke,West Virginia,2,0,ACC,Big 12
Alabama,DePaul,2,0,SEC,Big East
Arkansas,Arkansas State,6,0,SEC,Sun Belt
Clemson,South Carolina,0,0,ACC,SEC
BYU,Saint Louis,3,2,Big 12,A10
Long Beach State,Texas,3,4,Big West,Big 12
TCU,SMU,1,0,Big 12,AAC
Buffalo,Pittsburgh,1,2,MAC,ACC
Marquette,Northwestern,0,4,Big East,Big Ten
Michigan State,Cincinnati,1,0,Big Ten,Big 12
Pepperdine,Georgetown,1,1,WCC,Big East
Santa Clara,San Jose State,2,1,WCC,Mountain West
Memphis,Southern University,6,0,AAC,SWAC
USC,Michigan,1,0,Pac-12,Big Ten
Albany,Hofstra,2,1,Am East,CAA
American,Maryland,0,0,Patriot,Big Ten
Arizona State,Wright State,4,0,Pac-12,Horizon
Auburn,Samford,0,0,SEC,Southern
Austin Peay,UT Martin,1,2,Atlantic Sun,OVC
Ball State,Mercyhurst,5,1,MAC,PSAC
Belmont,North Alabama,1,0,MVC,Atlantic Sun
Boston University,Vermont,1,0,Patriot,Am East
Bucknell,Saint Joseph's,4,0,Patriot,A10
Butler,Virginia Tech,0,3,Big East,ACC
CSUN,Portland,0,1,Big West,WCC
Cal State Fullerton,Boston College,0,0,Big West,ACC
Canisius,Colgate,0,4,MAAC,Patriot
Chicago State,Purdue Fort Wayne,1,0,Indep.,Horizon
Coastal Carolina,UNC Wilmington,1,0,Sun Belt,CAA
College of Charleston,USC Upstate,2,2,CAA,Big South
Colorado,Northern Colorado,3,0,Pac-12,Big Sky
Colorado College,Louisiana Tech,1,3,Mountain West,C-USA
Creighton,Nebraska,2,2,Big East,Big Ten
Dayton,Loyola (MD),4,1,A10,Patriot
Delaware,Syracuse,1,0,CAA,ACC
Denver,Colorado State,1,1,Summit,Mountain West
Detroit Mercy,Central Michigan,3,3,Horizon,MAC
Drexel,Fordham,3,0,CAA,A10
East Tennessee State,Kennesaw State,0,0,Southern,Atlantic Sun
Eastern Michigan,St. Bonaventure,2,2,MAC,A10
FGCU,Iowa,0,1,Atlantic Sun,Big Ten
Fairfield,Binghamton,2,0,MAAC,Am East
Florida,East Carolina,2,0,SEC,AAC
Florida Atlantic,Little Rock,2,2,AAC,OVC
Fresno State,Cal Poly,1,1,Mountain West,Big West
Gardner-Webb,Davidson,0,2,Big South,A10
George Mason,Old Dominion,0,3,A10,Sun Belt
George Washington,Delaware State,7,0,A10,Northeast
Georgia State,South Carolina State,12,0,Sun Belt,Indep.
Gonzaga,Houston Christian,3,0,WCC,Southland
Grand Canyon,Mississippi State,1,2,WAC,SEC
High Point,Campbell,2,2,Big South,CAA
Howard,Elon,3,3,Northeast,CAA
IUPUI,Southern Indiana,2,0,Horizon,OVC
Idaho,Seattle,3,1,Big Sky,WAC
Illinois,Loyola-Chicago,3,2,Big Ten,A10
Incarnate Word,Rice,2,0,Southland,AAC
Indiana,Illinois State,3,1,Big Ten,MVC
Iowa State,Arizona,2,1,Big 12,Pac-12
Jacksonville State,Alabama A&M,5,0,C-USA,SWAC
James Madison,Charlotte,3,2,Sun Belt,AAC
Kentucky,Eastern Kentucky,1,0,SEC,Atlantic Sun
LSU,South Florida,0,1,SEC,AAC
La Salle,Towson,1,2,A10,CAA
Lipscomb,Troy,0,1,Atlantic Sun,Sun Belt
Longwood,Richmond,0,1,Big South,A10
Louisville,Indiana State,0,0,ACC,MVC
Maine,Le Moyne,5,0,Am East,Northeast
Massachusetts,Stony Brook,2,1,A10,CAA
Mercer,Evansville,0,0,Southern,MVC
Merrimack,Massachusetts-Lowell,2,1,Northeast,Am East
Middle Tennessee,Louisiana,1,1,C-USA,Sun Belt
Minnesota,Niagara,5,1,Big Ten,MAAC
Mississippi,Southern Mississippi,2,0,SEC,Sun Belt
Missouri,Southeast Missouri State,4,0,SEC,OVC
Morehead State,Marshall,0,3,OVC,Sun Belt
NC State,Utah,1,1,ACC,Pac-12
NJIT,Mount St. Mary's,0,0,Am East,MAAC
Navy,Charleston Southern,2,1,Patriot,Big South
New Hampshire,Stonehill,1,0,Am East,Northeast
New Mexico,Texas Tech,1,1,Mountain West,Big 12
Nicholls,South Alabama,0,5,Southland,Sun Belt
North Dakota,Montana,0,1,Summit,Big Sky
North Dakota State,Boise State,1,1,Summit,Mountain West
North Florida,Air Force,3,0,Atlantic Sun,Mountain West
Northern Kentucky,Western Michigan,0,1,Horizon,MAC
Oakland,Kent State,1,2,Horizon,MAC
Ohio State,Miami (OH),3,0,Big Ten,MAC
Ohio University,Duquesne,3,0,MAC,A10
Oklahoma,Tulsa,6,0,Big 12,AAC
Oklahoma State,Stephen F. Austin,4,0,Big 12,WAC
Omaha,Southern Utah,4,0,Summit,WAC
Pacific,UC San Diego,4,4,WCC,Big West
Portland State,New Mexico State,1,2,Big Sky,C-USA
Presbyterian,Furman,0,1,Big South,Southern
Providence,Iona University,2,0,Big East,MAAC
Purdue,UCF,0,1,Big Ten,Big 12
Queens (N.C.),Wofford,1,0,Atlantic Sun,Southern
Radford,Emory and Henry,4,0,Big South,Old Dominion Athletic
Rhode Island,Bryant,0,1,A10,Am East
Rider,Wagner,1,0,MAAC,Northeast
Rutgers,Holy Cross,2,0,Big Ten,Patriot
SIUE,Missouri State,0,2,OVC,MVC
Sacramento State,CSU Bakersfield,1,1,Big Sky,Big West
Saint Peter's,LIU,0,3,MAAC,Northeast
San Diego State,Sacred Heart,2,0,Mountain West,Northeast
San Francisco,Oregon State,0,1,WCC,Pac-12
Seton Hall,Lafayette,1,4,Big East,Patriot
Siena College,Central Connecticut,0,3,MAAC,Northeast
South Dakota,Utah Tech,1,3,Summit,WAC
Southern Illinois,Jackson State,2,1,MVC,SWAC
St. Francis (Pa.),Youngstown State,1,3,Northeast,Horizon
St. John's,Fairleigh Dickinson,3,0,Big East,Northeast
St. Thomas (Minn.),Northern Iowa,0,1,Summit,MVC
Stetson,Miami (FL),0,3,Atlantic Sun,ACC
Tarleton State,Louisiana-Monroe,1,1,WAC,Sun Belt
Temple,William & Mary,0,4,AAC,CAA
Tennessee,California,4,1,SEC,Pac-12
Texas A&M-Commerce,Oral Roberts,2,2,Southland,Summit
Texas A&M-Corpus Christi,Texas Southern,2,0,Southland,SWAC
Texas State,McNeese State,3,1,Sun Belt,Southland
Tougaloo College,Arkansas Pine Bluff,0,16,Gulf Coast Athletic,SWAC
UAB,Georgia Southern,0,2,AAC,Sun Belt
UC Davis,Idaho State,5,0,Big West,Big Sky
UC Irvine,St. Mary's (CA),2,1,Big West,WCC
UC Riverside,California Baptist,1,4,Big West,WAC
UC Santa Barbara,Loyola Marymount,2,0,Big West,WCC
UIC,Toledo,2,2,MVC,MAC
UMBC,Kutztown,2,0,Am East,PSAC
UMKC,Lindenwood,2,1,Summit,OVC
UNC Asheville,Western Carolina,0,1,Big South,Southern
UNC Greensboro,Army,2,0,Southern,Patriot
UNLV,North Texas,0,3,Mountain West,AAC
UTEP,Northern Arizona,2,3,C-USA,Big Sky
UTSA,Central Arkansas,5,1,AAC,Atlantic Sun
Utah State,Weber State,5,1,Mountain West,Big Sky
VMI,Robert Morris,0,3,Southern,Horizon
Valparaiso,Eastern Illinois,2,1,MVC,OVC
Vanderbilt,UT Chattanooga,3,1,SEC,Southern
Villanova,Marist,3,0,Big East,MAAC
Wake Forest,Appalachian State,1,0,ACC,Sun Belt
Washington,Houston,0,0,Pac-12,Big 12
Washington State,Eastern Washington,3,1,Pac-12,Big Sky
Western Illinois,Northern Illinois,0,3,OVC,MAC
Western Kentucky,Tennessee Tech,1,1,C-USA,OVC
Wisconsin,Kansas,0,0,Big Ten,Big 12
Wisconsin-Green Bay,Kansas State,1,4,Horizon,Big 12
Wyoming,Colorado Mines,1,1,Mountain West,Rocky Mountain
Xavier,Northeastern,2,0,Big East,CAA
Alcorn State,Florida International,0,6,SWAC,C-USA
Cleveland State,Akron,1,3,Horizon,MAC
Hampton University,Robert Morris,0,1,CAA,Horizon
Hawaii,Utah Valley,1,1,Big West,WAC
Jacksonville,Alabama State,4,1,Atlantic Sun,SWAC
Lamar,Abilene Christian,0,1,Southland,WAC
Monmouth,Lehigh,0,1,CAA,Patriot
Murray State,Grambling State,0,2,MVC,SWAC
Sam Houston State,Prairie View A&M,4,2,C-USA,SWAC
The Citadel,Mississippi Valley,2,1,Southern,SWAC
UTRGV,Southeastern Louisiana,0,2,WAC,Southland
VCU,Liberty,1,2,A10,C-USA
Wisconsin-Parkside,Drake,0,4,Great Lakes Valley,MVC
UC Irvine,Stanford,1,2,Big West,Pac-12
BYU,Cal State Fullerton,4,1,Big 12,Big West
Delaware State,Charleston Southern,0,3,Northeast,Big South
Northern Iowa,Viterbo,9,0,MVC,Midwest Collegiate
South Dakota,Southern Utah,0,0,Summit,WAC
South Dakota State,Augustana,6,0,Summit,Northern Sun
St. Thomas (Minn.),Niagara,7,0,Summit,MAAC
Western Kentucky,Union (Ky.),5,0,C-USA,Appalachian Athletic
North Carolina,California,3,1,ACC,Pac-12
TCU,Florida State,0,2,Big 12,ACC
Penn State,West Chester,8,0,Big Ten,PSAC
Virginia,Radford,8,0,ACC,Big South
Notre Dame,Ball State,3,0,ACC,MAC
UAB,Alabama,0,1,AAC,SEC
South Carolina,Jacksonville,6,0,SEC,Atlantic Sun
Texas,Rice,6,0,Big 12,AAC
Pittsburgh,Drexel,4,1,ACC,CAA
Northwestern,Kansas State,0,0,Big Ten,Big 12
Utah State,Saint Louis,0,2,Mountain West,A10
Michigan State,Bowling Green,3,1,Big Ten,MAC
Loyola Marymount,Georgetown,0,1,WCC,Big East
Santa Clara,Oregon State,4,0,WCC,Pac-12
Memphis,Mississippi,1,0,AAC,SEC
Albany,La Salle,0,1,Am East,A10
Alcorn State,South Alabama,0,8,SWAC,Sun Belt
Appalachian State,George Mason,3,0,Sun Belt,A10
Arizona State,Mississippi State,0,0,Pac-12,SEC
Arkansas State,Southern University,4,1,Sun Belt,SWAC
Auburn,Troy,5,0,SEC,Sun Belt
Austin Peay,Lindenwood,2,0,Atlantic Sun,OVC
Bellarmine,Northern Kentucky,3,3,Atlantic Sun,Horizon
Binghamton,Canisius,0,0,Am East,MAAC
Bucknell,George Washington,3,1,Patriot,A10
Butler,Illinois State,3,0,Big East,MVC
CSU Bakersfield,Fresno State,1,2,Big West,Mountain West
Charlotte,NC State,1,2,AAC,ACC
Chicago State,Western Illinois,0,1,Indep.,OVC
Clemson,Gardner-Webb,9,0,ACC,Big South
College of Charleston,Utah,0,2,CAA,Pac-12
Colorado,Marquette,0,1,Pac-12,Big East
Colorado College,Denver,2,2,Mountain West,Summit
Colorado State,Louisiana Tech,3,0,Mountain West,C-USA
Connecticut,Boston University,2,0,Big East,Patriot
Creighton,Missouri,1,3,Big East,SEC
Dayton,Cincinnati,4,1,A10,Big 12
Detroit Mercy,Morehead State,2,5,Horizon,OVC
Duquesne,American,5,0,A10,Patriot
East Tennessee State,Davidson,2,0,Southern,A10
Eastern Illinois,Illinois-Springfield,3,1,OVC,Great Lakes Valley
Eastern Kentucky,Western Michigan,1,2,Atlantic Sun,MAC
Elon,Wofford,3,0,CAA,Southern
Fairfield,Massachusetts-Lowell,1,1,MAAC,Am East
Fairleigh Dickinson,Monmouth,0,4,Northeast,CAA
Faulkner,Alabama State,1,1,Southern States,SWAC
Florida,Maryland,1,0,SEC,Big Ten
Fordham,Wagner,4,0,A10,Northeast
Furman,Georgia Southern,2,1,Southern,Sun Belt
Georgia State,Murray State,3,0,Sun Belt,MVC
Grand Canyon,Wright State,4,0,WAC,Horizon
Hampton University,USC Upstate,0,3,CAA,Big South
Hawaii,Gonzaga,5,7,Big West,WCC
Holy Cross,Northeastern,1,3,Patriot,CAA
Houston,Southeastern Louisiana,5,2,Big 12,Southland
IUPUI,Southern Illinois,2,0,Horizon,MVC
Idaho,Washington,1,3,Big Sky,Pac-12
Incarnate Word,Prairie View A&M,7,0,Southland,SWAC
Indiana,Virginia Tech,0,0,Big Ten,ACC
Iowa,UMKC,2,0,Big Ten,Summit
Jacksonville State,South Carolina State,13,0,C-USA,Indep.
James Madison,UNC Greensboro,3,0,Sun Belt,Southern
Kennesaw State,Presbyterian,1,0,Atlantic Sun,Big South
Kent State,Colgate,1,1,MAC,Patriot
LSU,Southern Mississippi,4,1,SEC,Sun Belt
Lafayette,Mount St. Mary's,1,0,Patriot,MAAC
Liberty,Delaware,1,0,C-USA,CAA
Lipscomb,Tennessee,0,3,Atlantic Sun,SEC
Long Beach State,Boston College,4,2,Big West,ACC
Louisiana,South Florida,2,0,Sun Belt,AAC
Loyola (MD),Temple,1,0,Patriot,AAC
Loyola-Chicago,Kansas,1,4,A10,Big 12
Maine,Rhode Island,1,0,Am East,A10
Marshall,High Point,1,0,Sun Belt,Big South
Mercer,Mississippi Valley,4,0,Southern,SWAC
Miami (FL),Florida Atlantic,1,1,ACC,AAC
Miami (OH),Indiana State,0,0,MAC,MVC
Middle Tennessee,Belmont,3,1,C-USA,MVC
Minnesota,New Hampshire,4,0,Big Ten,Am East
Missouri State,Oklahoma State,2,1,MVC,Big 12
NJIT,Saint Peter's,7,0,Am East,MAAC
Navy,St. John's,0,0,Patriot,Big East
Nebraska,Baylor,2,1,Big Ten,Big 12
New Mexico,Northern Arizona,0,0,Mountain West,Big Sky
Nicholls,Florida International,0,7,Southland,C-USA
North American University,Arkansas Pine Bluff,2,4,Red River,SWAC
North Dakota,Boise State,2,3,Summit,Mountain West
