Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
Charleston Southern,Jacksonville,2,2,Big South,Atlantic Sun
Rutgers,Fairleigh Dickinson,0,7,Big Ten,Northeast
American,Longwood,0,0,Patriot,Big South
Central Baptist,Arkansas Pine Bluff,0,0,Midlands Collegiate,SWAC
Northern Iowa,Saint Ambrose,0,3,MVC,Midwest Collegiate
South Dakota,Morningside,0,7,Summit,Great Plains Athletic
Providence,Brown,0,1,Big East,Ivy
Marist,Cornell,2,0,MAAC,Ivy
Morehead State,Wright State,0,0,OVC,Horizon
Utah,Utah Valley,0,5,Pac-12,WAC
Winthrop,Southern Wesleyan,0,9,Big South,Conference Carolinas
BYU,UCLA,1,3,Big 12,Pac-12
Penn State,UCF,1,0,Big Ten,Big 12
North Carolina,Gardner-Webb,0,5,ACC,Big South
Alabama,Miami (FL),0,0,SEC,ACC
Virginia,West Virginia,1,2,ACC,Big 12
Arkansas,Wisconsin-Milwaukee,5,2,SEC,Horizon
South Carolina,Elon,0,2,SEC,CAA
Pittsburgh,Duquesne,6,1,ACC,A10
Saint Louis,Xavier,0,1,A10,Big East
TCU,UAB,0,0,Big 12,AAC
Santa Clara,Columbia,1,0,WCC,Ivy
USC,Purdue,4,0,Pac-12,Big Ten
Iowa State,Memphis,4,1,Big 12,AAC
Texas,UTRGV,0,5,Big 12,WAC
Northwestern,Boston University,3,0,Big Ten,Patriot
Michigan State,Eastern Michigan,6,0,Big Ten,MAC
Georgia,Minnesota,0,0,SEC,Big Ten
Air Force,Hawaii,1,3,Mountain West,Big West
Akron,Dayton,5,2,MAC,A10
Arizona,Kent State,5,0,Pac-12,MAC
Arizona State,Boise State,0,0,Pac-12,Mountain West
Auburn,Wake Forest,2,0,SEC,ACC
Baylor,Louisiana Tech,0,3,Big 12,C-USA
Binghamton,Le Moyne,0,3,Am East,Northeast
Bryant,Fairfield,1,0,Am East,MAAC
Bucknell,Villanova,1,1,Patriot,Big East
Butler,IUPUI,0,3,Big East,Horizon
Cal State Fullerton,Southern Utah,1,1,Big West,WAC
California,San Francisco,1,5,Pac-12,WCC
California Baptist,UTEP,6,0,WAC,C-USA
Canisius,Buffalo,0,0,MAAC,MAC
Central Connecticut,Holy Cross,1,1,Northeast,Patriot
Charlotte,UNC Greensboro,0,0,AAC,Southern
Cincinnati,Central Michigan,1,1,Big 12,MAC
Clemson,Furman,1,4,ACC,Southern
Coastal Carolina,North Dakota State,0,1,Sun Belt,Summit
College of Charleston,Mercer,2,1,CAA,Southern
Colorado,NC State,2,1,Pac-12,ACC
Colorado State,UMKC,1,0,Mountain West,Summit
Connecticut,Army,0,0,Big East,Patriot
Dartmouth,Colgate,0,1,Ivy,Patriot
Davidson,Charleston Southern,2,0,A10,Big South
DePaul,Eastern Kentucky,1,2,Big East,Atlantic Sun
Delaware,St. Francis (Pa.),1,4,CAA,Northeast
Delaware State,Saint Peter's,3,1,Northeast,MAAC
Denver,Northern Colorado,3,1,Summit,Big Sky
Detroit Mercy,Bowling Green,1,2,Horizon,MAC
East Carolina,UNC Wilmington,2,0,AAC,CAA
Eastern Washington,University of Providence,1,16,Big Sky,Frontier
Evansville,Bellarmine,0,2,MVC,Atlantic Sun
Fairleigh Dickinson,Hofstra,2,1,Northeast,CAA
Florida Atlantic,Louisiana,1,2,AAC,Sun Belt
Florida International,Stetson,4,0,C-USA,Atlantic Sun
Fordham,Stony Brook,2,2,A10,CAA
George Washington,Youngstown State,1,1,A10,Horizon
Gonzaga,Oklahoma,3,0,WCC,Big 12
Grand Canyon,UTSA,2,0,WAC,AAC
High Point,FGCU,1,1,Big South,Atlantic Sun
Houston Christian,Sam Houston State,2,1,Southland,C-USA
Idaho,Nevada,1,1,Big Sky,Mountain West
Illinois State,North Dakota,0,3,MVC,Summit
Iona University,Wagner,0,1,MAAC,Northeast
Kansas,Arkansas State,0,3,Big 12,Sun Belt
Kentucky,UT Martin,4,0,SEC,OVC
LIU,NJIT,0,3,Northeast,Am East
La Salle,Seton Hall,1,3,A10,Big East
Lafayette,Saint Joseph's,2,1,Patriot,A10
Lindenwood,Murray State,1,0,OVC,MVC
Little Rock,Central Arkansas,0,0,OVC,Atlantic Sun
Longwood,Liberty,2,1,Big South,C-USA
Louisiana-Monroe,Texas A&M-Commerce,1,3,Sun Belt,Southland
Louisville,Illinois,2,1,ACC,Big Ten
Loyola (MD),Manhattan,0,3,Patriot,MAAC
Loyola Marymount,CSU Bakersfield,0,3,WCC,Big West
Loyola-Chicago,Western Illinois,0,1,A10,OVC
Marshall,Ohio University,0,1,Sun Belt,MAC
Massachusetts,Syracuse,0,2,A10,ACC
Merrimack,Maine,1,1,Northeast,Am East
Miami (OH),Southern Indiana,0,1,MAC,OVC
Michigan,Boston College,1,0,Big Ten,ACC
Middle Tennessee,Lipscomb,4,2,C-USA,Atlantic Sun
Mississippi,Samford,0,0,SEC,Southern
Mississippi State,Iowa,0,1,SEC,Big Ten
Missouri State,Oral Roberts,2,2,MVC,Summit
Montana,Utah Tech,0,4,Big Sky,WAC
Nebraska,Missouri,5,0,Big Ten,SEC
New Mexico State,Incarnate Word,0,0,C-USA,Southland
Northern Arizona,Oregon,2,3,Big Sky,Pac-12
Ohio State,Oakland,6,0,Big Ten,Horizon
Omaha,UC Santa Barbara,1,0,Summit,Big West
Oregon State,Pacific,3,1,Pac-12,WCC
Portland,UC Davis,0,1,WCC,Big West
Presbyterian,Navy,1,3,Big South,Patriot
Princeton,Rutgers,0,0,Ivy,Big Ten
Purdue Fort Wayne,Eastern Illinois,0,0,Horizon,OVC
Rhode Island,UC San Diego,0,0,A10,Big West
Rice,Houston,1,2,AAC,Big 12
Richmond,Radford,0,0,A10,Big South
Rider,Albany,3,0,MAAC,Am East
Robert Morris,Indiana State,2,1,Horizon,MVC
SIUE,Southern Illinois,1,1,OVC,MVC
Sacramento State,UC Riverside,0,1,Big Sky,Big West
San Diego,New Mexico,1,0,WCC,Mountain West
San Jose State,UC Irvine,3,3,Mountain West,Big West
Seattle,CSUN,3,0,WAC,Big West
Siena College,New Hampshire,6,0,MAAC,Am East
Southern Mississippi,Northwestern State,0,3,Sun Belt,Southland
St. Bonaventure,Niagara,1,2,A10,MAAC
St. John's,Penn,0,1,Big East,Ivy
St. Mary's (CA),James Madison,1,1,WCC,Sun Belt
Stephen F. Austin,SMU,3,1,WAC,AAC
Stonehill,Massachusetts-Lowell,1,1,Northeast,Am East
Temple,Lehigh,0,1,AAC,Patriot
Tennessee,Indiana,2,2,SEC,Big Ten
Tennessee Tech,East Tennessee State,1,1,OVC,Southern
Texas A&M,Tulsa,2,0,SEC,AAC
Texas State,Oklahoma State,3,0,Sun Belt,Big 12
Texas Tech,North Texas,1,6,Big 12,AAC
Towson,UMBC,8,1,CAA,Am East
Troy,Alabama A&M,2,0,Sun Belt,SWAC
UIC,Marquette,3,0,MVC,Big East
UNC Asheville,Wofford,0,1,Big South,Southern
UT Chattanooga,Austin Peay,4,1,Southern,Atlantic Sun
VCU,Maryland,0,0,A10,Big Ten
Valparaiso,Chicago State,1,5,MVC,Indep.
Vanderbilt,Kansas State,0,1,SEC,Big 12
Vermont,Sacred Heart,1,2,Am East,Northeast
Virginia Tech,Old Dominion,0,0,ACC,Sun Belt
Washington,Yale,2,1,Pac-12,Ivy
Washington State,San Diego State,2,1,Pac-12,Mountain West
Weber State,UNLV,0,2,Big Sky,Mountain West
Western Carolina,Georgia State,2,2,Southern,Sun Belt
William & Mary,George Mason,4,0,CAA,A10
Wisconsin,LSU,3,0,Big Ten,SEC
Long Beach State,Harvard,3,2,Big West,Ivy
Abilene Christian,Texas-Permian Basin,5,0,WAC,Heartland
Belmont,Cleveland State,2,1,MVC,Horizon
Fresno State,Pepperdine,2,0,Mountain West,WCC
Idaho State,South Dakota,2,3,Big Sky,Summit
Jacksonville State,Alcorn State,0,4,C-USA,SWAC
Lamar,South Alabama,0,3,Southland,Sun Belt
McNeese State,Texas Southern,0,3,Southland,SWAC
Mount St. Mary's,Hampton University,1,2,MAAC,CAA
Nicholls,Jackson State,1,4,Southland,SWAC
Prairie View A&M,Texas A&M-Corpus Christi,0,6,SWAC,Southland
Quinnipiac,Drexel,2,1,MAAC,CAA
Southern University,Southeastern Louisiana,1,0,SWAC,Southland
Talladega College,Alabama State,4,0,Gulf Coast Athletic,SWAC
Tarleton State,Grambling State,2,2,WAC,SWAC
Utah State,South Dakota State,2,1,Mountain West,Summit
Western Kentucky,North Alabama,0,0,C-USA,Atlantic Sun
Stanford,Duke,4,0,Pac-12,ACC
Utah Valley,BYU,6,1,WAC,Big 12
Saint Louis,SIUE,1,5,A10,OVC
Lyon College,Arkansas Pine Bluff,10,0,American Midwest,SWAC
Princeton,Army,3,4,Ivy,Patriot
Winthrop,South Carolina State,2,7,Big South,Indep.
