Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
East Texas Baptist,Grambling State,1,0,American Southwest,SWAC
Northern Iowa,Southern Utah,3,2,MVC,WAC
Campbell,Radford,2,1,CAA,Big South
Central Arkansas,Missouri State,3,0,Atlantic Sun,MVC
UNC Greensboro,High Point,1,0,Southern,Big South
Western Carolina,Winthrop,5,1,Southern,Big South
UCLA,Cal Poly,1,2,Pac-12,Big West
North Carolina,Wisconsin,0,0,ACC,Big Ten
Stanford,San Francisco,0,4,Pac-12,WCC
West Virginia,Penn State,1,2,Big 12,Big Ten
Virginia,Michigan,0,0,ACC,Big Ten
Duke,USC,1,3,ACC,Pac-12
Lipscomb,Alabama,1,3,Atlantic Sun,SEC
Arkansas,Oregon,4,0,SEC,Pac-12
Notre Dame,Butler,1,4,ACC,Big East
BYU,Long Beach State,2,0,Big 12,Big West
Texas,LSU,1,3,Big 12,SEC
Boston College,South Carolina,2,3,ACC,SEC
Kent State,Pittsburgh,1,0,MAC,ACC
Northern Colorado,Michigan State,0,7,Big Sky,Big Ten
Saint Louis,Creighton,1,4,A10,Big East
Washington,Santa Clara,1,5,Pac-12,WCC
Georgetown,Bucknell,0,1,Big East,Patriot
Northwestern,Oakland,7,0,Big Ten,Horizon
Memphis,Ohio State,1,6,AAC,Big Ten
Georgia,UCF,2,1,SEC,Big 12
Akron,Robert Morris,0,3,MAC,Horizon
Alabama State,UAB,4,1,SWAC,AAC
Arizona,Grand Canyon,1,1,Pac-12,WAC
Bellarmine,IUPUI,3,0,Atlantic Sun,Horizon
Boston University,Rhode Island,0,0,Patriot,A10
California Baptist,NJIT,3,1,WAC,Am East
Canisius,Detroit Mercy,0,0,MAAC,Horizon
Cincinnati,Bowling Green,0,1,Big 12,MAC
Coastal Carolina,Charlotte,3,0,Sun Belt,AAC
Colgate,Buffalo,1,0,Patriot,MAC
Colorado,Colorado College,0,2,Pac-12,Mountain West
Davidson,UNC Asheville,1,0,A10,Big South
Dayton,Louisville,1,2,A10,ACC
Delaware State,VMI,1,0,Northeast,Southern
Drake,South Dakota State,1,2,MVC,Summit
Drexel,UMBC,2,0,CAA,Am East
Duquesne,Youngstown State,1,2,A10,Horizon
East Carolina,George Mason,4,0,AAC,A10
Eastern Kentucky,Belmont,1,1,Atlantic Sun,MVC
Eastern Washington,Nebraska,6,0,Big Sky,Big Ten
FGCU,Texas A&M-Corpus Christi,0,4,Atlantic Sun,Southland
Fairleigh Dickinson,Vermont,1,0,Northeast,Am East
Florida International,Jacksonville,4,0,C-USA,Atlantic Sun
Fordham,Stonehill,0,2,A10,Northeast
Fresno State,UC Santa Barbara,0,0,Mountain West,Big West
Furman,North Greenville,0,4,Southern,Conference Carolinas
Georgia Southern,North Florida,4,1,Sun Belt,Atlantic Sun
Georgia State,Mercer,1,1,Sun Belt,Southern
Gonzaga,Weber State,9,2,WCC,Big Sky
Grambling State,Louisiana,0,3,SWAC,Sun Belt
Hawaii,Sacramento State,3,1,Big West,Big Sky
Howard,Hampton University,0,7,Northeast,CAA
Incarnate Word,UTRGV,0,2,Southland,WAC
Indiana,Morehead State,3,0,Big Ten,OVC
Indiana State,Marshall,1,1,MVC,Sun Belt
Iona University,Le Moyne,0,1,MAAC,Northeast
Iowa,Iowa State,2,1,Big Ten,Big 12
Kansas,Vanderbilt,1,1,Big 12,SEC
Kansas State,UTSA,2,0,Big 12,AAC
Kennesaw State,Troy,0,3,Atlantic Sun,Sun Belt
La Salle,Delaware,1,2,A10,CAA
Lehigh,Saint Joseph's,1,1,Patriot,A10
Lindenwood,Chicago State,2,4,OVC,Indep.
Longwood,Elon,0,0,Big South,CAA
Louisiana Tech,Louisiana-Monroe,3,3,C-USA,Sun Belt
Loyola (MD),Middle Tennessee,0,3,Patriot,C-USA
Loyola Marymount,CSUN,0,1,WCC,Big West
Maine,Holy Cross,1,1,Am East,Patriot
Marquette,Denver,0,0,Big East,Summit
Massachusetts-Lowell,Massachusetts,2,2,Am East,A10
Miami (FL),Florida,0,0,ACC,SEC
Mississippi State,Northwestern State,0,3,SEC,Southland
Missouri,Omaha,2,2,SEC,Summit
Montana,Montana State-Billings,0,4,Big Sky,Great Northwest
Mount St. Mary's,Towson,3,0,MAAC,CAA
Murray State,Kentucky,1,2,MVC,SEC
NC State,Rutgers,1,1,ACC,Big Ten
Navy,Maryland,3,3,Patriot,Big Ten
New Hampshire,Manhattan,0,2,Am East,MAAC
New Mexico,Cal State Fullerton,1,2,Mountain West,Big West
New Mexico State,Arizona State,4,1,C-USA,Pac-12
Niagara,St. Francis (Pa.),0,1,MAAC,Northeast
North Alabama,UT Chattanooga,1,0,Atlantic Sun,Southern
North Dakota,Minnesota State- Moorhead,0,2,Summit,Northern Sun
Northeastern,San Jose State,0,1,CAA,Mountain West
Northern Illinois,Eastern Illinois,0,3,MAC,OVC
Northern Kentucky,Miami (OH),1,0,Horizon,MAC
Ohio University,Cleveland State,1,0,MAC,Horizon
