Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
South Dakota,St. Thomas (Minn.),3,1,Summit,Summit,6,d1
South Florida,Charlotte,0,0,AAC,AAC,6,d1
St. Francis (Pa.),Delaware State,5,0,Northeast,Northeast,6,d1
Stephen F. Austin,Tarleton State,1,1,WAC,WAC,6,d1
Tennessee,Florida,2,0,SEC,SEC,6,d1
Toledo,Bowling Green,0,2,MAC,MAC,6,d1
Troy,Southern Mississippi,1,2,Sun Belt,Sun Belt,6,d1
UAB,East Carolina,1,1,AAC,AAC,6,d1
UC Irvine,UC Santa Barbara,2,2,Big West,Big West,6,d1
UIC,Northern Iowa,0,1,MVC,MVC,6,d1
UMBC,Iona University,2,0,Am East,MAAC,6,d1
UNC Greensboro,The Citadel,2,1,Southern,Southern,6,d1
UT Chattanooga,Mercer,3,2,Southern,Southern,6,d1
UTEP,New Mexico State,0,2,C-USA,C-USA,6,d1
UTRGV,Abilene Christian,1,0,WAC,WAC,6,d1
VMI,Wofford,0,2,Southern,Southern,6,d1
Vanderbilt,Mississippi,2,0,SEC,SEC,6,d1
Wagner,Merrimack,0,1,Northeast,Northeast,6,d1
Wake Forest,NC State,1,1,ACC,ACC,6,d1
West Virginia,Iowa State,1,0,Big 12,Big 12,6,d1
Western Illinois,Southeast Missouri State,0,0,OVC,OVC,6,d1
Western Michigan,Northern Illinois,3,0,MAC,MAC,6,d1
William & Mary,Campbell,2,2,CAA,CAA,6,d1
Wisconsin,Iowa,1,0,Big Ten,Big Ten,6,d1
Wisconsin-Milwaukee,Robert Morris,3,0,Horizon,Horizon,6,d1
Wright State,Youngstown State,3,2,Horizon,Horizon,6,d1
Wyoming,UNLV,1,2,Mountain West,Mountain West,6,d1
Colorado,UCLA,1,3,Pac-12,Pac-12,6,d1
Washington State,Stanford,0,1,Pac-12,Pac-12,6,d1
Utah,USC,0,2,Pac-12,Pac-12,6,d1
Princeton,Cornell,4,2,Ivy,Ivy,6,d1
Arizona,Oregon,3,0,Pac-12,Pac-12,6,d1
Arizona State,Oregon State,2,0,Pac-12,Pac-12,6,d1
Jackson State,Alcorn State,2,1,SWAC,SWAC,6,d1
Lamar,Houston Christian,4,1,Southland,Southland,6,d1
McNeese State,Texas A&M-Corpus Christi,1,1,Southland,Southland,6,d1
Northwestern State,Incarnate Word,1,0,Southland,Southland,6,d1
Portland State,Northern Colorado,2,1,Big Sky,Big Sky,6,d1
Prairie View A&M,Arkansas Pine Bluff,3,2,SWAC,SWAC,6,d1
Sacramento State,Northern Arizona,1,0,Big Sky,Big Sky,6,d1
Southern University,Mississippi Valley,1,0,SWAC,SWAC,6,d1
Texas Southern,Grambling State,0,3,SWAC,SWAC,6,d1
Utah Tech,Southern Utah,1,1,WAC,WAC,6,d1
Washington,California,0,1,Pac-12,Pac-12,6,d1
Army,Bucknell,3,1,Patriot,Patriot,6,d1
Colgate,Navy,2,0,Patriot,Patriot,6,d1
Columbia,Penn,1,0,Ivy,Ivy,6,d1
Denver,Oral Roberts,1,0,Summit,Summit,6,d1
Fairfield,Rider,2,1,MAAC,MAAC,6,d1
Harvard,Brown,0,2,Ivy,Ivy,6,d1
High Point,Winthrop,3,2,Big South,Big South,6,d1
Loyola (MD),Lafayette,2,1,Patriot,Patriot,6,d1
Loyola Marymount,San Diego,2,1,WCC,WCC,6,d1
Manhattan,Mount St. Mary's,1,0,MAAC,MAAC,6,d1
Niagara,Marist,0,0,MAAC,MAAC,6,d1
Portland,Cal Poly,2,0,WCC,Big West,6,d1
Quinnipiac,Canisius,2,0,MAAC,MAAC,6,d1
Radford,Presbyterian,3,1,Big South,Big South,6,d1
USC Upstate,UNC Asheville,2,1,Big South,Big South,6,d1
Yale,Dartmouth,0,1,Ivy,Ivy,6,d1
North Carolina,Florida State,3,3,ACC,ACC,6,d1
Penn State,Nebraska,1,0,Big Ten,Big Ten,6,d1
Duke,NC State,0,0,ACC,ACC,6,d1
South Carolina,Tennessee,1,1,SEC,SEC,6,d1
Alabama,Vanderbilt,1,0,SEC,SEC,6,d1
Pittsburgh,Notre Dame,1,1,ACC,ACC,6,d1
Texas A&M,Arkansas,0,1,SEC,SEC,6,d1
Saint Louis,Dayton,1,1,A10,A10,6,d1
Wake Forest,Virginia,2,0,ACC,ACC,6,d1
Boston College,Clemson,0,2,ACC,ACC,6,d1
Santa Clara,Pacific,6,0,WCC,WCC,6,d1
Creighton,Georgetown,0,1,Big East,Big East,6,d1
Illinois,Michigan,2,1,Big Ten,Big Ten,6,d1
DePaul,Xavier,0,3,Big East,Big East,6,d1
Missouri,Georgia,1,2,SEC,SEC,6,d1
Air Force,Boise State,1,1,Mountain West,Mountain West,6,d1
Alabama A&M,Chicago State,2,3,SWAC,Indep.,6,d1
Albany,Maine,0,3,Am East,Am East,6,d1
American,Holy Cross,0,0,Patriot,Patriot,6,d1
Appalachian State,James Madison,1,1,Sun Belt,Sun Belt,6,d1
Baylor,Texas Tech,0,2,Big 12,Big 12,6,d1
Binghamton,UMBC,3,1,Am East,Am East,6,d1
Bowling Green,Western Michigan,0,0,MAC,MAC,6,d1
Bryant,New Hampshire,0,2,Am East,Am East,6,d1
Buffalo,Ohio University,0,1,MAC,MAC,6,d1
CSU Bakersfield,UC Davis,2,2,Big West,Big West,6,d1
Cal State Fullerton,CSUN,1,1,Big West,Big West,6,d1
California Baptist,Seattle,1,0,WAC,WAC,6,d1
Central Arkansas,Stetson,0,0,Atlantic Sun,Atlantic Sun,6,d1
Cincinnati,Iowa State,1,0,Big 12,Big 12,6,d1
Cleveland State,Oakland,0,1,Horizon,Horizon,6,d1
College of Charleston,Campbell,1,0,CAA,CAA,6,d1
Colorado College,Utah State,1,2,Mountain West,Mountain West,6,d1
Colorado State,UNLV,1,1,Mountain West,Mountain West,6,d1
Connecticut,St. John's,2,1,Big East,Big East,6,d1
Davidson,Massachusetts,0,5,A10,A10,6,d1
Detroit Mercy,Wisconsin-Green Bay,1,0,Horizon,Horizon,6,d1
East Tennessee State,VMI,2,0,Southern,Southern,6,d1
Eastern Michigan,Ball State,1,1,MAC,MAC,6,d1
Fairleigh Dickinson,Central Connecticut,1,2,Northeast,Northeast,6,d1
Florida,Kentucky,1,1,SEC,SEC,6,d1
Florida International,Florida Atlantic,0,2,C-USA,AAC,6,d1
Fresno State,New Mexico,0,0,Mountain West,Mountain West,6,d1
Georgia Southern,Old Dominion,1,2,Sun Belt,Sun Belt,6,d1
Georgia State,Coastal Carolina,3,0,Sun Belt,Sun Belt,6,d1
Grand Canyon,Utah Valley,0,4,WAC,WAC,6,d1
Houston,Oklahoma,1,2,Big 12,Big 12,6,d1
Howard,Wagner,4,0,Northeast,Northeast,6,d1
Idaho State,Idaho,0,4,Big Sky,Big Sky,6,d1
Indiana,Northwestern,1,0,Big Ten,Big Ten,6,d1
Indiana State,Valparaiso,0,2,MVC,MVC,6,d1
Iowa,Minnesota,0,0,Big Ten,Big Ten,6,d1
Jackson State,Mississippi Valley,1,0,SWAC,SWAC,6,d1
Jacksonville,Lipscomb,0,5,Atlantic Sun,Atlantic Sun,6,d1
Jacksonville State,Western Kentucky,1,1,C-USA,C-USA,6,d1
Kennesaw State,Eastern Kentucky,1,3,Atlantic Sun,Atlantic Sun,6,d1
Kent State,Akron,2,1,MAC,MAC,6,d1
LIU,Le Moyne,3,0,Northeast,Northeast,6,d1
LSU,Mississippi State,2,1,SEC,SEC,6,d1
La Salle,Richmond,3,0,A10,A10,6,d1
Lehigh,Boston University,2,2,Patriot,Patriot,6,d1
