Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Rutgers,Georgetown,2,0,Big Ten,Big East,4
Central Connecticut,St. John's,2,1,Northeast,Big East,4
Quinnipiac,Stonehill,0,5,MAAC,Northeast,4
South Carolina State,Charleston Southern,3,0,Indep.,Big South,4
Brown,Saint Louis,1,1,Ivy,A10,4
Canisius,St. Bonaventure,2,0,MAAC,A10,4
Connecticut,Marist,0,5,Big East,MAAC,4
Mount St. Mary's,Robert Morris,3,0,MAAC,Horizon,4
North Florida,Florida State,4,0,Atlantic Sun,ACC,4
VCU,Stanford,1,2,A10,Pac-12,4
Penn State,Princeton,3,0,Big Ten,Ivy,4
South Carolina,North Carolina,2,1,SEC,ACC,4
UCLA,Long Beach State,4,0,Pac-12,Big West,4
Virginia,Iowa,0,0,ACC,Big Ten,4
Notre Dame,Michigan,0,1,ACC,Big Ten,4
Clemson,Arkansas,0,1,ACC,SEC,4
Xavier,Pittsburgh,1,2,Big East,ACC,4
Duke,East Carolina,0,2,ACC,AAC,4
California,Santa Clara,0,0,Pac-12,WCC,4
Georgetown,James Madison,0,0,Big East,Sun Belt,4
Southern Mississippi,Alabama,0,2,Sun Belt,SEC,4
USC,Utah Valley,2,3,Pac-12,WAC,4
Kansas State,Memphis,1,0,Big 12,AAC,4
Texas,Stephen F. Austin,0,7,Big 12,WAC,4
Purdue,TCU,1,2,Big Ten,Big 12,4
Rutgers,Providence,0,1,Big Ten,Big East,4
Nebraska,UC Davis,1,4,Big Ten,Big West,4
Washington State,St. Mary's (CA),0,1,Pac-12,WCC,4
American,Richmond,2,1,Patriot,A10,4
Arizona,Texas Tech,1,1,Pac-12,Big 12,4
Arizona State,Utah State,0,1,Pac-12,Mountain West,4
Arkansas Pine Bluff,Little Rock,0,4,SWAC,OVC,4
Arkansas State,Oklahoma State,1,0,Sun Belt,Big 12,4
Army,Air Force,2,1,Patriot,Mountain West,4
Baylor,SMU,2,1,Big 12,AAC,4
Boise State,Eastern Washington,4,3,Mountain West,Big Sky,4
Boise State,Eastern Washington,4,3,Mountain West,Big Sky,4
Boston College,Dartmouth,1,1,ACC,Ivy,4
Boston University,Maine,1,2,Patriot,Am East,4
Bucknell,Colorado College,5,2,Patriot,Mountain West,4
Butler,Cincinnati,2,2,Big East,Big 12,4
