Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
UC San Diego,CSU Bakersfield,1,1,Big West,Big West,5
UC Santa Barbara,Cal Poly,1,3,Big West,Big West,5
UCF,West Virginia,4,2,Big 12,Big 12,5
UMKC,Southern Indiana,1,1,Summit,OVC,5
UT Chattanooga,San Francisco,0,2,Southern,WCC,5
UTEP,Idaho,0,1,C-USA,Big Sky,5
VCU,Richmond,1,0,A10,A10,5
VMI,Longwood,1,2,Southern,Big South,5
Washington State,Seattle,1,2,Pac-12,WAC,5
Weber State,Utah,1,1,Big Sky,Pac-12,5
Western Kentucky,Middle Tennessee,0,3,C-USA,C-USA,5
William & Mary,Monmouth,0,0,CAA,CAA,5
Wisconsin-Green Bay,Wright State,1,0,Horizon,Horizon,5
Clemson,Florida State,2,4,ACC,ACC,5
Penn State,Maryland,4,0,Big Ten,Big Ten,5
North Carolina,Virginia Tech,0,1,ACC,ACC,5
UCLA,Pepperdine,0,2,Pac-12,WCC,5
South Carolina,Vanderbilt,1,3,SEC,SEC,5
Notre Dame,Wake Forest,3,1,ACC,ACC,5
Tennessee,Arkansas,1,3,SEC,SEC,5
Denver,Colorado,3,1,Summit,Pac-12,5
Nebraska,Wisconsin,1,1,Big Ten,Big Ten,5
Alcorn State,Tougaloo College,0,13,SWAC,Gulf Coast Athletic,5
Arizona State,Colorado College,3,0,Pac-12,Mountain West,5
Arkansas State,James Madison,2,0,Sun Belt,Sun Belt,5
California,Utah Valley,1,1,Pac-12,WAC,5
Coastal Carolina,Old Dominion,0,1,Sun Belt,Sun Belt,5
Creighton,South Dakota State,0,1,Big East,Summit,5
Florida,Missouri,3,2,SEC,SEC,5
Illinois State,Evansville,1,1,MVC,MVC,5
Miami (FL),Syracuse,2,1,ACC,ACC,5
Michigan,Minnesota,1,0,Big Ten,Big Ten,5
Mississippi,LSU,1,0,SEC,SEC,5
Mississippi State,Auburn,1,0,SEC,SEC,5
Navy,Lehigh,0,1,Patriot,Patriot,5
North Dakota State,Arkansas Pine Bluff,3,0,Summit,SWAC,5
Southern University,Nicholls,1,0,SWAC,Southland,5
Texas A&M,Kentucky,1,1,SEC,SEC,5
UC Riverside,Portland State,3,1,Big West,Big Sky,5
Wofford,Radford,2,1,Southern,Big South,5
Utah State,BYU,1,0,Mountain West,Big 12,5
Louisville,Virginia,1,1,ACC,ACC,5
Air Force,Washington,1,2,Mountain West,Pac-12,5
American,Army,1,2,Patriot,Patriot,5
Boston University,Loyola (MD),0,1,Patriot,Patriot,5
Canisius,Manhattan,2,2,MAAC,MAAC,5
Charleston Southern,Alabama A&M,0,2,Big South,SWAC,5
Colgate,Bucknell,0,0,Patriot,Patriot,5
Connecticut,Buffalo,1,1,Big East,MAC,5
Fairfield,Mount St. Mary's,0,3,MAAC,MAAC,5
Gonzaga,Arizona,3,1,WCC,Pac-12,5
Jackson State,McNeese State,2,1,SWAC,Southland,5
Lafayette,Holy Cross,1,0,Patriot,Patriot,5
Marist,Saint Peter's,1,0,MAAC,MAAC,5
Providence,Columbia,0,1,Big East,Ivy,5
Siena College,Rider,1,0,MAAC,MAAC,5
South Dakota,Lindenwood,0,1,Summit,OVC,5
Tarleton State,Prairie View A&M,5,0,WAC,SWAC,5
Stanford,Santa Clara,0,1,Pac-12,WCC,5
Mercer,Alabama,1,5,Southern,SEC,5
Boston College,Duke,0,2,ACC,ACC,5
Rice,Xavier,4,2,AAC,Big East,5
Memphis,UT Martin,0,4,AAC,OVC,5
NC State,Pittsburgh,0,2,ACC,ACC,5
Arkansas,Grand Canyon,2,3,SEC,WAC,5
Saint Louis,La Salle,0,4,A10,A10,5
Brown,Rhode Island,1,0,Ivy,A10,5
Iowa,Illinois,1,1,Big Ten,Big Ten,5
Appalachian State,Troy,1,0,Sun Belt,Sun Belt,5
Baylor,UTSA,0,1,Big 12,AAC,5
Bellarmine,Lipscomb,2,0,Atlantic Sun,Atlantic Sun,5
Belmont,Indiana State,0,0,MVC,MVC,5
CSUN,Portland State,3,2,Big West,Big Sky,5
Cal Poly,Pacific,3,1,Big West,WCC,5
California Baptist,Sacramento State,1,1,WAC,Big Sky,5
Campbell,Towson,2,1,CAA,CAA,5
Central Arkansas,Kennesaw State,5,0,Atlantic Sun,Atlantic Sun,5
Charlotte,Longwood,0,2,AAC,Big South,5
Colorado State,Utah,1,0,Mountain West,Pac-12,5
Dartmouth,Massachusetts-Lowell,1,1,Ivy,Am East,5
Davidson,St. Bonaventure,1,0,A10,A10,5
Dayton,Massachusetts,1,0,A10,A10,5
Delaware State,Sacred Heart,7,0,Northeast,Northeast,5
Drake,Northern Iowa,1,2,MVC,MVC,5
Drexel,Delaware,1,1,CAA,CAA,5
Duquesne,Loyola-Chicago,0,0,A10,A10,5
Eastern Kentucky,Austin Peay,1,0,Atlantic Sun,Atlantic Sun,5
Elon,Northeastern,2,1,CAA,CAA,5
FGCU,Jacksonville,2,0,Atlantic Sun,Atlantic Sun,5
Florida International,UTEP,3,1,C-USA,C-USA,5
George Mason,VCU,0,5,A10,A10,5
George Washington,Fordham,0,0,A10,A10,5
Georgia,San Francisco,0,5,SEC,WCC,5
Hampton University,Monmouth,5,0,CAA,CAA,5
Houston Christian,Nicholls,5,0,Southland,Southland,5
IUPUI,Cleveland State,2,2,Horizon,Horizon,5
Incarnate Word,Lamar,2,0,Southland,Southland,5
Indiana,Rutgers,3,2,Big Ten,Big Ten,5
Iona University,Niagara,0,1,MAAC,MAAC,5
Jacksonville State,Sam Houston State,0,2,C-USA,C-USA,5
Le Moyne,Howard,1,0,Northeast,Northeast,5
Little Rock,Morehead State,1,0,OVC,OVC,5
Long Beach State,Northern Colorado,5,1,Big West,Big Sky,5
Maine,Vermont,2,3,Am East,Am East,5
Marquette,St. Thomas (Minn.),1,1,Big East,Summit,5
Marshall,Louisiana-Monroe,1,3,Sun Belt,Sun Belt,5
Merrimack,Fairleigh Dickinson,3,2,Northeast,Northeast,5
Michigan State,Ohio State,1,1,Big Ten,Big Ten,5
Murray State,Missouri State,0,0,MVC,MVC,5
NJIT,Albany,1,1,Am East,Am East,5
Nevada,Eastern Washington,3,2,Mountain West,Big Sky,5
New Hampshire,Binghamton,0,1,Am East,Am East,5
New Mexico State,Louisiana Tech,4,3,C-USA,C-USA,5
North Alabama,Queens (N.C.),0,0,Atlantic Sun,Atlantic Sun,5
North Dakota,Arkansas Pine Bluff,3,0,Summit,SWAC,5
North Florida,Stetson,2,1,Atlantic Sun,Atlantic Sun,5
Northern Arizona,Loyola Marymount,1,3,Big Sky,WCC,5
Northwestern State,Southeastern Louisiana,0,1,Southland,Southland,5
Oakland,Purdue Fort Wayne,1,1,Horizon,Horizon,5
Oklahoma State,Abilene Christian,0,2,Big 12,WAC,5
Omaha,Oklahoma,2,1,Summit,Big 12,5
Oregon State,Montana,0,0,Pac-12,Big Sky,5
Purdue,Northwestern,0,1,Big Ten,Big Ten,5
Quinnipiac,Princeton,4,2,MAAC,Ivy,5
Richmond,Saint Joseph's,3,2,A10,A10,5
Robert Morris,Wisconsin-Green Bay,5,1,Horizon,Horizon,5
San Diego,California,2,1,WCC,Pac-12,5
South Carolina State,East Tennessee State,6,0,Indep.,Southern,5
Southern Illinois,UIC,1,0,MVC,MVC,5
Southern Mississippi,South Alabama,0,0,Sun Belt,Sun Belt,5
St. Francis (Pa.),Central Connecticut,2,1,Northeast,Northeast,5
St. John's,Harvard,3,4,Big East,Ivy,5
Stonehill,Portland,4,0,Northeast,WCC,5
Stony Brook,Hofstra,1,2,CAA,CAA,5
TCU,Stephen F. Austin,1,3,Big 12,WAC,5
Temple,Penn,1,2,AAC,Ivy,5
Tennessee Tech,Middle Tennessee,2,2,OVC,C-USA,5
Texas A&M,Texas Southern,0,10,SEC,SWAC,5
Texas A&M-Corpus Christi,Texas A&M-Commerce,3,2,Southland,Southland,5
Texas State,Louisiana,0,3,Sun Belt,Sun Belt,5
Toledo,Chicago State,0,4,MAC,Indep.,5
Tulsa,UMKC,3,3,AAC,Summit,5
UC Riverside,Cal State Fullerton,1,3,Big West,Big West,5
UC Santa Barbara,St. Mary's (CA),0,0,Big West,WCC,5
UMBC,Bryant,2,2,Am East,Am East,5
UNC Greensboro,East Carolina,1,0,Southern,AAC,5
UNC Wilmington,College of Charleston,0,1,CAA,CAA,5
Utah Tech,Idaho State,4,3,WAC,Big Sky,5
VMI,Liberty,0,2,Southern,C-USA,5
Villanova,Cornell,1,1,Big East,Ivy,5
Wagner,LIU,0,2,Northeast,Northeast,5
Wisconsin-Milwaukee,Detroit Mercy,2,0,Horizon,Horizon,5
Youngstown State,Northern Kentucky,1,2,Horizon,Horizon,5
