Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
UNC Greensboro,Duke,1,0,Southern,ACC,5
East Tennessee State,Winthrop,1,0,Southern,Big South,5
Howard,Virginia State,0,9,Northeast,Central Intercollegiate Athletic Association,5
Army,Albany,3,0,Patriot,Am East,5
Charleston Southern,The Citadel,1,2,Big South,Southern,5
Columbia,NJIT,0,5,Ivy,Am East,5
Cornell,Binghamton,2,2,Ivy,Am East,5
Dartmouth,Iona University,0,4,Ivy,MAAC,5
Drake,South Dakota,1,2,MVC,Summit,5
Hartford,Merrimack,1,2,Commonwealth,Northeast,5
Le Moyne,Canisius,2,0,Northeast,MAAC,5
Mount St. Mary's,UMBC,2,1,MAAC,Am East,5
Sacred Heart,Fairfield,3,3,Northeast,MAAC,5
BYU,TCU,3,3,Big 12,Big 12,5
Alabama,Georgia,1,1,SEC,SEC,5
Princeton,Georgetown,3,2,Ivy,Big East,5
Lamar,Xavier,1,0,Southland,Big East,5
Memphis,North Texas,0,2,AAC,AAC,5
Loyola-Chicago,Saint Louis,1,0,A10,A10,5
USC,New Mexico State,0,3,Pac-12,C-USA,5
Brown,Portland,0,0,Ivy,WCC,5
Baylor,Texas,4,0,Big 12,Big 12,5
Abilene Christian,Prairie View A&M,6,0,WAC,SWAC,5
Alabama A&M,UT Martin,2,1,SWAC,OVC,5
Alabama State,Jacksonville State,1,0,SWAC,C-USA,5
Austin Peay,Bellarmine,1,2,Atlantic Sun,Atlantic Sun,5
Belhaven,Mississippi Valley,2,1,Southern States,SWAC,5
Boise State,Oregon,1,1,Mountain West,Pac-12,5
Butler,Ball State,0,4,Big East,MAC,5
Cal State Fullerton,UNLV,1,1,Big West,Mountain West,5
Campbell,Northeastern,3,3,CAA,CAA,5
Charlotte,UAB,0,0,AAC,AAC,5
Cleveland State,Wisconsin-Milwaukee,1,2,Horizon,Horizon,5
Colorado State,Utah Tech,3,2,Mountain West,WAC,5
Davidson,Duquesne,1,1,A10,A10,5
Detroit Mercy,Youngstown State,1,2,Horizon,Horizon,5
East Carolina,Florida Atlantic,0,1,AAC,AAC,5
East Tennessee State,USC Upstate,0,0,Southern,Big South,5
Elon,Towson,2,1,CAA,CAA,5
Fordham,George Mason,2,4,A10,A10,5
Furman,South Carolina State,0,2,Southern,Indep.,5
Gardner-Webb,Mercer,4,0,Big South,Southern,5
Grambling State,Louisiana-Monroe,0,1,SWAC,Sun Belt,5
Grand Canyon,Loyola Marymount,2,1,WAC,WCC,5
Hampton University,UNC Wilmington,7,0,CAA,CAA,5
Harvard,Samford,0,5,Ivy,Southern,5
Hawaii,CSUN,1,2,Big West,Big West,5
Hofstra,Drexel,2,3,CAA,CAA,5
Howard,Delaware State,0,2,Northeast,Northeast,5
Iowa State,Oklahoma State,1,4,Big 12,Big 12,5
Jacksonville,Stetson,1,0,Atlantic Sun,Atlantic Sun,5
Kansas State,Cincinnati,1,1,Big 12,Big 12,5
Kennesaw State,North Alabama,0,2,Atlantic Sun,Atlantic Sun,5
LIU,Stonehill,1,2,Northeast,Northeast,5
Liberty,Appalachian State,0,2,C-USA,Sun Belt,5
Lipscomb,Eastern Kentucky,0,1,Atlantic Sun,Atlantic Sun,5
Long Beach State,UC Irvine,1,1,Big West,Big West,5
Louisiana Tech,Little Rock,2,1,C-USA,OVC,5
Marquette,Western Michigan,1,2,Big East,MAC,5
Massachusetts,George Washington,2,0,A10,A10,5
Montana,Miami (OH),0,4,Big Sky,MAC,5
Morehead State,UNC Asheville,2,2,OVC,Big South,5
NC State,High Point,2,2,ACC,Big South,5
Nevada,Northern Colorado,2,0,Mountain West,Big Sky,5
Niagara,Akron,0,1,MAAC,MAC,5
North Dakota,Wyoming,2,1,Summit,Mountain West,5
North Florida,FGCU,0,2,Atlantic Sun,Atlantic Sun,5
Northern Illinois,DePaul,1,0,MAC,Big East,5
Northern Kentucky,IUPUI,1,1,Horizon,Horizon,5
Oklahoma,Kansas,2,2,Big 12,Big 12,5
Oral Roberts,Tarleton State,0,4,Summit,WAC,5
Pacific,Fresno State,0,3,WCC,Mountain West,5
Penn,Villanova,1,1,Ivy,Big East,5
Presbyterian,Western Carolina,0,4,Big South,Southern,5
Purdue Fort Wayne,Robert Morris,0,2,Horizon,Horizon,5
Queens (N.C.),Central Arkansas,1,0,Atlantic Sun,Atlantic Sun,5
Rice,SMU,6,3,AAC,AAC,5
Saint Joseph's,Rhode Island,0,0,A10,A10,5
San Diego State,San Diego,0,4,Mountain West,WCC,5
San Jose State,California Baptist,0,0,Mountain West,WAC,5
Southeast Missouri State,Columbia College (MO),0,1,OVC,American Midwest,5
Southern Utah,Idaho State,3,2,WAC,Big Sky,5
St. Bonaventure,Dayton,0,0,A10,A10,5
St. John's,Yale,2,2,Big East,Ivy,5
St. Mary's (CA),Sacramento State,4,0,WCC,Big Sky,5
Stony Brook,Delaware,2,2,CAA,CAA,5
Temple,South Florida,1,2,AAC,AAC,5
Texas A&M-Corpus Christi,UTRGV,1,1,Southland,WAC,5
Texas Southern,Sul Ross State University,1,3,SWAC,American Southwest,5
Texas Tech,Houston,0,3,Big 12,Big 12,5
Tulsa,UTSA,0,0,AAC,AAC,5
UC Davis,Eastern Washington,3,0,Big West,Big Sky,5
