Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
Rutgers,Georgetown,0,2,Big Ten,Big East
Central Connecticut,St. John's,1,2,Northeast,Big East
Quinnipiac,Stonehill,5,0,MAAC,Northeast
South Carolina State,Charleston Southern,0,3,Indep.,Big South
Brown,Saint Louis,1,1,Ivy,A10
Canisius,St. Bonaventure,2,0,MAAC,A10
Connecticut,Marist,5,0,Big East,MAAC
Mount St. Mary's,Robert Morris,0,3,MAAC,Horizon
North Florida,Florida State,0,4,Atlantic Sun,ACC
VCU,Stanford,1,2,A10,Pac-12
Penn State,Princeton,3,0,Big Ten,Ivy
South Carolina,North Carolina,1,2,SEC,ACC
UCLA,Long Beach State,4,0,Pac-12,Big West
Virginia,Iowa,0,0,ACC,Big Ten
Notre Dame,Michigan,0,1,ACC,Big Ten
Clemson,Arkansas,1,0,ACC,SEC
Xavier,Pittsburgh,2,1,Big East,ACC
Duke,East Carolina,2,0,ACC,AAC
California,Santa Clara,0,0,Pac-12,WCC
Georgetown,James Madison,0,0,Big East,Sun Belt
Southern Mississippi,Alabama,0,2,Sun Belt,SEC
USC,Utah Valley,2,3,Pac-12,WAC
Kansas State,Memphis,0,1,Big 12,AAC
Texas,Stephen F. Austin,7,0,Big 12,WAC
Purdue,TCU,1,2,Big Ten,Big 12
Rutgers,Providence,1,0,Big Ten,Big East
Nebraska,UC Davis,4,1,Big Ten,Big West
Washington State,St. Mary's (CA),0,1,Pac-12,WCC
American,Richmond,1,2,Patriot,A10
Arizona,Texas Tech,1,1,Pac-12,Big 12
Arizona State,Utah State,1,0,Pac-12,Mountain West
Arkansas Pine Bluff,Little Rock,0,4,SWAC,OVC
Arkansas State,Oklahoma State,0,1,Sun Belt,Big 12
Army,Air Force,2,1,Patriot,Mountain West
Baylor,SMU,1,2,Big 12,AAC
Boise State,Eastern Washington,4,3,Mountain West,Big Sky
Boise State,Eastern Washington,4,3,Mountain West,Big Sky
Boston College,Dartmouth,1,1,ACC,Ivy
Boston University,Maine,1,2,Patriot,Am East
Bucknell,Colorado College,5,2,Patriot,Mountain West
Butler,Cincinnati,2,2,Big East,Big 12
CSU Bakersfield,Westmont,0,1,Big West,Golden State Athletic
CSUN,Idaho,1,5,Big West,Big Sky
Cal Poly,Gonzaga,1,4,Big West,WCC
Cal State Fullerton,San Diego,1,0,Big West,WCC
Central Arkansas,Oral Roberts,1,0,Atlantic Sun,Summit
Charlotte,Florida,0,1,AAC,SEC
Cleveland State,St. Francis (Pa.),4,1,Horizon,Northeast
College of Charleston,Hampton University,11,1,CAA,CAA
Dayton,IUPUI,0,1,A10,Horizon
DePaul,UIC,1,0,Big East,MVC
Denver,Colgate,6,0,Summit,Patriot
Drake,St. Thomas (Minn.),1,1,MVC,Summit
Drexel,William & Mary,1,2,CAA,CAA
Duquesne,Fairleigh Dickinson,1,0,A10,Northeast
Eastern Illinois,Illinois State,0,1,OVC,MVC
Eastern Kentucky,Northern Kentucky,0,2,Atlantic Sun,Horizon
Evansville,Western Kentucky,0,0,MVC,C-USA
Fairfield,Central Connecticut,2,5,MAAC,Northeast
Florida Atlantic,FGCU,1,0,AAC,Atlantic Sun
Florida International,Miami (FL),1,0,C-USA,ACC
Fordham,Columbia,0,2,A10,Ivy
Gardner-Webb,VMI,1,0,Big South,Southern
George Washington,Howard,1,2,A10,Northeast
Georgia Southern,Georgia,0,1,Sun Belt,SEC
Harvard,Syracuse,5,2,Ivy,ACC
Holy Cross,Vermont,4,0,Patriot,Am East
Houston,Houston Christian,5,1,Big 12,Southland
Indiana,Louisville,2,0,Big Ten,ACC
Indiana State,UT Martin,1,1,MVC,OVC
Jacksonville,Mercer,1,3,Atlantic Sun,Southern
Jacksonville State,Mississippi Valley,3,0,C-USA,SWAC
Kennesaw State,Georgia State,0,0,Atlantic Sun,Sun Belt
Kentucky,Belmont,3,0,SEC,MVC
LSU,Pepperdine,2,2,SEC,WCC
Lamar,Southern University,3,0,Southland,SWAC
Lipscomb,Mississippi,2,1,Atlantic Sun,SEC
