Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Seton Hall,Lafayette,1,4,Big East,Patriot,1
Siena College,Central Connecticut,0,3,MAAC,Northeast,1
South Dakota,Utah Tech,1,3,Summit,WAC,1
Southern Illinois,Jackson State,2,1,MVC,SWAC,1
St. Francis (Pa.),Youngstown State,3,1,Northeast,Horizon,1
St. John's,Fairleigh Dickinson,0,3,Big East,Northeast,1
St. Thomas (Minn.),Northern Iowa,1,0,Summit,MVC,1
Stetson,Miami (FL),3,0,Atlantic Sun,ACC,1
Tarleton State,Louisiana-Monroe,1,1,WAC,Sun Belt,1
Temple,William & Mary,0,4,AAC,CAA,1
Tennessee,California,4,1,SEC,Pac-12,1
Texas A&M-Commerce,Oral Roberts,2,2,Southland,Summit,1
Texas A&M-Corpus Christi,Texas Southern,2,0,Southland,SWAC,1
Texas State,McNeese State,3,1,Sun Belt,Southland,1
Tougaloo College,Arkansas Pine Bluff,16,0,Gulf Coast Athletic,SWAC,1
UAB,Georgia Southern,0,2,AAC,Sun Belt,1
UC Davis,Idaho State,5,0,Big West,Big Sky,1
UC Irvine,St. Mary's (CA),2,1,Big West,WCC,1
UC Riverside,California Baptist,1,4,Big West,WAC,1
UC Santa Barbara,Loyola Marymount,2,0,Big West,WCC,1
UIC,Toledo,2,2,MVC,MAC,1
UMBC,Kutztown,0,2,Am East,PSAC,1
UMKC,Lindenwood,1,2,Summit,OVC,1
UNC Asheville,Western Carolina,0,1,Big South,Southern,1
UNC Greensboro,Army,0,2,Southern,Patriot,1
UNLV,North Texas,0,3,Mountain West,AAC,1
UTEP,Northern Arizona,3,2,C-USA,Big Sky,1
UTSA,Central Arkansas,1,5,AAC,Atlantic Sun,1
Utah State,Weber State,5,1,Mountain West,Big Sky,1
VMI,Robert Morris,0,3,Southern,Horizon,1
Valparaiso,Eastern Illinois,1,2,MVC,OVC,1
Vanderbilt,UT Chattanooga,1,3,SEC,Southern,1
Villanova,Marist,0,3,Big East,MAAC,1
Wake Forest,Appalachian State,0,1,ACC,Sun Belt,1
Washington,Houston,0,0,Pac-12,Big 12,1
Washington State,Eastern Washington,3,1,Pac-12,Big Sky,1
Western Illinois,Northern Illinois,3,0,OVC,MAC,1
Western Kentucky,Tennessee Tech,1,1,C-USA,OVC,1
Wisconsin,Kansas,0,0,Big Ten,Big 12,1
Wisconsin-Green Bay,Kansas State,1,4,Horizon,Big 12,1
Wyoming,Colorado Mines,1,1,Mountain West,Rocky Mountain,1
Xavier,Northeastern,0,2,Big East,CAA,1
Alcorn State,Florida International,0,6,SWAC,C-USA,1
Cleveland State,Akron,1,3,Horizon,MAC,1
Hampton University,Robert Morris,1,0,CAA,Horizon,1
Hawaii,Utah Valley,1,1,Big West,WAC,1
Jacksonville,Alabama State,1,4,Atlantic Sun,SWAC,1
Lamar,Abilene Christian,0,1,Southland,WAC,1
Monmouth,Lehigh,1,0,CAA,Patriot,1
Murray State,Grambling State,0,2,MVC,SWAC,1
Sam Houston State,Prairie View A&M,2,4,C-USA,SWAC,1
The Citadel,Mississippi Valley,1,2,Southern,SWAC,1
