Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
Rutgers,Georgetown,2,0,Big Ten,Big East
Central Connecticut,St. John's,2,1,Northeast,Big East
Quinnipiac,Stonehill,0,5,MAAC,Northeast
South Carolina State,Charleston Southern,3,0,Indep.,Big South
Brown,Saint Louis,1,1,Ivy,A10
Canisius,St. Bonaventure,2,0,MAAC,A10
Connecticut,Marist,0,5,Big East,MAAC
Mount St. Mary's,Robert Morris,3,0,MAAC,Horizon
North Florida,Florida State,4,0,Atlantic Sun,ACC
VCU,Stanford,1,2,A10,Pac-12
Penn State,Princeton,3,0,Big Ten,Ivy
South Carolina,North Carolina,2,1,SEC,ACC
UCLA,Long Beach State,4,0,Pac-12,Big West
Virginia,Iowa,0,0,ACC,Big Ten
Notre Dame,Michigan,0,1,ACC,Big Ten
Clemson,Arkansas,0,1,ACC,SEC
Xavier,Pittsburgh,1,2,Big East,ACC
Duke,East Carolina,0,2,ACC,AAC
California,Santa Clara,0,0,Pac-12,WCC
Georgetown,James Madison,0,0,Big East,Sun Belt
Southern Mississippi,Alabama,0,2,Sun Belt,SEC
USC,Utah Valley,2,3,Pac-12,WAC
Kansas State,Memphis,1,0,Big 12,AAC
Texas,Stephen F. Austin,0,7,Big 12,WAC
Purdue,TCU,1,2,Big Ten,Big 12
Rutgers,Providence,0,1,Big Ten,Big East
Nebraska,UC Davis,1,4,Big Ten,Big West
Washington State,St. Mary's (CA),0,1,Pac-12,WCC
American,Richmond,2,1,Patriot,A10
Arizona,Texas Tech,1,1,Pac-12,Big 12
Arizona State,Utah State,0,1,Pac-12,Mountain West
Arkansas Pine Bluff,Little Rock,0,4,SWAC,OVC
Arkansas State,Oklahoma State,1,0,Sun Belt,Big 12
Army,Air Force,2,1,Patriot,Mountain West
Baylor,SMU,2,1,Big 12,AAC
Boise State,Eastern Washington,4,3,Mountain West,Big Sky
Boise State,Eastern Washington,4,3,Mountain West,Big Sky
Boston College,Dartmouth,1,1,ACC,Ivy
Boston University,Maine,1,2,Patriot,Am East
Bucknell,Colorado College,5,2,Patriot,Mountain West
Butler,Cincinnati,2,2,Big East,Big 12
CSU Bakersfield,Westmont,0,1,Big West,Golden State Athletic
CSUN,Idaho,5,1,Big West,Big Sky
Cal Poly,Gonzaga,4,1,Big West,WCC
Cal State Fullerton,San Diego,1,0,Big West,WCC
Central Arkansas,Oral Roberts,1,0,Atlantic Sun,Summit
Charlotte,Florida,0,1,AAC,SEC
Cleveland State,St. Francis (Pa.),1,4,Horizon,Northeast
College of Charleston,Hampton University,1,11,CAA,CAA
Dayton,IUPUI,0,1,A10,Horizon
DePaul,UIC,0,1,Big East,MVC
Denver,Colgate,0,6,Summit,Patriot
Drake,St. Thomas (Minn.),1,1,MVC,Summit
Drexel,William & Mary,1,2,CAA,CAA
Duquesne,Fairleigh Dickinson,0,1,A10,Northeast
Eastern Illinois,Illinois State,1,0,OVC,MVC
Eastern Kentucky,Northern Kentucky,0,2,Atlantic Sun,Horizon
Evansville,Western Kentucky,0,0,MVC,C-USA
Fairfield,Central Connecticut,2,5,MAAC,Northeast
Florida Atlantic,FGCU,1,0,AAC,Atlantic Sun
Florida International,Miami (FL),1,0,C-USA,ACC
Fordham,Columbia,0,2,A10,Ivy
Gardner-Webb,VMI,1,0,Big South,Southern
George Washington,Howard,1,2,A10,Northeast
Georgia Southern,Georgia,1,0,Sun Belt,SEC
Harvard,Syracuse,5,2,Ivy,ACC
Holy Cross,Vermont,4,0,Patriot,Am East
Houston,Houston Christian,1,5,Big 12,Southland
Indiana,Louisville,0,2,Big Ten,ACC
Indiana State,UT Martin,1,1,MVC,OVC
Jacksonville,Mercer,1,3,Atlantic Sun,Southern
Jacksonville State,Mississippi Valley,0,3,C-USA,SWAC
Kennesaw State,Georgia State,0,0,Atlantic Sun,Sun Belt
Kentucky,Belmont,3,0,SEC,MVC
LSU,Pepperdine,2,2,SEC,WCC
Lamar,Southern University,0,3,Southland,SWAC
Lipscomb,Mississippi,1,2,Atlantic Sun,SEC
Louisiana Tech,Nicholls,8,1,C-USA,Southland
Louisiana-Monroe,Southeastern Louisiana,2,0,Sun Belt,Southland
Loyola Marymount,Nevada,3,1,WCC,Mountain West
Loyola-Chicago,Wisconsin,2,3,A10,Big Ten
Manhattan,Sacred Heart,0,2,MAAC,Northeast
Marshall,Miami (OH),0,2,Sun Belt,MAC
Maryland,George Mason,0,2,Big Ten,A10
Middle Tennessee,UT Chattanooga,2,1,C-USA,Southern
Missouri,Illinois,1,2,SEC,Big Ten
Missouri State,Lindenwood,0,2,MVC,OVC
Montana,Colorado State,0,1,Big Sky,Mountain West
Morehead State,Bellarmine,1,1,OVC,Atlantic Sun
NC State,Michigan State,1,2,ACC,Big Ten
NJIT,La Salle,1,1,Am East,A10
Navy,Virginia Tech,1,0,Patriot,ACC
New Hampshire,Merrimack,0,0,Am East,Northeast
New Mexico,Colorado,2,0,Mountain West,Pac-12
New Mexico State,UNLV,3,2,C-USA,Mountain West
North Alabama,Southern Illinois,1,2,Atlantic Sun,MVC
North Dakota,Northern Colorado,0,0,Summit,Big Sky
Northeastern,UNC Wilmington,0,3,CAA,CAA
Northwestern,Weber State,4,1,Big Ten,Big Sky
Oakland,Western Michigan,3,0,Horizon,MAC
Ohio State,Ohio University,4,1,Big Ten,MAC
Oklahoma,Murray State,1,5,Big 12,MVC
Oregon,California Baptist,0,1,Pac-12,WAC
Oregon State,UC Irvine,2,3,Pac-12,Big West
Penn,Lafayette,0,1,Ivy,Patriot
Portland State,Iowa State,2,0,Big Sky,Big 12
Purdue Fort Wayne,Eastern Michigan,2,2,Horizon,MAC
Rhode Island,Wake Forest,1,3,A10,ACC
Saint Joseph's,Temple,1,1,A10,AAC
Sam Houston State,Rice,2,2,C-USA,AAC
Seattle,Portland,1,0,WAC,WCC
South Alabama,Mississippi State,1,1,Sun Belt,SEC
South Dakota,Northern Iowa,3,1,Summit,MVC
South Dakota State,Grand Canyon,0,1,Summit,WAC
Southern Indiana,Austin Peay,2,0,OVC,Atlantic Sun
Stonehill,Bryant,2,0,Northeast,Am East
Stony Brook,Campbell,0,0,CAA,CAA
Tennessee,Radford,3,1,SEC,Big South
Texas A&M,Grambling State,0,8,SEC,SWAC
Texas State,Texas Southern,0,4,Sun Belt,SWAC
Toledo,Northwood (Mich),1,2,MAC,GLIAC
Towson,Delaware,0,0,CAA,CAA
Troy,Samford,1,0,Sun Belt,Southern
Tulsa,UTEP,0,4,AAC,C-USA
UAB,Tennessee Tech,0,1,AAC,OVC
UC Riverside,Fresno State,1,1,Big West,Mountain West
UC San Diego,San Diego State,3,2,Big West,Mountain West
UC Santa Barbara,San Francisco,1,1,Big West,WCC
UMBC,High Point,0,1,Am East,Big South
UMKC,Kansas,1,1,Summit,Big 12
UNC Asheville,The Citadel,0,0,Big South,Southern
UNC Greensboro,Coastal Carolina,3,0,Southern,Sun Belt
UTSA,Texas A&M-Commerce,1,4,AAC,Southland
Vanderbilt,Ball State,1,0,SEC,MAC
West Virginia,Auburn,1,1,Big 12,SEC
Western Illinois,Wisconsin-Green Bay,3,1,OVC,Horizon
Wisconsin-Milwaukee,Marquette,1,0,Horizon,Big East
Wyoming,Idaho State,3,0,Mountain West,Big Sky
Yale,Seton Hall,2,1,Ivy,Big East
Chicago State,Detroit Mercy,4,2,Indep.,Horizon
Creighton,Minnesota,0,0,Big East,Big Ten
Jackson State,Northwestern State,2,0,SWAC,Southland
Le Moyne,Robert Morris,1,1,Northeast,Horizon
North Dakota State,Northern Colorado,1,0,Summit,Big Sky
North Dakota State,Northern Colorado,1,0,Summit,Big Sky
Pacific,Southern Utah,1,3,WCC,WAC
Prairie View A&M,UTRGV,0,3,SWAC,WAC
Tarleton State,Texas A&M-Corpus Christi,3,1,WAC,Southland
Utah Tech,Northern Arizona,1,0,WAC,Big Sky
Wofford,Charleston Southern,1,1,Southern,Big South
Youngstown State,Valparaiso,2,0,Horizon,MVC
Utah,BYU,6,1,Pac-12,Big 12
Jacksonville,Warner,0,3,Atlantic Sun,The Sun
Mount St. Mary's,Iona University,1,1,MAAC,MAAC
Niagara,Quinnipiac,0,4,MAAC,MAAC
Northern Iowa,UT Martin,3,1,MVC,OVC
Rider,Marist,0,1,MAAC,MAAC
Saint Peter's,Canisius,1,3,MAAC,MAAC
Siena College,Manhattan,1,1,MAAC,MAAC
St. John's,Lehigh,2,4,Big East,Patriot
Florida State,Florida,0,1,ACC,SEC
Georgetown,Stanford,1,1,Big East,Pac-12
Alabama,North Carolina,1,1,SEC,ACC
CSUN,UCLA,3,0,Big West,Pac-12
Bowling Green,Notre Dame,3,0,MAC,ACC
South Carolina,Furman,0,2,SEC,Southern
Cincinnati,Pittsburgh,1,2,Big 12,ACC
Cal Poly,Santa Clara,1,1,Big West,WCC
Texas,Gonzaga,0,0,Big 12,WCC
Xavier,Bellarmine,0,2,Big East,Atlantic Sun
Butler,TCU,1,2,Big East,Big 12
Nebraska,Saint Louis,3,2,Big Ten,A10
Washington State,Kansas,1,0,Pac-12,Big 12
Alabama State,Georgia State,5,1,SWAC,Sun Belt
Albany,Fordham,0,1,Am East,A10
Alcorn State,East Mississippi Community College,0,10,SWAC,MACJC
Arizona,Utah State,0,1,Pac-12,Mountain West
Arizona State,Texas Tech,1,0,Pac-12,Big 12
Arkansas Pine Bluff,Tarleton State,0,1,SWAC,WAC
Army,Colorado College,3,0,Patriot,Mountain West
Ball State,Austin Peay,0,3,MAC,Atlantic Sun
Baylor,Abilene Christian,0,7,Big 12,WAC
Binghamton,Maryland,0,1,Am East,Big Ten
Boise State,Oregon State,0,0,Mountain West,Pac-12
Boston College,Sacred Heart,2,3,ACC,Northeast
Boston University,New Hampshire,1,2,Patriot,Am East
Bucknell,Air Force,2,1,Patriot,Mountain West
Buffalo,Cornell,1,1,MAC,Ivy
CSU Bakersfield,UNLV,3,1,Big West,Mountain West
California,Cal State Fullerton,0,1,Pac-12,Big West
California Baptist,Fresno State,2,1,WAC,Mountain West
Central Arkansas,Tulsa,2,0,Atlantic Sun,AAC
Central Michigan,Purdue Fort Wayne,1,2,MAC,Horizon
Coastal Carolina,Stetson,0,3,Sun Belt,Atlantic Sun
Colorado,Colgate,1,2,Pac-12,Patriot
Columbia,Fairleigh Dickinson,0,8,Ivy,Northeast
Dartmouth,Central Connecticut,0,1,Ivy,Northeast
Davidson,Presbyterian,3,0,A10,Big South
DePaul,Loyola-Chicago,0,1,Big East,A10
Delaware,William & Mary,0,1,CAA,CAA
Detroit Mercy,Concordia (Mich.),0,6,Horizon,Wolverine-Hoosier
Drake,Omaha,0,1,MVC,Summit
Eastern Illinois,Chicago State,1,2,OVC,Indep.
Eastern Michigan,Valparaiso,1,1,MAC,MVC
Eastern Washington,St. Mary's (CA),3,6,Big Sky,WCC
Fairfield,Syracuse,0,0,MAAC,ACC
Florida Atlantic,Tennessee,2,0,AAC,SEC
Florida International,FGCU,1,0,C-USA,Atlantic Sun
George Mason,Iowa,0,3,A10,Big Ten
George Washington,American,3,3,A10,Patriot
Georgia,Clemson,1,1,SEC,ACC
Hampton University,Stony Brook,6,1,CAA,CAA
Harvard,NC State,2,0,Ivy,ACC
Hofstra,Campbell,0,1,CAA,CAA
Houston,Texas State,0,1,Big 12,Sun Belt
IUPUI,Lindenwood,1,3,Horizon,OVC
Idaho State,Colorado State,1,2,Big Sky,Mountain West
Illinois,Pepperdine,2,3,Big Ten,WCC
Illinois State,Western Illinois,1,4,MVC,OVC
