Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
East Texas Baptist,Grambling State,0,1,American Southwest,SWAC
Northern Iowa,Southern Utah,3,2,MVC,WAC
Campbell,Radford,2,1,CAA,Big South
Central Arkansas,Missouri State,0,3,Atlantic Sun,MVC
UNC Greensboro,High Point,0,1,Southern,Big South
Western Carolina,Winthrop,5,1,Southern,Big South
UCLA,Cal Poly,2,1,Pac-12,Big West
North Carolina,Wisconsin,0,0,ACC,Big Ten
Stanford,San Francisco,4,0,Pac-12,WCC
West Virginia,Penn State,1,2,Big 12,Big Ten
Virginia,Michigan,0,0,ACC,Big Ten
Duke,USC,1,3,ACC,Pac-12
Lipscomb,Alabama,1,3,Atlantic Sun,SEC
Arkansas,Oregon,4,0,SEC,Pac-12
Notre Dame,Butler,4,1,ACC,Big East
BYU,Long Beach State,2,0,Big 12,Big West
Texas,LSU,1,3,Big 12,SEC
Boston College,South Carolina,2,3,ACC,SEC
Kent State,Pittsburgh,0,1,MAC,ACC
Northern Colorado,Michigan State,0,7,Big Sky,Big Ten
Saint Louis,Creighton,4,1,A10,Big East
Washington,Santa Clara,1,5,Pac-12,WCC
Georgetown,Bucknell,1,0,Big East,Patriot
Northwestern,Oakland,7,0,Big Ten,Horizon
Memphis,Ohio State,6,1,AAC,Big Ten
Georgia,UCF,2,1,SEC,Big 12
Akron,Robert Morris,0,3,MAC,Horizon
Alabama State,UAB,1,4,SWAC,AAC
Arizona,Grand Canyon,1,1,Pac-12,WAC
Bellarmine,IUPUI,0,3,Atlantic Sun,Horizon
Boston University,Rhode Island,0,0,Patriot,A10
California Baptist,NJIT,3,1,WAC,Am East
Canisius,Detroit Mercy,0,0,MAAC,Horizon
Cincinnati,Bowling Green,1,0,Big 12,MAC
Coastal Carolina,Charlotte,0,3,Sun Belt,AAC
Colgate,Buffalo,0,1,Patriot,MAC
Colorado,Colorado College,2,0,Pac-12,Mountain West
Davidson,UNC Asheville,0,1,A10,Big South
Dayton,Louisville,2,1,A10,ACC
Delaware State,VMI,0,1,Northeast,Southern
Drake,South Dakota State,1,2,MVC,Summit
Drexel,UMBC,2,0,CAA,Am East
Duquesne,Youngstown State,1,2,A10,Horizon
East Carolina,George Mason,4,0,AAC,A10
Eastern Kentucky,Belmont,1,1,Atlantic Sun,MVC
Eastern Washington,Nebraska,0,6,Big Sky,Big Ten
FGCU,Texas A&M-Corpus Christi,4,0,Atlantic Sun,Southland
Fairleigh Dickinson,Vermont,0,1,Northeast,Am East
Florida International,Jacksonville,4,0,C-USA,Atlantic Sun
Fordham,Stonehill,2,0,A10,Northeast
Fresno State,UC Santa Barbara,0,0,Mountain West,Big West
Furman,North Greenville,4,0,Southern,Conference Carolinas
Georgia Southern,North Florida,4,1,Sun Belt,Atlantic Sun
Georgia State,Mercer,1,1,Sun Belt,Southern
Gonzaga,Weber State,9,2,WCC,Big Sky
Grambling State,Louisiana,0,3,SWAC,Sun Belt
Hawaii,Sacramento State,3,1,Big West,Big Sky
Howard,Hampton University,7,0,Northeast,CAA
Incarnate Word,UTRGV,2,0,Southland,WAC
Indiana,Morehead State,3,0,Big Ten,OVC
Indiana State,Marshall,1,1,MVC,Sun Belt
Iona University,Le Moyne,1,0,MAAC,Northeast
Iowa,Iowa State,2,1,Big Ten,Big 12
Kansas,Vanderbilt,1,1,Big 12,SEC
Kansas State,UTSA,2,0,Big 12,AAC
Kennesaw State,Troy,0,3,Atlantic Sun,Sun Belt
La Salle,Delaware,1,2,A10,CAA
Lehigh,Saint Joseph's,1,1,Patriot,A10
Lindenwood,Chicago State,4,2,OVC,Indep.
Longwood,Elon,0,0,Big South,CAA
Louisiana Tech,Louisiana-Monroe,3,3,C-USA,Sun Belt
Loyola (MD),Middle Tennessee,3,0,Patriot,C-USA
Loyola Marymount,CSUN,1,0,WCC,Big West
Maine,Holy Cross,1,1,Am East,Patriot
Marquette,Denver,0,0,Big East,Summit
Massachusetts-Lowell,Massachusetts,2,2,Am East,A10
Miami (FL),Florida,0,0,ACC,SEC
Mississippi State,Northwestern State,3,0,SEC,Southland
Missouri,Omaha,2,2,SEC,Summit
Montana,Montana State-Billings,4,0,Big Sky,Great Northwest
Mount St. Mary's,Towson,0,3,MAAC,CAA
Murray State,Kentucky,1,2,MVC,SEC
NC State,Rutgers,1,1,ACC,Big Ten
Navy,Maryland,3,3,Patriot,Big Ten
New Hampshire,Manhattan,2,0,Am East,MAAC
New Mexico,Cal State Fullerton,2,1,Mountain West,Big West
New Mexico State,Arizona State,1,4,C-USA,Pac-12
Niagara,St. Francis (Pa.),1,0,MAAC,Northeast
North Alabama,UT Chattanooga,0,1,Atlantic Sun,Southern
North Dakota,Minnesota State- Moorhead,2,0,Summit,Northern Sun
Northeastern,San Jose State,0,1,CAA,Mountain West
Northern Illinois,Eastern Illinois,3,0,MAC,OVC
Northern Kentucky,Miami (OH),1,0,Horizon,MAC
Ohio University,Cleveland State,1,0,MAC,Horizon
Oklahoma,Arkansas Pine Bluff,8,1,Big 12,SWAC
Oklahoma State,Florida Atlantic,3,0,Big 12,AAC
Oral Roberts,Little Rock,1,1,Summit,OVC
Oregon State,UC San Diego,2,0,Pac-12,Big West
Portland,Washington State,0,1,WCC,Pac-12
Purdue,Valparaiso,4,1,Big Ten,MVC
Richmond,William & Mary,0,1,A10,CAA
Sam Houston State,Lamar,0,1,C-USA,Southland
Samford,Jacksonville State,6,0,Southern,C-USA
San Diego State,Pepperdine,1,1,Mountain West,WCC
Seattle,San Diego,0,1,WAC,WCC
Seton Hall,Binghamton,3,0,Big East,Am East
South Alabama,Queens (N.C.),3,0,Sun Belt,Atlantic Sun
South Dakota,Wyoming,3,3,Summit,Mountain West
South Florida,Alabama A&M,5,1,AAC,SWAC
Southeast Missouri State,Evansville,0,0,OVC,MVC
Southern Illinois,UMKC,1,1,MVC,Summit
St. Bonaventure,Marist,0,0,A10,MAAC
Stephen F. Austin,Houston,1,5,WAC,Big 12
Stetson,Charleston Southern,1,5,Atlantic Sun,Big South
Stony Brook,Lafayette,3,1,CAA,Patriot
Syracuse,Auburn,1,2,ACC,SEC
Temple,Rider,0,0,AAC,MAAC
Tennessee,East Tennessee State,3,1,SEC,Southern
Texas A&M-Commerce,Tulsa,2,0,Southland,AAC
Texas State,North Texas,0,3,Sun Belt,AAC
Texas Tech,Ball State,4,1,Big 12,MAC
The Citadel,Francis Marion,5,0,Southern,Peach Belt
UC Davis,St. Mary's (CA),0,1,Big West,WCC
UC Irvine,Pacific,2,0,Big West,WCC
UNLV,UC Riverside,3,0,Mountain West,Big West
UT Martin,Appalachian State,0,2,OVC,Sun Belt
