Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
BYU,Kansas State,0,2,Big 12,Big 12
Winthrop,Presbyterian,1,0,Big South,Big South
East Carolina,Memphis,1,0,AAC,AAC
American,Navy,0,1,Patriot,Patriot
Boston University,Holy Cross,0,1,Patriot,Patriot
Canisius,Siena College,1,1,MAAC,MAAC
Georgia Southern,Georgia State,2,1,Sun Belt,Sun Belt
Grambling State,South Carolina State,0,5,SWAC,Indep.
Iona University,Rider,1,1,MAAC,MAAC
Lafayette,Army,2,0,Patriot,Patriot
Lehigh,Colgate,1,0,Patriot,Patriot
Loyola (MD),Bucknell,0,1,Patriot,Patriot
Manhattan,Fairfield,1,0,MAAC,MAAC
Niagara,Saint Peter's,6,0,MAAC,MAAC
Quinnipiac,Marist,6,1,MAAC,MAAC
Florida State,Notre Dame,4,1,ACC,ACC
Purdue,Penn State,0,0,Big Ten,Big Ten
Oklahoma State,BYU,0,3,Big 12,Big 12
UCF,Texas Tech,1,1,Big 12,Big 12
Arkansas,Florida,0,3,SEC,SEC
Saint Louis,Massachusetts,6,0,A10,A10
Indiana,Michigan State,1,1,Big Ten,Big Ten
Illinois,Wisconsin,0,1,Big Ten,Big Ten
Nebraska,Maryland,3,0,Big Ten,Big Ten
Rutgers,Michigan,0,2,Big Ten,Big Ten
Georgetown,Villanova,0,2,Big East,Big East
TCU,Houston,2,2,Big 12,Big 12
Akron,Ball State,1,2,MAC,MAC
Albany,UMBC,4,0,Am East,Am East
Arkansas Pine Bluff,South Carolina State,0,5,SWAC,Indep.
Austin Peay,Kennesaw State,0,0,Atlantic Sun,Atlantic Sun
Baylor,Cincinnati,2,2,Big 12,Big 12
Bellarmine,FGCU,1,0,Atlantic Sun,Atlantic Sun
Boise State,San Jose State,1,0,Mountain West,Mountain West
Bowling Green,Kent State,0,2,MAC,MAC
Cal Poly,CSU Bakersfield,0,2,Big West,Big West
California Baptist,Stephen F. Austin,4,1,WAC,WAC
Charlotte,Tulsa,0,3,AAC,AAC
Cleveland State,Robert Morris,1,2,Horizon,Horizon
College of Charleston,Monmouth,0,2,CAA,CAA
Colorado State,Colorado College,3,0,Mountain West,Mountain West
Creighton,Seton Hall,2,0,Big East,Big East
Dayton,George Mason,0,3,A10,A10
DePaul,Connecticut,5,0,Big East,Big East
Delaware State,Wagner,1,0,Northeast,Northeast
Denver,UMKC,0,1,Summit,Summit
Duquesne,George Washington,3,0,A10,A10
East Tennessee State,UNC Greensboro,0,1,Southern,Southern
Eastern Kentucky,Stetson,1,0,Atlantic Sun,Atlantic Sun
Fairleigh Dickinson,Howard,1,2,Northeast,Northeast
Florida Atlantic,SMU,2,0,AAC,AAC
