Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Oklahoma,BYU,0,6,Big 12,Big 12,12,d1
Cincinnati,Texas Tech,1,2,Big 12,Big 12,12,d1
Georgia State,Southern Mississippi,0,1,Sun Belt,Sun Belt,12,d1
Massachusetts-Lowell,NJIT,3,1,Am East,Am East,12,d1
New Hampshire,Vermont,1,2,Am East,Am East,12,d1
South Carolina State,Gardner-Webb,7,0,Indep.,Big South,12,d1
Texas State,Louisiana,1,2,Sun Belt,Sun Belt,12,d1
UCF,TCU,2,3,Big 12,Big 12,12,d1
West Virginia,Texas,1,3,Big 12,Big 12,12,d1
