Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
BYU,UCF,3,2,Big 12,Big 12,11
Iowa State,Texas Tech,0,1,Big 12,Big 12,11
Houston,Baylor,3,2,Big 12,Big 12,11
Kansas,Kansas State,1,2,Big 12,Big 12,11
Oklahoma State,Oklahoma,0,1,Big 12,Big 12,11
Texas,TCU,2,4,Big 12,Big 12,11
Utah Valley,Southern Utah,3,0,WAC,WAC,11
West Virginia,Cincinnati,1,1,Big 12,Big 12,11
Mercer,The Citadel,0,1,Southern,Southern,11
South Dakota State,Omaha,1,1,Summit,Summit,11
Wofford,VMI,2,1,Southern,Southern,11
American,Loyola (MD),2,1,Patriot,Patriot,11
Army,Boston University,2,1,Patriot,Patriot,11
Canisius,Niagara,1,2,MAAC,MAAC,11
Charleston Southern,USC Upstate,2,1,Big South,Big South,11
Colgate,Holy Cross,3,0,Patriot,Patriot,11
Detroit Mercy,Oakland,1,2,Horizon,Horizon,11
Fairfield,Saint Peter's,0,4,MAAC,MAAC,11
Georgia Southern,Troy,3,2,Sun Belt,Sun Belt,11
IUPUI,Purdue Fort Wayne,2,0,Horizon,Horizon,11
Lehigh,Bucknell,2,1,Patriot,Patriot,11
Manhattan,Quinnipiac,2,2,MAAC,MAAC,11
Navy,Lafayette,0,1,Patriot,Patriot,11
Presbyterian,Longwood,1,1,Big South,Big South,11
Rider,Mount St. Mary's,0,1,MAAC,MAAC,11
Siena College,Iona University,1,2,MAAC,MAAC,11
UNC Asheville,High Point,0,2,Big South,Big South,11
Winthrop,Gardner-Webb,1,2,Big South,Big South,11
Wisconsin-Milwaukee,Wisconsin-Green Bay,4,0,Horizon,Horizon,11
Wright State,Northern Kentucky,0,0,Horizon,Horizon,11
Youngstown State,Robert Morris,1,2,Horizon,Horizon,11
Florida State,NC State,5,0,ACC,ACC,11
UCLA,California,2,0,Pac-12,Pac-12,11
Tulsa,Memphis,0,2,AAC,AAC,11
USC,Stanford,0,0,Pac-12,Pac-12,11
Notre Dame,Clemson,2,0,ACC,ACC,11
Boston College,North Carolina,1,1,ACC,ACC,11
Pittsburgh,Virginia Tech,2,1,ACC,ACC,11
Arkansas,Mississippi State,1,0,SEC,SEC,11
Utah,Arizona State,0,2,Pac-12,Pac-12,11
Florida,South Carolina,0,0,SEC,SEC,11
South Alabama,Arkansas State,1,3,Sun Belt,Sun Belt,11
Xavier,Marquette,0,3,Big East,Big East,11
Albany,Vermont,0,3,Am East,Am East,11
Ball State,Central Michigan,2,0,MAC,MAC,11
Boise State,Utah State,1,0,Mountain West,Mountain West,11
Bowling Green,Northern Illinois,1,0,MAC,MAC,11
Bryant,Massachusetts-Lowell,0,0,Am East,Am East,11
Buffalo,Kent State,2,1,MAC,MAC,11
Butler,Creighton,1,3,Big East,Big East,11
CSU Bakersfield,Cal State Fullerton,4,0,Big West,Big West,11
CSUN,UC Riverside,0,0,Big West,Big West,11
Cal Poly,UC San Diego,0,1,Big West,Big West,11
Central Connecticut,Wagner,2,1,Northeast,Northeast,11
Colorado,Arizona,0,2,Pac-12,Pac-12,11
