Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Denver,Northern Colorado,3,1,Summit,Big Sky,3
Detroit Mercy,Bowling Green,1,2,Horizon,MAC,3
East Carolina,UNC Wilmington,2,0,AAC,CAA,3
Eastern Washington,University of Providence,1,16,Big Sky,Frontier,3
Evansville,Bellarmine,0,2,MVC,Atlantic Sun,3
Fairleigh Dickinson,Hofstra,2,1,Northeast,CAA,3
Florida Atlantic,Louisiana,1,2,AAC,Sun Belt,3
Florida International,Stetson,4,0,C-USA,Atlantic Sun,3
Fordham,Stony Brook,2,2,A10,CAA,3
George Washington,Youngstown State,1,1,A10,Horizon,3
Gonzaga,Oklahoma,3,0,WCC,Big 12,3
Grand Canyon,UTSA,2,0,WAC,AAC,3
High Point,FGCU,1,1,Big South,Atlantic Sun,3
Houston Christian,Sam Houston State,2,1,Southland,C-USA,3
Idaho,Nevada,1,1,Big Sky,Mountain West,3
Illinois State,North Dakota,0,3,MVC,Summit,3
Iona University,Wagner,0,1,MAAC,Northeast,3
Kansas,Arkansas State,0,3,Big 12,Sun Belt,3
Kentucky,UT Martin,4,0,SEC,OVC,3
LIU,NJIT,0,3,Northeast,Am East,3
La Salle,Seton Hall,1,3,A10,Big East,3
Lafayette,Saint Joseph's,2,1,Patriot,A10,3
Lindenwood,Murray State,1,0,OVC,MVC,3
Little Rock,Central Arkansas,0,0,OVC,Atlantic Sun,3
Longwood,Liberty,2,1,Big South,C-USA,3
Louisiana-Monroe,Texas A&M-Commerce,1,3,Sun Belt,Southland,3
Louisville,Illinois,2,1,ACC,Big Ten,3
Loyola (MD),Manhattan,0,3,Patriot,MAAC,3
Loyola Marymount,CSU Bakersfield,0,3,WCC,Big West,3
Loyola-Chicago,Western Illinois,0,1,A10,OVC,3
Marshall,Ohio University,0,1,Sun Belt,MAC,3
Massachusetts,Syracuse,0,2,A10,ACC,3
Merrimack,Maine,1,1,Northeast,Am East,3
Miami (OH),Southern Indiana,0,1,MAC,OVC,3
Michigan,Boston College,1,0,Big Ten,ACC,3
Middle Tennessee,Lipscomb,4,2,C-USA,Atlantic Sun,3
Mississippi,Samford,0,0,SEC,Southern,3
Mississippi State,Iowa,0,1,SEC,Big Ten,3
Missouri State,Oral Roberts,2,2,MVC,Summit,3
Montana,Utah Tech,0,4,Big Sky,WAC,3
Nebraska,Missouri,5,0,Big Ten,SEC,3
New Mexico State,Incarnate Word,0,0,C-USA,Southland,3
Northern Arizona,Oregon,2,3,Big Sky,Pac-12,3
Ohio State,Oakland,6,0,Big Ten,Horizon,3
Omaha,UC Santa Barbara,1,0,Summit,Big West,3
Oregon State,Pacific,3,1,Pac-12,WCC,3
Portland,UC Davis,0,1,WCC,Big West,3
Presbyterian,Navy,1,3,Big South,Patriot,3
Princeton,Rutgers,0,0,Ivy,Big Ten,3
Purdue Fort Wayne,Eastern Illinois,0,0,Horizon,OVC,3
Rhode Island,UC San Diego,0,0,A10,Big West,3
Rice,Houston,1,2,AAC,Big 12,3
Richmond,Radford,0,0,A10,Big South,3
Rider,Albany,3,0,MAAC,Am East,3
Robert Morris,Indiana State,2,1,Horizon,MVC,3
SIUE,Southern Illinois,1,1,OVC,MVC,3
Sacramento State,UC Riverside,0,1,Big Sky,Big West,3
San Diego,New Mexico,1,0,WCC,Mountain West,3
San Jose State,UC Irvine,3,3,Mountain West,Big West,3
Seattle,CSUN,3,0,WAC,Big West,3
Siena College,New Hampshire,6,0,MAAC,Am East,3
Southern Mississippi,Northwestern State,0,3,Sun Belt,Southland,3
St. Bonaventure,Niagara,1,2,A10,MAAC,3
St. John's,Penn,0,1,Big East,Ivy,3
St. Mary's (CA),James Madison,1,1,WCC,Sun Belt,3
Stephen F. Austin,SMU,3,1,WAC,AAC,3
Stonehill,Massachusetts-Lowell,1,1,Northeast,Am East,3
Temple,Lehigh,0,1,AAC,Patriot,3
Tennessee,Indiana,2,2,SEC,Big Ten,3
Tennessee Tech,East Tennessee State,1,1,OVC,Southern,3
Texas A&M,Tulsa,2,0,SEC,AAC,3
Texas State,Oklahoma State,3,0,Sun Belt,Big 12,3
Texas Tech,North Texas,1,6,Big 12,AAC,3
Towson,UMBC,8,1,CAA,Am East,3
Troy,Alabama A&M,2,0,Sun Belt,SWAC,3
UIC,Marquette,3,0,MVC,Big East,3
UNC Asheville,Wofford,0,1,Big South,Southern,3
UT Chattanooga,Austin Peay,4,1,Southern,Atlantic Sun,3
VCU,Maryland,0,0,A10,Big Ten,3
Valparaiso,Chicago State,1,5,MVC,Indep.,3
Vanderbilt,Kansas State,0,1,SEC,Big 12,3
Vermont,Sacred Heart,1,2,Am East,Northeast,3
Virginia Tech,Old Dominion,0,0,ACC,Sun Belt,3
Washington,Yale,2,1,Pac-12,Ivy,3
Washington State,San Diego State,2,1,Pac-12,Mountain West,3
Weber State,UNLV,0,2,Big Sky,Mountain West,3
Western Carolina,Georgia State,2,2,Southern,Sun Belt,3
William & Mary,George Mason,4,0,CAA,A10,3
Wisconsin,LSU,3,0,Big Ten,SEC,3
Long Beach State,Harvard,3,2,Big West,Ivy,3
Abilene Christian,Texas-Permian Basin,5,0,WAC,Heartland,3
Belmont,Cleveland State,2,1,MVC,Horizon,3
Fresno State,Pepperdine,2,0,Mountain West,WCC,3
Idaho State,South Dakota,2,3,Big Sky,Summit,3
Jacksonville State,Alcorn State,0,4,C-USA,SWAC,3
Lamar,South Alabama,0,3,Southland,Sun Belt,3
McNeese State,Texas Southern,0,3,Southland,SWAC,3
Mount St. Mary's,Hampton University,1,2,MAAC,CAA,3
Nicholls,Jackson State,1,4,Southland,SWAC,3
Prairie View A&M,Texas A&M-Corpus Christi,0,6,SWAC,Southland,3
Quinnipiac,Drexel,2,1,MAAC,CAA,3
Southern University,Southeastern Louisiana,1,0,SWAC,Southland,3
Talladega College,Alabama State,4,0,Gulf Coast Athletic,SWAC,3
Tarleton State,Grambling State,2,2,WAC,SWAC,3
Utah State,South Dakota State,2,1,Mountain West,Summit,3
Western Kentucky,North Alabama,0,0,C-USA,Atlantic Sun,3
Stanford,Duke,4,0,Pac-12,ACC,3
Utah Valley,BYU,6,1,WAC,Big 12,3
Saint Louis,SIUE,1,5,A10,OVC,3
Lyon College,Arkansas Pine Bluff,10,0,American Midwest,SWAC,3
Princeton,Army,3,4,Ivy,Patriot,3
Winthrop,South Carolina State,2,7,Big South,Indep.,3
Florida State,South Florida,5,1,ACC,AAC,3
Penn State,Monmouth,1,4,Big Ten,CAA,3
North Carolina,Arkansas,1,3,ACC,SEC,3
Samford,Alabama,0,0,Southern,SEC,3
Virginia,VCU,1,4,ACC,A10,3
Michigan State,Notre Dame,2,1,Big Ten,ACC,3
South Carolina,Coastal Carolina,5,0,SEC,Sun Belt,3
Pittsburgh,Bowling Green,1,5,ACC,MAC,3
TCU,Texas A&M,1,0,Big 12,SEC,3
Brown,UC San Diego,0,2,Ivy,Big West,3
Santa Clara,James Madison,2,1,WCC,Sun Belt,3
Texas,SMU,6,0,Big 12,AAC,3
Pepperdine,Harvard,1,1,WCC,Ivy,3
Vanderbilt,Northwestern,3,3,SEC,Big Ten,3
Georgia,Southern Mississippi,4,0,SEC,Sun Belt,3
Akron,Boston College,2,0,MAC,ACC,3
Appalachian State,FGCU,3,0,Sun Belt,Atlantic Sun,3
Arizona,Boise State,1,1,Pac-12,Mountain West,3
Arizona State,Kent State,1,1,Pac-12,MAC,3
Arkansas State,Southeastern Louisiana,1,0,Sun Belt,Southland,3
Auburn,American,0,3,SEC,Patriot,3
Austin Peay,Morehead State,2,1,Atlantic Sun,OVC,3
Bellarmine,Chicago State,1,2,Atlantic Sun,Indep.,3
Butler,Baylor,0,2,Big East,Big 12,3
Cal State Fullerton,Utah,2,2,Big West,Pac-12,3
California,Cal Poly,0,2,Pac-12,Big West,3
California Baptist,UTSA,0,0,WAC,AAC,3
Campbell,Davidson,0,1,CAA,A10,3
Charlotte,Virginia Tech,1,1,AAC,ACC,3
Clemson,Western Carolina,0,5,ACC,Southern,3
Colgate,Vermont,2,0,Patriot,Am East,3
Colorado,Purdue,0,3,Pac-12,Big Ten,3
Connecticut,New Hampshire,2,0,Big East,Am East,3
Cornell,Syracuse,1,0,Ivy,ACC,3
Delaware,Richmond,0,0,CAA,A10,3
Denver,NC State,4,2,Summit,ACC,3
Detroit Mercy,Toledo,0,3,Horizon,MAC,3
Drake,Creighton,2,2,MVC,Big East,3
Duquesne,St. Francis (Pa.),0,2,A10,Northeast,3
Eastern Kentucky,Eastern Michigan,2,1,Atlantic Sun,MAC,3
Eastern Washington,San Diego State,0,2,Big Sky,Mountain West,3
Elon,UNC Greensboro,2,0,CAA,Southern,3
Florida International,Louisiana,2,2,C-USA,Sun Belt,3
Fordham,Fairfield,1,3,A10,MAAC,3
Fresno State,Long Beach State,1,0,Mountain West,Big West,3
George Mason,Villanova,3,0,A10,Big East,3
Georgia Southern,College of Charleston,3,1,Sun Belt,CAA,3
Georgia State,Mississippi,0,1,Sun Belt,SEC,3
Gonzaga,Utah Tech,0,3,WCC,WAC,3
Grambling State,Little Rock,1,1,SWAC,OVC,3
Grand Canyon,Oregon,1,0,WAC,Pac-12,3
High Point,East Carolina,1,3,Big South,AAC,3
Hofstra,Saint Joseph's,1,0,CAA,A10,3
Holy Cross,Siena College,2,1,Patriot,MAAC,3
Houston,Louisiana Tech,1,7,Big 12,C-USA,3
Houston Christian,Texas State,3,1,Southland,Sun Belt,3
Howard,Longwood,1,0,Northeast,Big South,3
IUPUI,Tennessee Tech,5,2,Horizon,OVC,3
Idaho State,South Dakota State,2,3,Big Sky,Summit,3
Illinois State,Oakland,2,2,MVC,Horizon,3
Indiana,Northern Illinois,2,0,Big Ten,MAC,3
Iowa,Southeast Missouri State,4,0,Big Ten,OVC,3
Iowa State,UC Santa Barbara,2,2,Big 12,Big West,3
Jackson State,Louisiana-Monroe,1,2,SWAC,Sun Belt,3
Jacksonville,Presbyterian,2,2,Atlantic Sun,Big South,3
Kansas,Missouri,2,2,Big 12,SEC,3
Kansas State,Nebraska,4,0,Big 12,Big Ten,3
Kennesaw State,Florida,1,1,Atlantic Sun,SEC,3
Kentucky,Illinois,1,0,SEC,Big Ten,3
LSU,Texas A&M-Commerce,0,6,SEC,Southland,3
La Salle,Bucknell,1,3,A10,Patriot,3
Le Moyne,Rhode Island,1,1,Northeast,A10,3
Lehigh,Penn,1,0,Patriot,Ivy,3
Liberty,West Virginia,3,1,C-USA,Big 12,3
Lindenwood,Southern Illinois,1,1,OVC,MVC,3
Lipscomb,Evansville,3,0,Atlantic Sun,MVC,3
Louisville,Central Michigan,3,0,ACC,MAC,3
Loyola (MD),Rice,0,2,Patriot,AAC,3
Loyola-Chicago,Ball State,1,2,A10,MAC,3
Manhattan,LIU,0,0,MAAC,Northeast,3
Marist,Seton Hall,1,1,MAAC,Big East,3
Marshall,Gardner-Webb,0,3,Sun Belt,Big South,3
Maryland,Towson,0,1,Big Ten,CAA,3
Massachusetts,Bryant,0,2,A10,Am East,3
Massachusetts-Lowell,Drexel,1,0,Am East,CAA,3
McNeese State,South Alabama,1,2,Southland,Sun Belt,3
Mercer,North Florida,1,1,Southern,Atlantic Sun,3
Merrimack,Dartmouth,1,0,Northeast,Ivy,3
Michigan,Cincinnati,1,0,Big Ten,Big 12,3
Middle Tennessee,Cleveland State,3,0,C-USA,Horizon,3
Minnesota,St. Thomas (Minn.),0,5,Big Ten,Summit,3
Mississippi State,Miami (FL),2,1,SEC,ACC,3
NJIT,Fairleigh Dickinson,3,2,Am East,Northeast,3
Nevada,UC Riverside,1,1,Mountain West,Big West,3
Nevada,UC Riverside,1,1,Mountain West,Big West,3
New Mexico State,Pacific,3,1,C-USA,WCC,3
Niagara,Buffalo,0,2,MAAC,MAC,3
Nicholls,Texas Southern,1,4,Southland,SWAC,3
North Alabama,Alcorn State,2,0,Atlantic Sun,SWAC,3
Northeastern,Boston University,1,1,CAA,Patriot,3
Northern Iowa,Omaha,2,3,MVC,Summit,3
Northwestern State,Alabama A&M,0,1,Southland,SWAC,3
Ohio University,Northern Kentucky,0,0,MAC,Horizon,3
Oklahoma,Montana,0,1,Big 12,Big Sky,3
Oklahoma State,Central Arkansas,2,5,Big 12,Atlantic Sun,3
Old Dominion,William & Mary,1,1,Sun Belt,CAA,3
Oral Roberts,North Texas,0,5,Summit,AAC,3
Oregon State,Portland,1,1,Pac-12,WCC,3
Providence,Temple,5,0,Big East,AAC,3
Purdue Fort Wayne,Valparaiso,1,0,Horizon,MVC,3
Radford,Hampton University,0,5,Big South,CAA,3
Rider,Delaware State,1,4,MAAC,Northeast,3
Robert Morris,St. Bonaventure,2,2,Horizon,A10,3
Sacred Heart,Maine,1,1,Northeast,Am East,3
Saint Peter's,Lafayette,0,4,MAAC,Patriot,3
Sam Houston State,Texas A&M-Corpus Christi,2,2,C-USA,Southland,3
San Francisco,Columbia,0,0,WCC,Ivy,3
Seattle,Yale,4,0,WAC,Ivy,3
Southern Indiana,North Dakota,2,0,OVC,Summit,3
Southern Utah,Northern Arizona,1,1,WAC,Big Sky,3
St. Mary's (CA),San Jose State,2,0,WCC,Mountain West,3
Stephen F. Austin,UAB,1,0,WAC,AAC,3
Stetson,Wisconsin-Green Bay,1,1,Atlantic Sun,Horizon,3
Tarleton State,Lamar,3,0,WAC,Southland,3
Texas Tech,Abilene Christian,0,3,Big 12,WAC,3
The Citadel,North Dakota State,1,1,Southern,Summit,3
Troy,Alabama State,4,1,Sun Belt,SWAC,3
Tulsa,Missouri State,1,3,AAC,MVC,3
UC Davis,Loyola Marymount,1,0,Big West,WCC,3
UC Irvine,Sacramento State,2,0,Big West,Big Sky,3
UCF,Florida Atlantic,1,2,Big 12,AAC,3
UMBC,George Washington,0,2,Am East,A10,3
UMKC,UIC,1,1,Summit,MVC,3
UNC Asheville,Furman,1,2,Big South,Southern,3
UNC Wilmington,Queens (N.C.),0,3,CAA,Atlantic Sun,3
UNLV,Hawaii,1,1,Mountain West,Big West,3
USC Upstate,VMI,4,2,Big South,Southern,3
UT Chattanooga,Jacksonville State,3,1,Southern,C-USA,3
UT Martin,Murray State,1,2,OVC,MVC,3
UTEP,Incarnate Word,0,1,C-USA,Southland,3
UTRGV,Concordia-Texas,1,1,WAC,American Southwest,3
Utah State,South Dakota,0,0,Mountain West,Summit,3
Wagner,Binghamton,2,2,Northeast,Am East,3
Wake Forest,Iona University,0,6,ACC,MAAC,3
Washington,CSUN,0,3,Pac-12,Big West,3
Western Kentucky,Belmont,0,0,C-USA,MVC,3
Western Michigan,Wisconsin,1,2,MAC,Big Ten,3
Wisconsin-Milwaukee,Western Illinois,0,4,Horizon,OVC,3
Wofford,Navy,1,3,Southern,Patriot,3
Wright State,Dayton,3,0,Horizon,A10,3
Wyoming,Northern Colorado,2,0,Mountain West,Big Sky,3
Youngstown State,Indiana State,0,2,Horizon,MVC,3
