Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Charleston Southern,Jacksonville,2,2,Big South,Atlantic Sun,3
Rutgers,Fairleigh Dickinson,0,7,Big Ten,Northeast,3
American,Longwood,0,0,Patriot,Big South,3
Central Baptist,Arkansas Pine Bluff,0,0,Midlands Collegiate,SWAC,3
Northern Iowa,Saint Ambrose,0,3,MVC,Midwest Collegiate,3
South Dakota,Morningside,0,7,Summit,Great Plains Athletic,3
Providence,Brown,0,1,Big East,Ivy,3
Marist,Cornell,2,0,MAAC,Ivy,3
Morehead State,Wright State,0,0,OVC,Horizon,3
Utah,Utah Valley,0,5,Pac-12,WAC,3
Winthrop,Southern Wesleyan,0,9,Big South,Conference Carolinas,3
BYU,UCLA,1,3,Big 12,Pac-12,3
Penn State,UCF,1,0,Big Ten,Big 12,3
North Carolina,Gardner-Webb,0,5,ACC,Big South,3
Alabama,Miami (FL),0,0,SEC,ACC,3
Virginia,West Virginia,1,2,ACC,Big 12,3
Arkansas,Wisconsin-Milwaukee,5,2,SEC,Horizon,3
South Carolina,Elon,0,2,SEC,CAA,3
Pittsburgh,Duquesne,6,1,ACC,A10,3
Saint Louis,Xavier,0,1,A10,Big East,3
TCU,UAB,0,0,Big 12,AAC,3
Santa Clara,Columbia,1,0,WCC,Ivy,3
USC,Purdue,4,0,Pac-12,Big Ten,3
Iowa State,Memphis,4,1,Big 12,AAC,3
Texas,UTRGV,0,5,Big 12,WAC,3
Northwestern,Boston University,3,0,Big Ten,Patriot,3
Michigan State,Eastern Michigan,6,0,Big Ten,MAC,3
Georgia,Minnesota,0,0,SEC,Big Ten,3
Air Force,Hawaii,1,3,Mountain West,Big West,3
Akron,Dayton,5,2,MAC,A10,3
Arizona,Kent State,5,0,Pac-12,MAC,3
Arizona State,Boise State,0,0,Pac-12,Mountain West,3
Auburn,Wake Forest,2,0,SEC,ACC,3
Baylor,Louisiana Tech,0,3,Big 12,C-USA,3
Binghamton,Le Moyne,0,3,Am East,Northeast,3
Bryant,Fairfield,1,0,Am East,MAAC,3
Bucknell,Villanova,1,1,Patriot,Big East,3
Butler,IUPUI,0,3,Big East,Horizon,3
Cal State Fullerton,Southern Utah,1,1,Big West,WAC,3
California,San Francisco,1,5,Pac-12,WCC,3
California Baptist,UTEP,6,0,WAC,C-USA,3
Canisius,Buffalo,0,0,MAAC,MAC,3
Central Connecticut,Holy Cross,1,1,Northeast,Patriot,3
Charlotte,UNC Greensboro,0,0,AAC,Southern,3
Cincinnati,Central Michigan,1,1,Big 12,MAC,3
Clemson,Furman,1,4,ACC,Southern,3
Coastal Carolina,North Dakota State,0,1,Sun Belt,Summit,3
College of Charleston,Mercer,2,1,CAA,Southern,3
Colorado,NC State,2,1,Pac-12,ACC,3
Colorado State,UMKC,1,0,Mountain West,Summit,3
Connecticut,Army,0,0,Big East,Patriot,3
Dartmouth,Colgate,0,1,Ivy,Patriot,3
Davidson,Charleston Southern,2,0,A10,Big South,3
DePaul,Eastern Kentucky,1,2,Big East,Atlantic Sun,3
Delaware,St. Francis (Pa.),1,4,CAA,Northeast,3
Delaware State,Saint Peter's,3,1,Northeast,MAAC,3
