Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
Oklahoma,BYU,0,2,Big 12,Big 12
Boston University,Yale,1,1,Patriot,Ivy
Cornell,Albany,4,0,Ivy,Am East
Holy Cross,Chicago State,0,3,Patriot,Indep.
Navy,Delaware State,0,5,Patriot,Northeast
Princeton,Bucknell,0,1,Ivy,Patriot
Santa Clara,San Francisco,1,0,WCC,WCC
Fairfield,Siena College,1,2,MAAC,MAAC
Gardner-Webb,High Point,1,1,Big South,Big South
Iona University,Marist,1,1,MAAC,MAAC
Longwood,Radford,3,1,Big South,Big South
Loyola Marymount,Pepperdine,3,0,WCC,WCC
Mount St. Mary's,Quinnipiac,0,1,MAAC,MAAC
Pacific,Gonzaga,2,5,WCC,WCC
Presbyterian,Charleston Southern,1,1,Big South,Big South
Rider,Canisius,0,1,MAAC,MAAC
Saint Peter's,Manhattan,1,2,MAAC,MAAC
San Diego,St. Mary's (CA),4,2,WCC,WCC
UNC Asheville,Winthrop,0,4,Big South,Big South
USC Upstate,South Carolina State,0,10,Big South,Indep.
Florida State,Pittsburgh,3,2,ACC,ACC
Arizona,UCLA,4,1,Pac-12,Pac-12
Memphis,UAB,4,0,AAC,AAC
Stanford,Oregon State,1,3,Pac-12,Pac-12
Arizona State,USC,1,0,Pac-12,Pac-12
North Carolina,Notre Dame,1,1,ACC,ACC
Penn State,Indiana,2,0,Big Ten,Big Ten
Clemson,Louisville,0,3,ACC,ACC
LSU,Arkansas,1,1,SEC,SEC
Saint Louis,Duquesne,0,4,A10,A10
Nebraska,Purdue,0,2,Big Ten,Big Ten
Washington State,Colorado,1,0,Pac-12,Pac-12
Michigan State,Illinois,2,1,Big Ten,Big Ten
Texas A&M,South Carolina,0,1,SEC,SEC
Providence,Xavier,0,0,Big East,Big East
Maryland,Wisconsin,0,3,Big Ten,Big Ten
Coastal Carolina,South Alabama,0,1,Sun Belt,Sun Belt
Abilene Christian,Grand Canyon,1,1,WAC,WAC
Air Force,Fresno State,2,4,Mountain West,Mountain West
Appalachian State,Southern Mississippi,1,0,Sun Belt,Sun Belt
Boise State,Nevada,1,2,Mountain West,Mountain West
Bowling Green,Central Michigan,1,5,MAC,MAC
Bryant,Chicago State,2,5,Am East,Indep.
Buffalo,Toledo,3,0,MAC,MAC
Butler,Seton Hall,2,2,Big East,Big East
CSU Bakersfield,UC Irvine,5,1,Big West,Big West
California,Oregon,1,8,Pac-12,Pac-12
Campbell,Elon,1,1,CAA,CAA
Connecticut,Villanova,0,4,Big East,Big East
DePaul,Creighton,1,1,Big East,Big East
Delaware,Hampton University,1,9,CAA,CAA
Drexel,UNC Wilmington,2,0,CAA,CAA
Eastern Michigan,Akron,2,1,MAC,MAC
Evansville,Indiana State,2,2,MVC,MVC
Florida,Auburn,1,0,SEC,SEC
George Mason,St. Bonaventure,3,1,A10,A10
George Washington,Davidson,2,3,A10,A10
Georgia,Kentucky,1,0,SEC,SEC
Georgia Southern,Marshall,4,1,Sun Belt,Sun Belt
Georgia State,James Madison,0,0,Sun Belt,Sun Belt
Illinois State,UIC,1,4,MVC,MVC
Kent State,Western Michigan,2,0,MAC,MAC
La Salle,Loyola-Chicago,0,0,A10,A10
Lindenwood,Eastern Illinois,2,0,OVC,OVC
Little Rock,Western Illinois,1,0,OVC,OVC
Louisiana,Arkansas State,1,3,Sun Belt,Sun Belt
Louisiana-Monroe,Troy,3,0,Sun Belt,Sun Belt
Marquette,Georgetown,5,0,Big East,Big East
Massachusetts,Saint Joseph's,0,2,A10,A10
Miami (OH),Ohio University,0,1,MAC,MAC
Michigan,Iowa,1,1,Big Ten,Big Ten
Mississippi,Alabama,1,0,SEC,SEC
Mississippi State,Vanderbilt,0,0,SEC,SEC
Missouri,Tennessee,2,3,SEC,SEC
Missouri State,Southern Illinois,0,2,MVC,MVC
Monmouth,Hofstra,2,0,CAA,CAA
Montana,Sacramento State,2,0,Big Sky,Big Sky
Morehead State,Tennessee Tech,2,1,OVC,OVC
Murray State,Drake,2,1,MVC,MVC
NC State,Syracuse,0,2,ACC,ACC
New Mexico,Colorado State,2,3,Mountain West,Mountain West
North Dakota State,Denver,0,1,Summit,Summit
North Texas,Charlotte,2,1,AAC,AAC
Northeastern,Stony Brook,0,0,CAA,CAA
Northern Illinois,Ball State,0,1,MAC,MAC
Northwestern,Minnesota,3,0,Big Ten,Big Ten
Ohio State,Rutgers,1,0,Big Ten,Big Ten
Oral Roberts,South Dakota State,1,1,Summit,Summit
Rice,South Florida,1,1,AAC,AAC
Richmond,Rhode Island,1,0,A10,A10
SMU,East Carolina,0,1,AAC,AAC
San Diego State,Wyoming,1,5,Mountain West,Mountain West
San Jose State,Colorado College,2,1,Mountain West,Mountain West
Seattle,Southern Utah,4,0,WAC,WAC
Southern Indiana,Southeast Missouri State,0,0,OVC,OVC
St. Thomas (Minn.),North Dakota,0,0,Summit,Summit
Stonehill,Merrimack,5,0,Northeast,Northeast
Tarleton State,California Baptist,3,1,WAC,WAC
Texas State,Old Dominion,2,1,Sun Belt,Sun Belt
Tulsa,Temple,5,0,AAC,AAC
UC Davis,Cal Poly,0,1,Big West,Big West
UC San Diego,CSUN,5,3,Big West,Big West
UMKC,South Dakota,2,0,Summit,Summit
UT Martin,SIUE,0,0,OVC,OVC
UTSA,Florida Atlantic,0,0,AAC,AAC
Utah State,UNLV,2,0,Mountain West,Mountain West
Utah Valley,Utah Tech,0,7,WAC,WAC
VCU,Fordham,3,1,A10,A10
Valparaiso,Northern Iowa,0,2,MVC,MVC
Virginia,Miami (FL),0,1,ACC,ACC
Virginia Tech,Duke,1,0,ACC,ACC
Wagner,Fairleigh Dickinson,1,2,Northeast,Northeast
Wake Forest,Boston College,1,1,ACC,ACC
Washington,Utah,3,1,Pac-12,Pac-12
William & Mary,Towson,3,0,CAA,CAA
Alabama A&M,Prairie View A&M,0,2,SWAC,SWAC
Alabama State,Texas Southern,1,2,SWAC,SWAC
Arkansas Pine Bluff,Southern University,1,0,SWAC,SWAC
Eastern Washington,Northern Arizona,1,0,Big Sky,Big Sky
Grambling State,Jackson State,2,1,SWAC,SWAC
Hawaii,UC Santa Barbara,0,1,Big West,Big West
Holy Cross,Navy,0,3,Patriot,Patriot
Idaho,Northern Colorado,4,1,Big Sky,Big Sky
Incarnate Word,McNeese State,2,0,Southland,Southland
Texas A&M-Commerce,Nicholls,3,0,Southland,Southland
Texas A&M-Corpus Christi,Lamar,1,0,Southland,Southland
Cornell,Brown,1,2,Ivy,Ivy
Santa Clara,Loyola Marymount,2,0,WCC,WCC
Army,Colgate,0,2,Patriot,Patriot
