Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Texas,BYU,2,3,Big 12,Big 12,7
Fordham,Yale,1,4,A10,Ivy,7
Navy,Marymount (Va.),0,11,Patriot,Atlantic East Conference,7
Lafayette,Princeton,1,1,Patriot,Ivy,7
Cornell,Colgate,0,1,Ivy,Patriot,7
Monmouth,Elon,1,0,CAA,CAA,7
Gardner-Webb,Longwood,0,4,Big South,Big South,7
High Point,Radford,1,1,Big South,Big South,7
Penn,Iona University,0,3,Ivy,MAAC,7
Saint Peter's,Siena College,1,2,MAAC,MAAC,7
UNC Asheville,Presbyterian,1,4,Big South,Big South,7
USC Upstate,Winthrop,4,0,Big South,Big South,7
Michigan,Penn State,1,1,Big Ten,Big Ten,7
Washington,UCLA,3,2,Pac-12,Pac-12,7
Stanford,Arizona State,1,2,Pac-12,Pac-12,7
BYU,Cincinnati,1,1,Big 12,Big 12,7
Missouri,Arkansas,0,1,SEC,SEC,7
Memphis,SMU,1,2,AAC,AAC,7
Washington State,USC,2,1,Pac-12,Pac-12,7
Georgetown,Connecticut,0,0,Big East,Big East,7
Texas Tech,Oklahoma,0,2,Big 12,Big 12,7
Ohio State,Indiana,2,1,Big Ten,Big Ten,7
Oregon,Colorado,3,1,Pac-12,Pac-12,7
Texas,West Virginia,0,0,Big 12,Big 12,7
Michigan State,Maryland,5,0,Big Ten,Big Ten,7
George Mason,Saint Louis,3,0,A10,A10,7
Austin Peay,Central Arkansas,1,2,Atlantic Sun,Atlantic Sun,7
Bellarmine,Jacksonville,4,2,Atlantic Sun,Atlantic Sun,7
Belmont,Illinois State,1,1,MVC,MVC,7
Binghamton,Albany,2,2,Am East,Am East,7
Boise State,Wyoming,3,1,Mountain West,Mountain West,7
Bowling Green,Akron,1,0,MAC,MAC,7
Buffalo,Miami (OH),2,0,MAC,MAC,7
Butler,Providence,1,1,Big East,Big East,7
CSUN,CSU Bakersfield,0,4,Big West,Big West,7
Cal Poly,Cal State Fullerton,1,2,Big West,Big West,7
California,Arizona,0,2,Pac-12,Pac-12,7
Central Connecticut,Howard,1,2,Northeast,Northeast,7
Central Michigan,Western Michigan,3,1,MAC,MAC,7
Creighton,Marquette,3,1,Big East,Big East,7
Dayton,Fordham,0,0,A10,A10,7
Delaware,Northeastern,1,1,CAA,CAA,7
Delaware State,Le Moyne,0,0,Northeast,Northeast,7
Drake,Indiana State,0,2,MVC,MVC,7
Drexel,College of Charleston,0,1,CAA,CAA,7
Duquesne,Massachusetts,1,1,A10,A10,7
East Tennessee State,UT Chattanooga,0,1,Southern,Southern,7
Eastern Illinois,Morehead State,1,1,OVC,OVC,7
Eastern Kentucky,North Florida,3,0,Atlantic Sun,Atlantic Sun,7
Eastern Washington,Montana,1,1,Big Sky,Big Sky,7
FGCU,Kennesaw State,3,1,Atlantic Sun,Atlantic Sun,7
Fairleigh Dickinson,Stonehill,0,3,Northeast,Northeast,7
Florida Atlantic,UAB,1,1,AAC,AAC,7
Furman,The Citadel,1,1,Southern,Southern,7
George Washington,Saint Joseph's,1,3,A10,A10,7
Hampton University,Elon,9,0,CAA,CAA,7
Hofstra,William & Mary,0,1,CAA,CAA,7
Iowa State,Houston,1,2,Big 12,Big 12,7
Kansas,Baylor,0,0,Big 12,Big 12,7
Kent State,Eastern Michigan,2,1,MAC,MAC,7
La Salle,VCU,0,1,A10,A10,7
Lindenwood,Southeast Missouri State,2,0,OVC,OVC,7
Lipscomb,North Alabama,0,4,Atlantic Sun,Atlantic Sun,7
Mercer,Wofford,1,3,Southern,Southern,7
Minnesota,Wisconsin,1,3,Big Ten,Big Ten,7
Nebraska,Rutgers,2,2,Big Ten,Big Ten,7
Nevada,Fresno State,1,1,Mountain West,Mountain West,7
New Hampshire,Massachusetts-Lowell,0,0,Am East,Am East,7
New Mexico,Colorado College,2,1,Mountain West,Mountain West,7
Northern Illinois,Ohio University,1,3,MAC,MAC,7
Northwestern,Illinois,0,0,Big Ten,Big Ten,7
Oklahoma State,UCF,2,1,Big 12,Big 12,7
Omaha,Oral Roberts,2,1,Summit,Summit,7
Purdue,Iowa,0,4,Big Ten,Big Ten,7
Rhode Island,Davidson,0,1,A10,A10,7
Sacred Heart,LIU,0,3,Northeast,Northeast,7
Samford,VMI,3,0,Southern,Southern,7
San Diego State,Air Force,0,1,Mountain West,Mountain West,7
San Jose State,UNLV,3,0,Mountain West,Mountain West,7
Seattle,UTRGV,0,2,WAC,WAC,7
Seton Hall,St. John's,0,1,Big East,Big East,7
South Dakota,North Dakota,2,0,Summit,Summit,7
South Dakota State,North Dakota State,1,0,Summit,Summit,7
South Florida,East Carolina,0,2,AAC,AAC,7
Southern Illinois,Evansville,1,1,MVC,MVC,7
Southern Utah,Grand Canyon,1,4,WAC,WAC,7
St. Thomas (Minn.),Denver,2,1,Summit,Summit,7
Stetson,Queens (N.C.),1,2,Atlantic Sun,Atlantic Sun,7
TCU,Kansas State,0,2,Big 12,Big 12,7
Temple,Charlotte,3,0,AAC,AAC,7
Toledo,Ball State,2,1,MAC,MAC,7
Towson,Stony Brook,3,0,CAA,CAA,7
Tulsa,Rice,1,2,AAC,AAC,7
UC Davis,Long Beach State,1,0,Big West,Big West,7
UC Santa Barbara,UC Riverside,2,1,Big West,Big West,7
UIC,Murray State,1,0,MVC,MVC,7
UMBC,NJIT,1,2,Am East,Am East,7
UTSA,North Texas,0,2,AAC,AAC,7
Utah,Oregon State,2,2,Pac-12,Pac-12,7
Utah State,Colorado State,0,1,Mountain West,Mountain West,7
Utah Tech,California Baptist,2,2,WAC,WAC,7
Utah Valley,Stephen F. Austin,10,0,WAC,WAC,7
Valparaiso,Missouri State,0,0,MVC,MVC,7
Vermont,Bryant,0,1,Am East,Am East,7
Western Carolina,UNC Greensboro,0,4,Southern,Southern,7
Xavier,Villanova,0,1,Big East,Big East,7
Florida State,Miami (FL),0,2,ACC,ACC,7
Kentucky,Alabama,1,2,SEC,SEC,7
Auburn,South Carolina,2,1,SEC,SEC,7
Appalachian State,Georgia Southern,0,1,Sun Belt,Sun Belt,7
Arkansas Pine Bluff,Alabama A&M,1,0,SWAC,SWAC,7
Georgia,Vanderbilt,2,1,SEC,SEC,7
Georgia State,Texas State,0,1,Sun Belt,Sun Belt,7
Grambling State,Alabama State,1,4,SWAC,SWAC,7
Hawaii,UC San Diego,2,4,Big West,Big West,7
Houston Christian,Texas A&M-Corpus Christi,0,1,Southland,Southland,7
Idaho State,Northern Colorado,1,1,Big Sky,Big Sky,7
LSU,Florida,0,4,SEC,SEC,7
Lamar,Nicholls,5,1,Southland,Southland,7
Middle Tennessee,Chicago State,0,8,C-USA,Indep.,7
Mississippi State,Tennessee,3,3,SEC,SEC,7
Northern Arizona,Weber State,1,4,Big Sky,Big Sky,7
Northwestern State,McNeese State,2,0,Southland,Southland,7
Prairie View A&M,Mississippi Valley,0,1,SWAC,SWAC,7
Southeastern Louisiana,Texas A&M-Commerce,0,2,Southland,Southland,7
Texas A&M,Mississippi,0,4,SEC,SEC,7
Texas Southern,Alcorn State,4,2,SWAC,SWAC,7
Virginia Tech,Wake Forest,2,0,ACC,ACC,7
Western Kentucky,Florida International,1,1,C-USA,C-USA,7
NC State,North Carolina,4,0,ACC,ACC,7
Clemson,Syracuse,1,5,ACC,ACC,7
Notre Dame,Louisville,0,3,ACC,ACC,7
Brown,Princeton,2,1,Ivy,Ivy,7
Pittsburgh,Boston College,2,0,ACC,ACC,7
Columbia,Harvard,2,0,Ivy,Ivy,7
Liberty,New Mexico State,0,2,C-USA,C-USA,7
Charleston Southern,Radford,1,0,Big South,Big South,7
Dartmouth,Cornell,0,1,Ivy,Ivy,7
Gardner-Webb,USC Upstate,1,2,Big South,Big South,7
Gonzaga,San Diego,5,0,WCC,WCC,7
Holy Cross,Bucknell,0,0,Patriot,Patriot,7
Lafayette,American,2,0,Patriot,Patriot,7
Louisiana,James Madison,4,0,Sun Belt,Sun Belt,7
Loyola (MD),Colgate,0,4,Patriot,Patriot,7
Mount St. Mary's,Saint Peter's,1,0,MAAC,MAAC,7
Niagara,Fairfield,2,1,MAAC,MAAC,7
Northern Kentucky,Wisconsin-Milwaukee,3,1,Horizon,Horizon,7
Old Dominion,Southern Mississippi,0,4,Sun Belt,Sun Belt,7
Penn,Yale,1,1,Ivy,Ivy,7
Presbyterian,High Point,4,0,Big South,Big South,7
Purdue Fort Wayne,Youngstown State,2,1,Horizon,Horizon,7
Rider,Quinnipiac,0,1,MAAC,MAAC,7
Robert Morris,Detroit Mercy,2,1,Horizon,Horizon,7
San Francisco,St. Mary's (CA),2,0,WCC,WCC,7
Santa Clara,Pepperdine,1,0,WCC,WCC,7
Troy,Marshall,2,1,Sun Belt,Sun Belt,7
UNC Asheville,Longwood,1,1,Big South,Big South,7
Utah Valley,UTRGV,1,4,WAC,WAC,7
Wisconsin-Green Bay,Cleveland State,1,1,Horizon,Horizon,7
Wright State,Oakland,0,1,Horizon,Horizon,7
Michigan State,Penn State,1,2,Big Ten,Big Ten,7
Washington State,UCLA,2,0,Pac-12,Pac-12,7
Stanford,Arizona,0,3,Pac-12,Pac-12,7
Washington,USC,0,3,Pac-12,Pac-12,7
Georgetown,DePaul,0,1,Big East,Big East,7
Texas Tech,Cincinnati,3,0,Big 12,Big 12,7
Indiana,Minnesota,0,0,Big Ten,Big Ten,7
Virginia,Duke,1,1,ACC,ACC,7
Oregon State,Colorado,2,1,Pac-12,Pac-12,7
Kansas,Texas,1,2,Big 12,Big 12,7
VCU,Saint Louis,1,0,A10,A10,7
Abilene Christian,Tarleton State,1,2,WAC,WAC,7
Akron,Northern Illinois,1,0,MAC,MAC,7
Albany,New Hampshire,2,1,Am East,Am East,7
Arkansas Pine Bluff,Alabama State,3,0,SWAC,SWAC,7
Austin Peay,North Alabama,0,1,Atlantic Sun,Atlantic Sun,7
Bellarmine,North Florida,1,1,Atlantic Sun,Atlantic Sun,7
Boise State,Colorado State,1,4,Mountain West,Mountain West,7
Bryant,Binghamton,1,1,Am East,Am East,7
CSU Bakersfield,Long Beach State,3,0,Big West,Big West,7
Cal Poly,UC Riverside,3,1,Big West,Big West,7
California,Arizona State,1,1,Pac-12,Pac-12,7
Campbell,UNC Wilmington,0,0,CAA,CAA,7
Canisius,Iona University,0,3,MAAC,MAAC,7
Coastal Carolina,Arkansas State,1,2,Sun Belt,Sun Belt,7
Connecticut,Marquette,0,0,Big East,Big East,7
Delaware,College of Charleston,0,0,CAA,CAA,7
Delaware State,Central Connecticut,5,0,Northeast,Northeast,7
Drexel,Monmouth,0,1,CAA,CAA,7
Eastern Kentucky,Jacksonville,0,0,Atlantic Sun,Atlantic Sun,7
Eastern Michigan,Buffalo,3,3,MAC,MAC,7
Evansville,Belmont,1,1,MVC,MVC,7
FGCU,Queens (N.C.),1,1,Atlantic Sun,Atlantic Sun,7
Fairleigh Dickinson,St. Francis (Pa.),0,2,Northeast,Northeast,7
Fordham,Davidson,0,1,A10,A10,7
George Mason,Rhode Island,3,0,A10,A10,7
George Washington,Dayton,1,4,A10,A10,7
Grambling State,Alabama A&M,4,0,SWAC,SWAC,7
