Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
Texas,BYU,2,3,Big 12,Big 12
Fordham,Yale,1,4,A10,Ivy
Navy,Marymount (Va.),0,11,Patriot,Atlantic East Conference
Lafayette,Princeton,1,1,Patriot,Ivy
Cornell,Colgate,0,1,Ivy,Patriot
Monmouth,Elon,1,0,CAA,CAA
Gardner-Webb,Longwood,0,4,Big South,Big South
High Point,Radford,1,1,Big South,Big South
Penn,Iona University,0,3,Ivy,MAAC
Saint Peter's,Siena College,1,2,MAAC,MAAC
UNC Asheville,Presbyterian,1,4,Big South,Big South
USC Upstate,Winthrop,4,0,Big South,Big South
Michigan,Penn State,1,1,Big Ten,Big Ten
Washington,UCLA,3,2,Pac-12,Pac-12
Stanford,Arizona State,1,2,Pac-12,Pac-12
BYU,Cincinnati,1,1,Big 12,Big 12
Missouri,Arkansas,0,1,SEC,SEC
Memphis,SMU,1,2,AAC,AAC
Washington State,USC,2,1,Pac-12,Pac-12
Georgetown,Connecticut,0,0,Big East,Big East
Texas Tech,Oklahoma,0,2,Big 12,Big 12
Ohio State,Indiana,2,1,Big Ten,Big Ten
Oregon,Colorado,3,1,Pac-12,Pac-12
Texas,West Virginia,0,0,Big 12,Big 12
Michigan State,Maryland,5,0,Big Ten,Big Ten
George Mason,Saint Louis,3,0,A10,A10
Austin Peay,Central Arkansas,1,2,Atlantic Sun,Atlantic Sun
Bellarmine,Jacksonville,4,2,Atlantic Sun,Atlantic Sun
Belmont,Illinois State,1,1,MVC,MVC
Binghamton,Albany,2,2,Am East,Am East
Boise State,Wyoming,3,1,Mountain West,Mountain West
Bowling Green,Akron,1,0,MAC,MAC
Buffalo,Miami (OH),2,0,MAC,MAC
Butler,Providence,1,1,Big East,Big East
CSUN,CSU Bakersfield,0,4,Big West,Big West
Cal Poly,Cal State Fullerton,1,2,Big West,Big West
California,Arizona,0,2,Pac-12,Pac-12
Central Connecticut,Howard,1,2,Northeast,Northeast
Central Michigan,Western Michigan,3,1,MAC,MAC
Creighton,Marquette,3,1,Big East,Big East
Dayton,Fordham,0,0,A10,A10
Delaware,Northeastern,1,1,CAA,CAA
Delaware State,Le Moyne,0,0,Northeast,Northeast
Drake,Indiana State,0,2,MVC,MVC
Drexel,College of Charleston,0,1,CAA,CAA
Duquesne,Massachusetts,1,1,A10,A10
East Tennessee State,UT Chattanooga,0,1,Southern,Southern
Eastern Illinois,Morehead State,1,1,OVC,OVC
Eastern Kentucky,North Florida,3,0,Atlantic Sun,Atlantic Sun
Eastern Washington,Montana,1,1,Big Sky,Big Sky
FGCU,Kennesaw State,3,1,Atlantic Sun,Atlantic Sun
Fairleigh Dickinson,Stonehill,0,3,Northeast,Northeast
Florida Atlantic,UAB,1,1,AAC,AAC
Furman,The Citadel,1,1,Southern,Southern
George Washington,Saint Joseph's,1,3,A10,A10
Hampton University,Elon,9,0,CAA,CAA
Hofstra,William & Mary,0,1,CAA,CAA
Iowa State,Houston,1,2,Big 12,Big 12
Kansas,Baylor,0,0,Big 12,Big 12
Kent State,Eastern Michigan,2,1,MAC,MAC
La Salle,VCU,0,1,A10,A10
Lindenwood,Southeast Missouri State,2,0,OVC,OVC
Lipscomb,North Alabama,0,4,Atlantic Sun,Atlantic Sun
Mercer,Wofford,1,3,Southern,Southern
Minnesota,Wisconsin,1,3,Big Ten,Big Ten
Nebraska,Rutgers,2,2,Big Ten,Big Ten
Nevada,Fresno State,1,1,Mountain West,Mountain West
New Hampshire,Massachusetts-Lowell,0,0,Am East,Am East
New Mexico,Colorado College,2,1,Mountain West,Mountain West
Northern Illinois,Ohio University,1,3,MAC,MAC
Northwestern,Illinois,0,0,Big Ten,Big Ten
Oklahoma State,UCF,2,1,Big 12,Big 12
Omaha,Oral Roberts,2,1,Summit,Summit
Purdue,Iowa,0,4,Big Ten,Big Ten
Rhode Island,Davidson,0,1,A10,A10
Sacred Heart,LIU,0,3,Northeast,Northeast
Samford,VMI,3,0,Southern,Southern
San Diego State,Air Force,0,1,Mountain West,Mountain West
San Jose State,UNLV,3,0,Mountain West,Mountain West
Seattle,UTRGV,0,2,WAC,WAC
Seton Hall,St. John's,0,1,Big East,Big East
South Dakota,North Dakota,2,0,Summit,Summit
South Dakota State,North Dakota State,1,0,Summit,Summit
South Florida,East Carolina,0,2,AAC,AAC
Southern Illinois,Evansville,1,1,MVC,MVC
Southern Utah,Grand Canyon,1,4,WAC,WAC
St. Thomas (Minn.),Denver,2,1,Summit,Summit
Stetson,Queens (N.C.),1,2,Atlantic Sun,Atlantic Sun
TCU,Kansas State,0,2,Big 12,Big 12
Temple,Charlotte,3,0,AAC,AAC
Toledo,Ball State,2,1,MAC,MAC
Towson,Stony Brook,3,0,CAA,CAA
Tulsa,Rice,1,2,AAC,AAC
UC Davis,Long Beach State,1,0,Big West,Big West
UC Santa Barbara,UC Riverside,2,1,Big West,Big West
UIC,Murray State,1,0,MVC,MVC
UMBC,NJIT,1,2,Am East,Am East
UTSA,North Texas,0,2,AAC,AAC
Utah,Oregon State,2,2,Pac-12,Pac-12
Utah State,Colorado State,0,1,Mountain West,Mountain West
Utah Tech,California Baptist,2,2,WAC,WAC
Utah Valley,Stephen F. Austin,10,0,WAC,WAC
Valparaiso,Missouri State,0,0,MVC,MVC
Vermont,Bryant,0,1,Am East,Am East
Western Carolina,UNC Greensboro,0,4,Southern,Southern
Xavier,Villanova,0,1,Big East,Big East
Florida State,Miami (FL),0,2,ACC,ACC
Kentucky,Alabama,1,2,SEC,SEC
Auburn,South Carolina,2,1,SEC,SEC
Appalachian State,Georgia Southern,0,1,Sun Belt,Sun Belt
Arkansas Pine Bluff,Alabama A&M,1,0,SWAC,SWAC
Georgia,Vanderbilt,2,1,SEC,SEC
Georgia State,Texas State,0,1,Sun Belt,Sun Belt
Grambling State,Alabama State,1,4,SWAC,SWAC
Hawaii,UC San Diego,2,4,Big West,Big West
Houston Christian,Texas A&M-Corpus Christi,0,1,Southland,Southland
Idaho State,Northern Colorado,1,1,Big Sky,Big Sky
LSU,Florida,0,4,SEC,SEC
Lamar,Nicholls,5,1,Southland,Southland
Middle Tennessee,Chicago State,0,8,C-USA,Indep.
Mississippi State,Tennessee,3,3,SEC,SEC
Northern Arizona,Weber State,1,4,Big Sky,Big Sky
Northwestern State,McNeese State,2,0,Southland,Southland
Prairie View A&M,Mississippi Valley,0,1,SWAC,SWAC
Southeastern Louisiana,Texas A&M-Commerce,0,2,Southland,Southland
Texas A&M,Mississippi,0,4,SEC,SEC
Texas Southern,Alcorn State,4,2,SWAC,SWAC
Virginia Tech,Wake Forest,2,0,ACC,ACC
Western Kentucky,Florida International,1,1,C-USA,C-USA
NC State,North Carolina,4,0,ACC,ACC
Clemson,Syracuse,1,5,ACC,ACC
Notre Dame,Louisville,0,3,ACC,ACC
Brown,Princeton,2,1,Ivy,Ivy
Pittsburgh,Boston College,2,0,ACC,ACC
Columbia,Harvard,2,0,Ivy,Ivy
Liberty,New Mexico State,0,2,C-USA,C-USA
Charleston Southern,Radford,1,0,Big South,Big South
Dartmouth,Cornell,0,1,Ivy,Ivy
Gardner-Webb,USC Upstate,1,2,Big South,Big South
Gonzaga,San Diego,5,0,WCC,WCC
Holy Cross,Bucknell,0,0,Patriot,Patriot
Lafayette,American,2,0,Patriot,Patriot
Louisiana,James Madison,4,0,Sun Belt,Sun Belt
Loyola (MD),Colgate,0,4,Patriot,Patriot
Mount St. Mary's,Saint Peter's,1,0,MAAC,MAAC
Niagara,Fairfield,2,1,MAAC,MAAC
Northern Kentucky,Wisconsin-Milwaukee,3,1,Horizon,Horizon
Old Dominion,Southern Mississippi,0,4,Sun Belt,Sun Belt
Penn,Yale,1,1,Ivy,Ivy
Presbyterian,High Point,4,0,Big South,Big South
Purdue Fort Wayne,Youngstown State,2,1,Horizon,Horizon
Rider,Quinnipiac,0,1,MAAC,MAAC
Robert Morris,Detroit Mercy,2,1,Horizon,Horizon
San Francisco,St. Mary's (CA),2,0,WCC,WCC
Santa Clara,Pepperdine,1,0,WCC,WCC
Troy,Marshall,2,1,Sun Belt,Sun Belt
UNC Asheville,Longwood,1,1,Big South,Big South
Utah Valley,UTRGV,1,4,WAC,WAC
Wisconsin-Green Bay,Cleveland State,1,1,Horizon,Horizon
Wright State,Oakland,0,1,Horizon,Horizon
Michigan State,Penn State,1,2,Big Ten,Big Ten
Washington State,UCLA,2,0,Pac-12,Pac-12
Stanford,Arizona,0,3,Pac-12,Pac-12
Washington,USC,0,3,Pac-12,Pac-12
Georgetown,DePaul,0,1,Big East,Big East
Texas Tech,Cincinnati,3,0,Big 12,Big 12
Indiana,Minnesota,0,0,Big Ten,Big Ten
Virginia,Duke,1,1,ACC,ACC
Oregon State,Colorado,2,1,Pac-12,Pac-12
Kansas,Texas,1,2,Big 12,Big 12
VCU,Saint Louis,1,0,A10,A10
Abilene Christian,Tarleton State,1,2,WAC,WAC
Akron,Northern Illinois,1,0,MAC,MAC
Albany,New Hampshire,2,1,Am East,Am East
Arkansas Pine Bluff,Alabama State,3,0,SWAC,SWAC
Austin Peay,North Alabama,0,1,Atlantic Sun,Atlantic Sun
Bellarmine,North Florida,1,1,Atlantic Sun,Atlantic Sun
Boise State,Colorado State,1,4,Mountain West,Mountain West
Bryant,Binghamton,1,1,Am East,Am East
CSU Bakersfield,Long Beach State,3,0,Big West,Big West
Cal Poly,UC Riverside,3,1,Big West,Big West
California,Arizona State,1,1,Pac-12,Pac-12
Campbell,UNC Wilmington,0,0,CAA,CAA
Canisius,Iona University,0,3,MAAC,MAAC
Coastal Carolina,Arkansas State,1,2,Sun Belt,Sun Belt
Connecticut,Marquette,0,0,Big East,Big East
Delaware,College of Charleston,0,0,CAA,CAA
