Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Charleston Southern,Jacksonville,2,2,Big South,Atlantic Sun,3,d1
Rutgers,Fairleigh Dickinson,7,0,Big Ten,Northeast,3,d1
American,Longwood,0,0,Patriot,Big South,3,d1
Central Baptist,Arkansas Pine Bluff,0,0,Midlands Collegiate,SWAC,3,d1
Northern Iowa,Saint Ambrose,3,0,MVC,Midwest Collegiate,3,d1
South Dakota,Morningside,7,0,Summit,Great Plains Athletic,3,d1
Providence,Brown,1,0,Big East,Ivy,3,d1
Marist,Cornell,0,2,MAAC,Ivy,3,d1
Morehead State,Wright State,0,0,OVC,Horizon,3,d1
Utah,Utah Valley,5,0,Pac-12,WAC,3,d1
Winthrop,Southern Wesleyan,9,0,Big South,Conference Carolinas,3,d1
BYU,UCLA,3,1,Big 12,Pac-12,3,d1
Penn State,UCF,1,0,Big Ten,Big 12,3,d1
North Carolina,Gardner-Webb,5,0,ACC,Big South,3,d1
Alabama,Miami (FL),0,0,SEC,ACC,3,d1
Virginia,West Virginia,2,1,ACC,Big 12,3,d1
Arkansas,Wisconsin-Milwaukee,5,2,SEC,Horizon,3,d1
South Carolina,Elon,2,0,SEC,CAA,3,d1
Pittsburgh,Duquesne,6,1,ACC,A10,3,d1
Saint Louis,Xavier,0,1,A10,Big East,3,d1
TCU,UAB,0,0,Big 12,AAC,3,d1
Santa Clara,Columbia,1,0,WCC,Ivy,3,d1
USC,Purdue,4,0,Pac-12,Big Ten,3,d1
Iowa State,Memphis,1,4,Big 12,AAC,3,d1
Texas,UTRGV,5,0,Big 12,WAC,3,d1
Northwestern,Boston University,3,0,Big Ten,Patriot,3,d1
Michigan State,Eastern Michigan,6,0,Big Ten,MAC,3,d1
Georgia,Minnesota,0,0,SEC,Big Ten,3,d1
Air Force,Hawaii,3,1,Mountain West,Big West,3,d1
Akron,Dayton,2,5,MAC,A10,3,d1
Arizona,Kent State,5,0,Pac-12,MAC,3,d1
Arizona State,Boise State,0,0,Pac-12,Mountain West,3,d1
Auburn,Wake Forest,0,2,SEC,ACC,3,d1
Baylor,Louisiana Tech,3,0,Big 12,C-USA,3,d1
Binghamton,Le Moyne,3,0,Am East,Northeast,3,d1
Bryant,Fairfield,1,0,Am East,MAAC,3,d1
Bucknell,Villanova,1,1,Patriot,Big East,3,d1
Butler,IUPUI,3,0,Big East,Horizon,3,d1
Cal State Fullerton,Southern Utah,1,1,Big West,WAC,3,d1
California,San Francisco,5,1,Pac-12,WCC,3,d1
California Baptist,UTEP,6,0,WAC,C-USA,3,d1
Canisius,Buffalo,0,0,MAAC,MAC,3,d1
Central Connecticut,Holy Cross,1,1,Northeast,Patriot,3,d1
Charlotte,UNC Greensboro,0,0,AAC,Southern,3,d1
Cincinnati,Central Michigan,1,1,Big 12,MAC,3,d1
Clemson,Furman,4,1,ACC,Southern,3,d1
Coastal Carolina,North Dakota State,0,1,Sun Belt,Summit,3,d1
College of Charleston,Mercer,1,2,CAA,Southern,3,d1
Colorado,NC State,2,1,Pac-12,ACC,3,d1
Colorado State,UMKC,1,0,Mountain West,Summit,3,d1
Connecticut,Army,0,0,Big East,Patriot,3,d1
Dartmouth,Colgate,1,0,Ivy,Patriot,3,d1
Davidson,Charleston Southern,0,2,A10,Big South,3,d1
DePaul,Eastern Kentucky,2,1,Big East,Atlantic Sun,3,d1
Delaware,St. Francis (Pa.),4,1,CAA,Northeast,3,d1
Delaware State,Saint Peter's,1,3,Northeast,MAAC,3,d1
Denver,Northern Colorado,3,1,Summit,Big Sky,3,d1
Detroit Mercy,Bowling Green,1,2,Horizon,MAC,3,d1
East Carolina,UNC Wilmington,2,0,AAC,CAA,3,d1
Eastern Washington,University of Providence,16,1,Big Sky,Frontier,3,d1
Evansville,Bellarmine,0,2,MVC,Atlantic Sun,3,d1
Fairleigh Dickinson,Hofstra,1,2,Northeast,CAA,3,d1
Florida Atlantic,Louisiana,2,1,AAC,Sun Belt,3,d1
Florida International,Stetson,4,0,C-USA,Atlantic Sun,3,d1
Fordham,Stony Brook,2,2,A10,CAA,3,d1
George Washington,Youngstown State,1,1,A10,Horizon,3,d1
Gonzaga,Oklahoma,3,0,WCC,Big 12,3,d1
Grand Canyon,UTSA,2,0,WAC,AAC,3,d1
High Point,FGCU,1,1,Big South,Atlantic Sun,3,d1
Houston Christian,Sam Houston State,2,1,Southland,C-USA,3,d1
Idaho,Nevada,1,1,Big Sky,Mountain West,3,d1
Illinois State,North Dakota,0,3,MVC,Summit,3,d1
Iona University,Wagner,0,1,MAAC,Northeast,3,d1
Kansas,Arkansas State,3,0,Big 12,Sun Belt,3,d1
Kentucky,UT Martin,4,0,SEC,OVC,3,d1
LIU,NJIT,0,3,Northeast,Am East,3,d1
La Salle,Seton Hall,3,1,A10,Big East,3,d1
Lafayette,Saint Joseph's,2,1,Patriot,A10,3,d1
Lindenwood,Murray State,1,0,OVC,MVC,3,d1
Little Rock,Central Arkansas,0,0,OVC,Atlantic Sun,3,d1
Longwood,Liberty,1,2,Big South,C-USA,3,d1
Louisiana-Monroe,Texas A&M-Commerce,3,1,Sun Belt,Southland,3,d1
Louisville,Illinois,1,2,ACC,Big Ten,3,d1
Loyola (MD),Manhattan,3,0,Patriot,MAAC,3,d1
Loyola Marymount,CSU Bakersfield,3,0,WCC,Big West,3,d1
Loyola-Chicago,Western Illinois,1,0,A10,OVC,3,d1
Marshall,Ohio University,1,0,Sun Belt,MAC,3,d1
Massachusetts,Syracuse,2,0,A10,ACC,3,d1
Merrimack,Maine,1,1,Northeast,Am East,3,d1
Miami (OH),Southern Indiana,1,0,MAC,OVC,3,d1
Michigan,Boston College,1,0,Big Ten,ACC,3,d1
Middle Tennessee,Lipscomb,2,4,C-USA,Atlantic Sun,3,d1
Mississippi,Samford,0,0,SEC,Southern,3,d1
Mississippi State,Iowa,0,1,SEC,Big Ten,3,d1
Missouri State,Oral Roberts,2,2,MVC,Summit,3,d1
Montana,Utah Tech,4,0,Big Sky,WAC,3,d1
Nebraska,Missouri,5,0,Big Ten,SEC,3,d1
New Mexico State,Incarnate Word,0,0,C-USA,Southland,3,d1
Northern Arizona,Oregon,3,2,Big Sky,Pac-12,3,d1
Ohio State,Oakland,6,0,Big Ten,Horizon,3,d1
Omaha,UC Santa Barbara,0,1,Summit,Big West,3,d1
Oregon State,Pacific,1,3,Pac-12,WCC,3,d1
Portland,UC Davis,1,0,WCC,Big West,3,d1
Presbyterian,Navy,1,3,Big South,Patriot,3,d1
Princeton,Rutgers,0,0,Ivy,Big Ten,3,d1
Purdue Fort Wayne,Eastern Illinois,0,0,Horizon,OVC,3,d1
Rhode Island,UC San Diego,0,0,A10,Big West,3,d1
Rice,Houston,1,2,AAC,Big 12,3,d1
Richmond,Radford,0,0,A10,Big South,3,d1
Rider,Albany,0,3,MAAC,Am East,3,d1
Robert Morris,Indiana State,2,1,Horizon,MVC,3,d1
SIUE,Southern Illinois,1,1,OVC,MVC,3,d1
Sacramento State,UC Riverside,1,0,Big Sky,Big West,3,d1
San Diego,New Mexico,0,1,WCC,Mountain West,3,d1
San Jose State,UC Irvine,3,3,Mountain West,Big West,3,d1
Seattle,CSUN,3,0,WAC,Big West,3,d1
Siena College,New Hampshire,0,6,MAAC,Am East,3,d1
Southern Mississippi,Northwestern State,3,0,Sun Belt,Southland,3,d1
St. Bonaventure,Niagara,2,1,A10,MAAC,3,d1
St. John's,Penn,1,0,Big East,Ivy,3,d1
St. Mary's (CA),James Madison,1,1,WCC,Sun Belt,3,d1
Stephen F. Austin,SMU,1,3,WAC,AAC,3,d1
Stonehill,Massachusetts-Lowell,1,1,Northeast,Am East,3,d1
Temple,Lehigh,1,0,AAC,Patriot,3,d1
Tennessee,Indiana,2,2,SEC,Big Ten,3,d1
Tennessee Tech,East Tennessee State,1,1,OVC,Southern,3,d1
Texas A&M,Tulsa,2,0,SEC,AAC,3,d1
Texas State,Oklahoma State,0,3,Sun Belt,Big 12,3,d1
Texas Tech,North Texas,6,1,Big 12,AAC,3,d1
Towson,UMBC,8,1,CAA,Am East,3,d1
Troy,Alabama A&M,2,0,Sun Belt,SWAC,3,d1
UIC,Marquette,3,0,MVC,Big East,3,d1
UNC Asheville,Wofford,1,0,Big South,Southern,3,d1
UT Chattanooga,Austin Peay,4,1,Southern,Atlantic Sun,3,d1
VCU,Maryland,0,0,A10,Big Ten,3,d1
Valparaiso,Chicago State,5,1,MVC,Indep.,3,d1
Vanderbilt,Kansas State,1,0,SEC,Big 12,3,d1
Vermont,Sacred Heart,2,1,Am East,Northeast,3,d1
Virginia Tech,Old Dominion,0,0,ACC,Sun Belt,3,d1
Washington,Yale,2,1,Pac-12,Ivy,3,d1
